
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,.309,95,.272,.155,2.9%,22.3%,8.8%,87.1,36.0%,21.8%,43.9%,25.7%,0.81,32.7%,50.4%,16.9%,-1.9,-1.1%,-8.4,32%,78%,49%
Atlanta Braves,.334,110,.303,.190,4.0%,24.6%,7.7%,89.8,43.6%,23.0%,42.2%,27.7%,0.73,30.5%,52.9%,16.6%,6.4,4.6%,72.3,32%,74%,50%
Baltimore Orioles,.313,97,.284,.154,2.8%,23.0%,7.9%,88.0,39.2%,24.2%,38.9%,26.3%,0.65,30.5%,52.0%,17.5%,-2.6,-1.9%,-23.3,30%,75%,45%
Boston Red Sox,.325,101,.313,.152,2.5%,22.4%,7.8%,89.0,41.0%,25.3%,43.5%,24.1%,0.78,26.3%,54.2%,19.5%,-3.0,-2.2%,18.0,32%,72%,38%
Chicago Cubs,.314,97,.294,.148,2.6%,23.9%,8.4%,87.8,37.7%,23.2%,45.8%,23.6%,0.86,28.9%,51.3%,19.7%,-11.4,-2.3%,-76.8,29%,75%,44%
Chicago White Sox,.313,96,.304,.131,2.4%,20.7%,6.3%,88.9,41.0%,24.1%,45.3%,24.0%,0.84,27.1%,52.4%,20.6%,-2.3,-1.3%,-22.5,30%,85%,37%
Cincinnati Reds,.302,80,.290,.137,2.6%,23.9%,7.6%,86.8,35.0%,23.7%,43.3%,24.8%,0.78,30.2%,51.3%,18.5%,-14.4,-2.1%,-98.8,29%,64%,39%
Cleveland Guardians,.313,100,.294,.129,2.1%,18.2%,7.3%,86.7,33.3%,24.7%,44.1%,22.6%,0.80,28.0%,52.6%,19.3%,0.8,0.3%,-0.4,31%,82%,43%
Colorado Rockies,.318,89,.307,.144,2.4%,21.8%,7.4%,87.4,37.0%,24.5%,46.4%,23.3%,0.88,26.5%,54.2%,19.3%,-7.1,-0.4%,-61.0,30%,69%,43%
Detroit Tigers,.285,84,.290,.115,1.9%,24.1%,6.5%,87.3,36.7%,24.2%,44.5%,23.7%,0.81,28.8%,51.2%,20.0%,-9.7,-2.1%,-118.0,28%,66%,44%
