--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Luis Avilan,23,1,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2,,,,avilalu01
Brandon Beachy,26,12,.178,-50,.200,.000,0.0%,25.0%,8.3%,37.5%,0.0%,25.0%,0.00,25.0%,12.5%,62.5%,-0.1,0.0%,-1.9,50%,,0%,beachbr01
Christian Bethancourt,21,1,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,bethach01
David Carpenter,27,4,.000,-228,.000,.000,0.0%,25.0%,0.0%,0.0%,0.0%,66.7%,0.00,0.0%,33.3%,66.7%,0.0,0.0%,-0.7,,,,carpeda01
Jose Constanza,29,31,.174,20,.308,.000,0.0%,16.1%,0.0%,15.4%,69.2%,3.8%,3.60,19.2%,57.7%,23.1%,0.0,-0.1%,-2.7,17%,0%,33%,constjo01
Todd Cunningham,24,8,.214,15,.400,.000,0.0%,37.5%,0.0%,20.0%,60.0%,0.0%,3.00,20.0%,60.0%,20.0%,-0.1,0.0%,-0.7,100%,,0%,cunnito01
Blake DeWitt,27,4,.425,198,.333,.333,0.0%,0.0%,0.0%,25.0%,25.0%,25.0%,0.50,0.0%,75.0%,25.0%,-0.1,-0.1%,-0.9,0%,,,dewitbl01
Juan Francisco,26,115,.304,85,.350,.157,4.4%,37.4%,6.1%,18.5%,58.5%,15.4%,1.46,38.5%,47.7%,13.8%,-0.2,-0.2%,1.1,18%,0%,33%,francju02
Freddie Freeman,23,629,.401,156,.371,.181,3.7%,19.2%,10.5%,30.1%,38.4%,29.7%,0.62,28.3%,54.0%,17.7%,6.0,2.8%,63.9,29%,100%,36%,freemfr01
Freddy Garcia,36,10,.000,-207,.000,.000,0.0%,50.0%,0.0%,20.0%,40.0%,0.0%,2.00,20.0%,40.0%,40.0%,-0.2,0.0%,-2.1,,,,garcifr03
Evan Gattis,26,382,.337,107,.255,.237,5.5%,21.2%,5.5%,19.9%,42.0%,27.2%,0.73,36.2%,49.6%,14.1%,2.7,1.8%,10.2,26%,,31%,gattiev01
Phil Gosselin,24,7,.285,63,.500,.000,0.0%,28.6%,14.3%,25.0%,25.0%,25.0%,0.50,25.0%,50.0%,25.0%,-0.1,0.0%,0.2,50%,,0%,gosseph01
David Hale,25,4,.000,-146,.000,.000,0.0%,75.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.8,,,,haleda02
Jason Heyward,23,440,.350,120,.281,.173,3.2%,16.6%,10.9%,23.9%,43.9%,21.0%,0.79,29.7%,54.8%,15.5%,1.4,0.2%,11.5,38%,33%,51%,heywaja01
Tim Hudson,37,48,.255,38,.217,.105,2.1%,29.2%,8.3%,6.7%,43.3%,16.7%,1.30,23.3%,53.3%,23.3%,-0.6,-0.4%,-4.3,11%,,100%,hudsoti01
Paul Janish,30,45,.204,7,.226,.049,0.0%,24.4%,6.7%,22.6%,25.8%,25.8%,0.36,19.4%,64.5%,16.1%,-0.3,0.0%,-2.6,35%,,14%,janispa01
Chris Johnson,28,547,.362,126,.394,.136,2.2%,21.2%,5.3%,28.0%,46.3%,22.3%,0.86,22.3%,55.5%,22.3%,0.1,-0.3%,13.6,23%,,35%,johnsch05
Elliot Johnson,29,102,.318,85,.320,.098,0.0%,17.7%,7.8%,25.0%,44.7%,17.1%,0.87,22.4%,56.6%,21.1%,-0.8,-0.1%,-3.1,24%,80%,0%,johnsel02
Reed Johnson,36,136,.299,79,.322,.098,0.7%,23.5%,4.4%,17.4%,55.4%,17.4%,1.34,27.2%,60.9%,12.0%,-0.4,-0.1%,-3.8,28%,,43%,johnsre02
Gerald Laird,33,141,.345,115,.337,.091,0.7%,16.3%,9.9%,20.8%,45.5%,18.8%,0.90,32.7%,43.6%,23.8%,-0.1,0.2%,5.7,22%,50%,17%,lairdge01
Kameron Loe,31,1,.000,-146,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,loeka01
Paul Maholm,31,57,.164,-32,.259,.038,0.0%,43.9%,1.8%,19.4%,45.2%,16.1%,1.17,19.4%,64.5%,16.1%,-0.4,-0.2%,-6.5,25%,,0%,maholpa01
Brian McCann,29,402,.357,123,.261,.205,5.0%,16.4%,9.7%,23.3%,36.6%,29.1%,0.58,36.3%,47.6%,16.1%,1.3,1.3%,14.9,20%,0%,3%,mccanbr01
Kris Medlen,27,67,.217,4,.250,.091,1.5%,34.3%,6.0%,12.5%,30.0%,30.0%,0.67,35.0%,50.0%,15.0%,-0.8,-0.3%,-7.5,17%,100%,100%,medlekr01
Mike Minor,25,70,.188,-17,.257,.066,1.4%,35.7%,2.9%,9.3%,41.9%,14.0%,1.38,14.0%,72.1%,14.0%,-0.6,-0.3%,-7.6,18%,,13%,minormi01
Tyler Pastornicky,23,33,.284,65,.360,.033,0.0%,15.2%,3.0%,25.9%,55.6%,11.1%,1.50,3.7%,55.6%,40.7%,-0.2,-0.2%,-2.7,50%,,57%,pastoty01
Ramiro Pena,27,107,.345,120,.312,.165,2.8%,16.8%,7.5%,25.9%,45.7%,17.3%,0.93,34.6%,53.1%,12.3%,1.2,1.0%,4.1,30%,0%,43%,penara02
Jordan Schafer,26,265,.322,88,.348,.100,1.1%,27.6%,10.9%,23.3%,42.9%,14.7%,0.93,31.9%,48.5%,19.6%,0.7,0.8%,5.5,32%,79%,37%,schafjo02
Andrelton Simmons,23,658,.321,96,.247,.149,2.6%,8.4%,6.1%,22.0%,41.1%,22.7%,0.73,33.2%,52.9%,13.9%,-0.4,-0.6%,-7.9,33%,55%,47%,simmoan01
Julio Teheran,22,65,.246,34,.310,.052,0.0%,24.6%,3.1%,17.0%,63.8%,2.1%,3.33,14.9%,57.4%,27.7%,-0.7,-0.5%,-6.9,7%,,100%,teherju01
Joey Terdoslavich,24,92,.281,63,.304,.051,0.0%,26.1%,13.0%,23.2%,51.8%,23.2%,1.07,23.2%,53.6%,23.2%,-0.2,0.1%,-0.8,37%,100%,63%,terdojo01
Dan Uggla,33,537,.310,86,.225,.183,4.1%,31.8%,14.3%,14.3%,40.0%,33.9%,0.67,37.5%,49.6%,12.9%,-0.7,0.0%,-7.9,26%,100%,37%,ugglada01
B.J. Upton,28,446,.257,45,.266,.105,2.0%,33.9%,9.9%,20.2%,44.5%,25.5%,0.82,29.1%,51.8%,19.0%,-2.8,-1.7%,-28.4,18%,71%,33%,uptonbj01
Justin Upton,25,643,.367,128,.321,.201,4.2%,25.0%,11.7%,23.6%,40.5%,27.6%,0.69,24.4%,53.0%,22.6%,2.5,0.9%,23.1,34%,89%,52%,uptonju01
Anthony Varvaro,28,1,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-0.6,,,,varvaan01
