--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Erick Aybar,32,368,.275,62,.284,.072,0.5%,16.0%,5.4%,85.0,18.1%,21.6%,54.4%,15.9%,1.32,30.2%,49.8%,20.0%,-2.8,-0.4%,-19.9,23%,38%,50%,aybarer01
Gordon Beckham,29,273,.297,75,.250,.138,1.8%,18.3%,9.5%,88.9,37.5%,25.4%,45.1%,20.7%,0.83,18.8%,57.0%,24.2%,-1.3,0.0%,-6.0,26%,100%,36%,beckhgo01
Aaron Blair,24,23,.043,-128,.083,.000,0.0%,39.1%,0.0%,77.6,27.3%,14.3%,57.1%,0.0%,2.67,0.0%,71.4%,28.6%,-0.5,0.0%,-5.6,0%,,,blairaa01
Emilio Bonifacio,31,43,.294,67,.308,.000,0.0%,27.9%,7.0%,89.8,47.6%,21.4%,50.0%,17.9%,1.17,17.9%,57.1%,25.0%,0.3,0.0%,0.1,55%,100%,67%,bonifem01
Reid Brignac,30,29,.207,10,.286,.069,0.0%,27.6%,0.0%,90.1,38.9%,28.6%,42.9%,19.0%,0.82,23.8%,57.1%,19.0%,-0.6,0.0%,-2.8,50%,,,brignre01
Daniel Castro,23,139,.206,9,.245,.008,0.0%,17.3%,5.0%,84.1,18.5%,25.9%,54.6%,10.2%,1.28,18.1%,61.0%,21.0%,-2.1,-0.3%,-14.2,24%,50%,33%,castrda01
Jhoulys Chacin,28,8,.225,23,.286,.000,0.0%,12.5%,0.0%,81.4,20.0%,28.6%,28.6%,0.0%,0.40,14.3%,57.1%,28.6%,-0.1,-0.1%,-0.6,0%,,,chacijh01
Josh Collmenter,30,7,.000,-179,,.000,0.0%,85.7%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.2,,,,collmjo01
Chase d'Arnaud,29,262,.303,78,.303,.090,0.4%,19.1%,8.8%,84.7,25.3%,28.0%,40.9%,19.4%,0.71,22.7%,54.7%,22.7%,-1.1,0.0%,-6.3,27%,75%,29%,darnach01
Joel De La Cruz,27,18,.169,-32,.375,.000,0.0%,44.4%,0.0%,83.4,28.6%,10.0%,50.0%,0.0%,2.50,11.1%,66.7%,22.2%,-0.4,0.0%,-3.7,0%,,,delacjo01
Tyler Flowers,30,325,.347,112,.366,.149,2.5%,28.0%,8.9%,94.0,52.8%,28.9%,42.8%,21.6%,0.75,23.0%,52.9%,24.1%,1.8,-0.1%,10.2,18%,,11%,flowety01
Mike Foltynewicz,24,42,.147,-51,.294,.028,0.0%,45.2%,2.4%,85.1,29.4%,22.7%,40.9%,13.6%,1.13,0.0%,63.6%,36.4%,-0.6,0.0%,-6.9,50%,,25%,foltymi01
Jeff Francoeur,32,276,.304,79,.320,.132,2.5%,27.2%,5.8%,88.8,37.1%,27.0%,47.6%,18.4%,0.91,24.4%,53.3%,22.2%,-0.8,-0.3%,-3.3,30%,100%,27%,francje02
Freddie Freeman,26,693,.412,159,.370,.267,4.9%,24.7%,12.8%,91.7,49.2%,35.2%,31.7%,27.9%,0.47,30.6%,49.0%,20.4%,3.7,-0.2%,48.9,28%,86%,27%,freemfr01
John Gant,23,10,.000,-242,.000,.000,0.0%,10.0%,0.0%,76.7,28.6%,11.1%,44.4%,11.1%,2.00,0.0%,33.3%,66.7%,-0.2,0.0%,-2.4,,,,gantjo01
Adonis Garcia,31,563,.318,91,.308,.133,2.5%,16.5%,4.3%,89.8,40.2%,28.2%,52.6%,13.4%,1.11,23.9%,55.6%,20.5%,1.3,0.2%,3.0,32%,60%,39%,garciad01
Lucas Harrell,31,8,.000,-139,.000,.000,0.0%,25.0%,0.0%,71.6,25.0%,16.7%,50.0%,0.0%,3.00,50.0%,33.3%,16.7%,-0.2,0.0%,-2.4,,,,harrelu01
Roberto Hernandez,35,4,.000,-139,.000,.000,0.0%,75.0%,0.0%,77.0,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.0,,,,carmofa01
Ender Inciarte,25,578,.332,100,.329,.090,0.5%,11.8%,7.8%,85.4,17.7%,29.3%,49.0%,13.2%,1.00,27.3%,47.4%,25.3%,-1.5,-0.1%,-7.3,41%,70%,52%,inciaen01
Tyrell Jenkins,23,17,.139,-82,.000,.000,0.0%,23.5%,0.0%,81.9,14.3%,7.7%,38.5%,15.4%,1.67,20.0%,40.0%,40.0%,-0.4,0.0%,-3.7,,,,jenkity01
Jim Johnson,33,1,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.8,,,,johnsji04
Kelly Johnson,34,132,.277,60,.260,.074,0.8%,18.9%,7.6%,88.7,40.2%,22.7%,52.6%,18.6%,1.13,33.7%,49.5%,16.8%,-0.6,0.0%,-6.4,20%,100%,33%,johnske05
Casey Kelly,26,3,.000,-259,.000,.000,0.0%,33.3%,0.0%,76.8,0.0%,0.0%,50.0%,0.0%,,0.0%,50.0%,50.0%,-0.1,0.0%,-0.4,,,,kellyca01
Matt Kemp,31,241,.361,121,.316,.238,5.0%,23.2%,8.3%,88.9,37.7%,25.6%,40.9%,29.9%,0.69,24.8%,57.3%,17.8%,0.3,0.0%,4.7,33%,100%,50%,kempma01
Ian Krol,25,1,.000,-139,.000,.000,0.0%,0.0%,0.0%,73.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,krolia01
Blake Lalli,33,13,.165,-20,.200,.077,0.0%,23.1%,0.0%,92.0,66.7%,30.0%,60.0%,10.0%,1.50,11.1%,77.8%,11.1%,0.0,0.0%,-3.5,0%,,,lallibl01
Nick Markakis,32,684,.326,98,.300,.129,1.9%,14.8%,10.4%,91.4,47.6%,31.0%,44.0%,20.1%,0.79,27.6%,54.1%,18.3%,1.9,0.5%,12.2,24%,0%,33%,markani01
Bud Norris,31,22,.331,100,.286,.167,0.0%,22.7%,13.6%,81.4,33.3%,15.4%,30.8%,0.0%,2.00,30.8%,38.5%,30.8%,-0.2,-0.1%,-1.6,17%,,0%,norribu01
Héctor Olivera,31,21,.260,48,.267,.053,0.0%,23.8%,4.8%,85.5,28.6%,6.7%,60.0%,20.0%,1.50,33.3%,40.0%,26.7%,-0.3,-0.2%,-1.3,40%,,100%,olivehe01
Williams Perez,25,19,.000,-167,.000,.000,0.0%,26.3%,0.0%,94.1,11.1%,7.1%,42.9%,14.3%,1.50,7.1%,64.3%,28.6%,-0.5,-0.1%,-6.4,,,,perezwi01
Jace Peterson,26,408,.326,99,.296,.111,1.7%,16.9%,12.8%,88.0,35.8%,23.1%,56.3%,17.1%,1.34,31.0%,50.9%,18.1%,-0.2,-0.2%,-2.7,28%,50%,44%,peterja01
A.J. Pierzynski,39,259,.245,37,.237,.085,0.8%,11.2%,2.3%,87.7,37.8%,26.7%,51.1%,16.7%,1.06,27.9%,55.8%,16.3%,-2.1,-0.3%,-18.6,21%,100%,36%,pierza.01
