--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Nick Ahmed,24,75,.245,43,.220,.071,1.3%,13.3%,4.0%,24.2%,40.3%,21.0%,0.71,28.8%,42.4%,28.8%,-0.6,0.0%,-5.5,40%,0%,43%,ahmedni01
Chase Anderson,26,41,.044,-147,.050,.000,0.0%,34.2%,0.0%,7.7%,57.7%,3.8%,5.00,7.7%,57.7%,34.6%,-0.8,0.0%,-8.9,0%,,,anderch01
Bronson Arroyo,37,31,.202,-7,.400,.000,0.0%,38.7%,0.0%,31.6%,26.3%,5.3%,0.56,26.3%,47.4%,26.3%,-0.2,0.0%,-2.2,71%,,25%,arroybr01
Mike Bolsinger,26,20,.096,-81,.167,.000,0.0%,35.0%,0.0%,7.7%,61.5%,23.1%,2.00,38.5%,30.8%,30.8%,-0.2,0.0%,-2.9,50%,,,bolsimi01
Trevor Cahill,26,29,.115,-83,.105,.042,0.0%,17.2%,3.5%,17.4%,39.1%,8.7%,0.90,21.7%,30.4%,47.8%,-0.5,0.0%,-4.7,0%,,0%,cahiltr01
Tony Campana,28,61,.186,-11,.180,.050,0.0%,16.4%,0.0%,26.0%,60.0%,6.0%,1.76,20.0%,52.0%,28.0%,0.8,0.4%,-3.0,36%,80%,50%,campato01
Andrew Chafin,24,2,.454,196,1.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,0.4,0%,,,chafian01
Eric Chavez,36,81,.359,120,.292,.203,3.7%,23.5%,13.6%,27.5%,41.2%,23.5%,0.70,36.2%,44.7%,19.1%,-0.5,-0.2%,0.2,12%,100%,33%,chaveer01
Josh Collmenter,28,58,.159,-27,.154,.037,0.0%,25.9%,5.2%,15.0%,77.5%,5.0%,3.88,13.2%,76.3%,10.5%,-0.5,-0.1%,-6.9,22%,,0%,collmjo01
Eury De La Rosa,24,3,.000,-266,,.000,0.0%,66.7%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.6,,,,delareu01
Randall Delgado,24,11,.101,-106,.200,.000,0.0%,36.4%,0.0%,28.6%,14.3%,0.0%,0.33,28.6%,42.9%,28.6%,-0.1,0.0%,-2.2,0%,,,delgara01
Nick Evans,28,23,.406,160,.400,.364,8.7%,43.5%,4.4%,25.0%,25.0%,41.7%,0.33,33.3%,41.7%,25.0%,0.4,0.0%,4.2,0%,,0%,evansni01
Paul Goldschmidt,26,479,.416,168,.368,.241,4.0%,23.0%,13.4%,30.1%,45.5%,21.4%,0.83,25.6%,54.6%,19.8%,2.6,0.5%,41.0,33%,75%,55%,goldspa01
Tuffy Gosewisch,30,132,.271,59,.269,.085,0.8%,18.2%,2.3%,22.9%,52.4%,19.0%,1.12,25.0%,55.8%,19.2%,-0.2,-0.2%,-6.3,16%,,25%,gosewtu01
Didi Gregorius,24,299,.297,76,.257,.137,2.0%,17.4%,7.4%,27.9%,39.6%,23.4%,0.67,24.1%,58.2%,17.7%,-0.5,0.0%,-1.1,36%,100%,58%,gregodi01
