--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Nick Ahmed,25,459,.286,66,.257,.133,2.0%,17.7%,6.3%,86.1,28.3%,23.0%,43.7%,21.0%,0.85,27.6%,52.9%,19.5%,-1.0,-0.2%,-10.7,34%,44%,57%,ahmedni01
Chase Anderson,27,57,.102,-99,.200,.000,0.0%,40.4%,1.8%,82.0,21.1%,9.1%,51.5%,0.0%,4.25,6.1%,57.6%,36.4%,-0.9,-0.3%,-9.5,0%,,100%,anderch01
Archie Bradley,22,14,.094,-51,.286,.000,0.0%,50.0%,0.0%,90.5,66.7%,0.0%,42.9%,0.0%,1.00,28.6%,14.3%,57.1%,-0.3,-0.1%,-3.1,0%,0%,,bradlar01
Sócrates Brito,22,34,.343,101,.385,.152,0.0%,20.6%,2.9%,85.4,40.0%,26.9%,57.7%,7.7%,1.36,30.8%,46.2%,23.1%,0.2,0.0%,-0.8,36%,100%,50%,britoso01
Welington Castillo,28,303,.357,117,.286,.241,5.6%,24.8%,6.9%,90.6,42.7%,32.7%,44.1%,18.3%,0.79,26.7%,55.0%,18.3%,0.7,0.6%,5.8,22%,,27%,castiwe01
Jhoulys Chacín,27,9,.113,-84,.250,.000,0.0%,44.4%,0.0%,79.9,0.0%,20.0%,60.0%,0.0%,3.00,0.0%,80.0%,20.0%,-0.2,0.0%,-2.0,0%,,0%,chacijh01
Andrew Chafin,25,3,.000,-146,.000,.000,0.0%,33.3%,0.0%,82.2,0.0%,50.0%,0.0%,50.0%,0.00,50.0%,0.0%,50.0%,0.0,0.0%,-0.8,,,,chafian01
Josh Collmenter,29,32,.216,7,.278,.000,0.0%,28.1%,9.4%,83.1,23.1%,20.0%,60.0%,0.0%,2.40,10.0%,60.0%,30.0%,-0.4,-0.2%,-3.6,25%,,0%,collmjo01
Patrick Corbin,25,29,.171,-25,.214,.000,0.0%,37.9%,10.3%,85.9,44.4%,13.3%,66.7%,0.0%,3.33,33.3%,46.7%,20.0%,-0.4,-0.1%,-3.6,17%,,0%,corbipa01
Rubby De La Rosa,26,68,.097,-86,.154,.000,0.0%,36.8%,0.0%,73.2,3.8%,14.0%,69.8%,0.0%,5.00,9.3%,58.1%,32.6%,-1.2,-0.5%,-12.4,50%,,0%,delarru01
Randall Delgado,25,2,.000,-393,,.000,0.0%,50.0%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.4,,,,delgara01
Danny Dorn,30,32,.196,-2,.250,.033,0.0%,31.3%,6.3%,86.6,41.2%,25.0%,50.0%,15.0%,1.00,45.0%,50.0%,5.0%,0.2,0.1%,-1.3,0%,,25%,dornda01
Brandon Drury,22,59,.274,55,.217,.161,3.4%,13.6%,3.4%,88.4,36.6%,29.2%,56.3%,12.5%,1.29,33.3%,47.9%,18.8%,-0.7,0.0%,-1.6,8%,,33%,drurybr01
Zack Godley,25,10,.089,-101,.333,.000,0.0%,60.0%,0.0%,87.4,0.0%,0.0%,50.0%,0.0%,,25.0%,50.0%,25.0%,-0.1,0.0%,-1.8,0%,,,godleza01
Paul Goldschmidt,27,695,.432,172,.382,.249,4.8%,21.7%,17.0%,92.9,52.4%,32.9%,42.3%,19.4%,0.73,15.6%,58.9%,25.5%,6.1,2.5%,59.2,26%,81%,44%,goldspa01
Tuffy Gosewisch,31,138,.297,73,.248,.070,0.7%,16.7%,5.8%,88.4,35.9%,26.4%,49.1%,13.2%,0.98,21.7%,57.5%,20.8%,-0.6,-0.3%,-2.4,23%,67%,17%,gosewtu01
