--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Pedro Álvarez,31,127,.309,91,.179,.234,6.3%,28.4%,12.6%,90.8,48.5%,20.0%,41.3%,26.7%,0.72,37.3%,53.3%,9.3%,-0.5,0.2%,-2.8,36%,,36%,alvarpe01
John Andreoli,28,61,.261,51,.325,.036,0.0%,27.9%,6.6%,82.9,15.8%,20.0%,35.0%,35.0%,0.54,15.0%,55.0%,30.0%,-0.2,0.0%,-3.6,20%,100%,40%,andrejo03
Tim Beckham,28,402,.293,81,.282,.144,3.0%,24.9%,6.7%,87.1,38.2%,22.8%,48.2%,22.4%,0.95,26.1%,54.8%,19.1%,-2.0,-0.6%,-12.0,32%,33%,53%,beckhti01
Dylan Bundy,25,5,.160,-16,.333,.000,0.0%,40.0%,0.0%,70.4,0.0%,33.3%,33.3%,0.0%,1.00,33.3%,33.3%,33.3%,-0.1,0.0%,-0.4,100%,,0%,bundydy01
Andrew Cashner,31,3,.000,-131,.000,.000,0.0%,33.3%,0.0%,64.0,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,-0.1,0.0%,-0.4,,,,cashnan01
Alex Cobb,30,7,.149,-44,.250,.000,0.0%,28.6%,0.0%,76.4,0.0%,20.0%,40.0%,0.0%,2.00,0.0%,60.0%,40.0%,-0.1,0.0%,-0.9,0%,,,cobbal01
Chris Davis,32,522,.248,47,.237,.128,3.1%,36.8%,7.9%,89.8,43.1%,25.2%,40.1%,28.7%,0.68,34.8%,47.9%,17.4%,-3.4,-0.3%,-23.2,22%,100%,15%,davisch02
Kevin Gausman,27,2,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,gausmke01
Craig Gentry,34,169,.306,83,.331,.077,0.6%,18.3%,6.5%,84.1,23.9%,27.0%,47.6%,14.3%,0.98,34.1%,52.4%,13.5%,-0.9,0.0%,-2.6,20%,80%,50%,gentrcr01
David Hess,24,3,.231,35,.000,.000,0.0%,0.0%,33.3%,50.4,0.0%,50.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,-0.1,0.0%,-0.4,200%,,,hessda01
Adam Jones,32,613,.328,103,.311,.138,2.5%,15.2%,3.9%,88.9,36.5%,25.9%,43.0%,21.8%,0.76,24.0%,54.8%,21.2%,-0.5,-0.3%,-9.6,22%,88%,42%,jonesad01
Caleb Joseph,32,280,.259,56,.282,.102,1.1%,24.3%,3.6%,84.8,30.5%,29.6%,40.7%,24.1%,0.70,28.6%,48.7%,22.6%,-1.7,-0.3%,-17.7,37%,67%,41%,josepca01
Corban Joseph,29,19,.238,40,.308,.056,0.0%,26.3%,5.3%,82.3,15.4%,15.4%,53.8%,23.1%,1.17,46.2%,38.5%,15.4%,-0.1,0.0%,-1.1,20%,,,josepco01
Manny Machado,25,413,.403,158,.311,.260,5.8%,12.4%,10.9%,93.1,53.5%,24.0%,38.2%,27.8%,0.62,21.5%,55.2%,23.3%,2.8,0.6%,27.0,18%,89%,49%,machama01
Trey Mancini,26,636,.313,94,.285,.174,3.8%,24.1%,6.9%,90.4,46.1%,22.1%,55.5%,19.1%,1.25,22.4%,55.3%,22.4%,-2.6,-0.1%,-17.7,27%,0%,49%,mancitr01
Cedric Mullins,23,191,.296,86,.279,.124,2.1%,19.4%,8.9%,87.9,33.9%,17.8%,47.4%,19.3%,1.07,32.6%,50.4%,17.0%,-0.8,0.0%,-7.6,35%,40%,47%,mullice01
Renato Núñez,24,220,.343,116,.333,.170,3.2%,22.7%,7.3%,89.6,39.6%,24.5%,38.4%,23.2%,0.63,29.8%,53.0%,17.2%,-0.7,0.0%,0.6,28%,,24%,nunezre01
Jace Peterson,28,235,.294,74,.252,.130,1.3%,23.4%,12.8%,87.5,35.3%,25.2%,44.2%,24.5%,0.82,30.6%,51.7%,17.7%,-1.6,-0.1%,-2.8,22%,87%,53%,peterja01
