--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Lars Anderson,23,5,.000,-143,.000,.000,0.0%,60.0%,0.0%,0.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,-0.2,-0.5%,-1.3,67%,,0%,anderla03
Mike Aviles,30,107,.350,112,.361,.119,1.9%,15.9%,3.7%,15.1%,48.8%,24.4%,1.02,27.9%,57.0%,15.1%,0.1,-0.5%,0.6,40%,67%,60%,avilemi01
Josh Beckett,31,5,.000,-143,.000,.000,0.0%,20.0%,0.0%,25.0%,25.0%,0.0%,0.50,25.0%,50.0%,25.0%,-0.2,-0.2%,-2.2,,,100%,beckejo02
Mike Cameron,38,105,.223,18,.162,.117,2.9%,23.8%,7.6%,12.5%,41.7%,31.9%,0.73,36.1%,38.9%,25.0%,-0.9,-0.6%,-11.9,32%,,60%,camermi01
Carl Crawford,29,539,.311,80,.299,.150,2.0%,19.3%,4.3%,18.1%,48.0%,26.0%,0.94,25.5%,57.6%,16.9%,-2.2,-2.4%,-12.2,38%,75%,41%,crawfca02
J.D. Drew,35,286,.285,65,.270,.081,1.4%,20.3%,11.5%,15.0%,48.2%,26.9%,0.94,28.0%,60.6%,11.4%,-1.2,-1.4%,-11.5,22%,0%,21%,drewj.01
Jacoby Ellsbury,27,732,.408,152,.336,.230,4.4%,13.4%,7.1%,19.6%,43.7%,28.1%,0.79,28.1%,55.3%,16.7%,6.2,5.9%,59.0,36%,72%,55%,ellsbja01
Joey Gathright,30,1,.448,372,,,0.0%,0.0%,100.0%,,,,,,,,0.0,0.0%,0.1,20%,50%,100%,gathrjo01
Adrián González,29,715,.413,158,.380,.210,3.8%,16.6%,10.4%,20.3%,46.3%,28.9%,0.87,26.2%,57.0%,16.9%,3.8,3.2%,51.2,31%,100%,29%,gonzaad01
José Iglesias,21,6,.285,64,.500,.000,0.0%,33.3%,0.0%,25.0%,75.0%,0.0%,3.00,25.0%,75.0%,0.0%,0.0,0.0%,0.1,43%,,75%,iglesjo01
Conor Jackson,29,22,.238,30,.125,.158,4.6%,13.6%,9.1%,11.8%,29.4%,29.4%,0.42,41.2%,41.2%,17.6%,-0.3,-0.3%,-1.2,25%,,100%,jacksco01
John Lackey,32,3,.418,161,.500,.333,0.0%,33.3%,0.0%,0.0%,50.0%,50.0%,1.00,0.0%,100.0%,0.0%,0.1,0.1%,0.6,0%,,,lackejo01
Ryan Lavarnway,23,43,.363,121,.259,.205,4.7%,23.3%,9.3%,13.8%,31.0%,51.7%,0.45,17.2%,72.4%,10.3%,-0.2,-1.0%,-0.5,27%,,0%,lavarry01
Jon Lester,27,5,.000,-143,.000,.000,0.0%,60.0%,0.0%,50.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,-0.2,-0.1%,-1.9,,,,lestejo01
Jed Lowrie,27,341,.307,80,.289,.129,1.8%,17.6%,6.7%,17.2%,32.8%,41.0%,0.49,33.2%,46.5%,20.3%,-0.8,-0.3%,-10.4,35%,50%,47%,lowrije01
Darnell McDonald,32,175,.316,91,.258,.166,3.4%,18.9%,8.0%,11.9%,43.7%,33.3%,0.79,33.3%,51.6%,15.1%,0.0,0.6%,1.0,33%,40%,50%,mcdonda02
Andrew Miller,26,4,.000,-143,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,-0.1%,-0.6,,,,millean01
Yamaico Navarro,23,40,.279,60,.259,.135,2.5%,22.5%,7.5%,17.9%,39.3%,35.7%,0.65,32.1%,53.6%,14.3%,-0.2,-0.1%,-1.9,46%,,67%,navarya01
David Ortiz,35,605,.408,155,.321,.246,4.8%,13.7%,12.9%,19.6%,41.5%,33.4%,0.71,29.8%,53.3%,16.9%,1.9,-0.2%,32.1,26%,50%,25%,ortizda01
Dustin Pedroia,27,731,.382,132,.325,.167,2.9%,11.6%,11.8%,15.9%,49.4%,28.8%,0.99,31.7%,53.0%,15.4%,2.4,3.4%,29.7,31%,76%,36%,pedrodu01
