--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Abraham Almonte,33,37,.333,103,.364,.143,2.7%,32.4%,2.7%,88.1,30.4%,26.1%,39.1%,21.7%,0.64,21.7%,65.2%,13.0%,-0.1,0.0%,0.4,55%,100%,33%,almonab01
Jonathan Araúz,23,12,.000,-156,.000,.000,0.0%,25.0%,0.0%,78.2,22.2%,11.1%,44.4%,22.2%,1.00,22.2%,66.7%,11.1%,-0.3,-0.1%,-2.2,100%,,100%,arauzjo01
Christian Arroyo,27,300,.324,99,.326,.129,2.0%,16.3%,4.3%,88.3,42.1%,27.7%,46.4%,19.1%,0.88,23.1%,57.3%,19.7%,-0.5,-0.2%,-6.0,28%,83%,30%,arroych01
Xander Bogaerts,29,631,.367,131,.362,.149,2.4%,18.7%,9.0%,88.1,39.6%,25.8%,46.6%,21.1%,0.87,26.2%,52.9%,20.9%,0.9,0.1%,19.5,31%,80%,55%,bogaexa01
Jackie Bradley Jr.,32,290,.257,54,.257,.111,1.0%,20.0%,5.9%,86.9,37.7%,21.4%,48.8%,22.8%,0.99,33.0%,51.2%,15.8%,-2.2,-1.2%,-6.8,25%,40%,32%,bradlja02
Triston Casas,22,95,.354,120,.208,.211,5.3%,24.2%,20.0%,86.0,41.5%,13.2%,56.6%,28.3%,1.30,37.7%,50.9%,11.3%,0.6,0.0%,4.6,21%,100%,11%,casastr01
Yu Chang,26,26,.291,77,.231,.100,0.0%,26.9%,19.2%,85.4,30.8%,30.8%,61.5%,0.0%,1.60,23.1%,76.9%,0.0%,-0.1,0.0%,-0.3,33%,,50%,changyu01
Franchy Cordero,27,275,.309,89,.313,.178,2.9%,33.5%,10.2%,88.3,45.5%,26.6%,37.0%,27.9%,0.61,35.1%,44.2%,20.8%,0.1,0.0%,5.0,37%,80%,46%,cordefr02
Bobby Dalbec,27,353,.302,83,.293,.155,3.4%,33.4%,8.2%,90.3,46.0%,21.2%,38.9%,33.5%,0.64,24.1%,57.1%,18.7%,-1.1,-0.5%,-11.7,31%,100%,35%,dalbebo01
Jaylin Davis,27,27,.356,124,.615,.042,0.0%,40.7%,11.1%,88.2,38.5%,53.8%,38.5%,7.7%,0.63,7.7%,84.6%,7.7%,-0.1,0.0%,-0.4,31%,,0%,davisja03
Rafael Devers,25,614,.381,143,.329,.225,4.4%,18.6%,8.1%,93.0,51.1%,26.4%,42.1%,23.9%,0.73,27.3%,53.2%,19.6%,3.1,1.2%,37.4,30%,75%,29%,deverra01
Jeter Downs,23,41,.183,-1,.278,.103,2.4%,51.2%,2.4%,82.9,21.1%,15.8%,36.8%,36.8%,0.58,31.6%,57.9%,10.5%,-0.2,-0.1%,-3.3,38%,,100%,downsje01
