--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jake Arrieta,27,19,.121,-98,.400,.000,0.0%,52.6%,0.0%,11.1%,33.3%,11.1%,1.50,44.4%,33.3%,22.2%,-0.3,0.0%,-3.1,0%,,,arrieja01
Scott Baker,31,4,.000,-229,.000,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,,,,bakersc02
Darwin Barney,27,555,.256,44,.222,.096,1.3%,11.5%,6.5%,20.8%,45.9%,25.3%,0.86,30.2%,54.4%,15.4%,-2.9,-0.4%,-32.7,30%,67%,51%,barneda01
Brian Bogusevic,29,155,.361,122,.320,.189,3.9%,22.6%,6.5%,27.5%,50.5%,19.3%,1.04,19.3%,65.1%,15.6%,-0.1,0.0%,2.7,27%,100%,38%,bogusbr01
Julio Borbon,27,117,.272,49,.247,.077,0.9%,18.8%,10.3%,18.1%,45.8%,13.3%,1.15,34.9%,47.0%,18.1%,-0.2,-0.1%,-6.4,26%,88%,56%,borboju01
J.C. Boscan,33,10,.291,71,.286,.111,0.0%,20.0%,0.0%,28.6%,57.1%,14.3%,1.33,28.6%,28.6%,42.9%,-0.1,0.0%,-0.5,33%,,,boscajc01
Welington Castillo,26,428,.342,109,.347,.124,1.9%,22.7%,7.9%,25.9%,44.1%,22.0%,0.79,31.5%,56.3%,12.2%,-0.1,-0.3%,-3.8,23%,100%,49%,castiwe01
Starlin Castro,23,705,.292,73,.290,.102,1.4%,18.3%,4.3%,21.9%,51.6%,21.9%,1.07,22.3%,56.0%,21.7%,-2.4,-0.2%,-22.1,26%,60%,45%,castrst01
Steve Clevenger,27,9,.178,-13,.200,.000,0.0%,33.3%,11.1%,20.0%,60.0%,20.0%,1.50,20.0%,60.0%,20.0%,-0.3,-0.1%,-1.2,50%,,0%,clevest01
David DeJesus,33,318,.344,110,.291,.151,1.9%,17.3%,9.1%,21.8%,44.1%,26.6%,0.80,30.6%,51.5%,17.9%,-0.3,0.2%,7.9,33%,100%,61%,dejesda01
Scott Feldman,30,35,.217,14,.238,.147,2.9%,34.3%,0.0%,26.1%,13.0%,30.4%,0.19,17.4%,56.5%,26.1%,0.2,0.0%,-0.4,20%,,67%,feldmsc01
Matt Garza,29,20,.238,28,.444,.056,0.0%,45.0%,0.0%,20.0%,50.0%,0.0%,2.50,0.0%,80.0%,20.0%,0.1,0.0%,0.5,20%,,0%,garzama01
Cole Gillespie,29,59,.300,78,.316,.040,0.0%,22.0%,10.2%,28.2%,41.0%,25.6%,0.73,23.1%,48.7%,28.2%,-0.2,0.0%,-2.5,32%,,40%,gilleco01
Alberto Gonzalez,30,26,.309,84,.235,.174,3.9%,23.1%,7.7%,5.6%,61.1%,22.2%,1.57,38.9%,38.9%,22.2%,0.1,0.0%,-0.5,29%,,100%,gonzaal03
Scott Hairston,33,112,.307,80,.129,.263,7.1%,22.3%,6.3%,15.4%,29.5%,37.2%,0.42,43.6%,44.9%,11.5%,0.0,-0.1%,-0.8,28%,100%,67%,hairssc01
Edwin Jackson,29,59,.139,-56,.088,.077,1.7%,28.8%,3.4%,10.0%,50.0%,17.5%,1.43,27.5%,57.5%,15.0%,-0.7,-0.1%,-8.5,60%,,25%,jacksed01
Junior Lake,23,254,.353,121,.377,.144,2.4%,26.8%,5.1%,27.2%,39.6%,19.5%,0.74,37.3%,49.1%,13.6%,-0.2,0.0%,2.6,26%,50%,67%,lakeju01
Brent Lillibridge,29,24,.038,-118,.067,.000,0.0%,37.5%,0.0%,20.0%,26.7%,46.7%,0.36,6.7%,60.0%,33.3%,-0.6,-0.4%,-4.0,0%,,,lillibr01
Darnell McDonald,34,57,.345,112,.341,.132,1.8%,14.0%,7.0%,26.7%,57.8%,11.1%,1.37,17.8%,68.9%,13.3%,0.2,0.0%,0.1,16%,,50%,mcdonda02
Donnie Murphy,30,163,.377,134,.300,.275,6.8%,29.5%,4.9%,20.8%,35.6%,28.7%,0.56,34.7%,49.5%,15.8%,0.6,0.0%,2.5,29%,100%,31%,murphdo01
Dioner Navarro,29,266,.377,138,.307,.192,4.9%,13.5%,8.7%,27.8%,42.9%,22.4%,0.75,33.8%,52.9%,13.2%,1.4,0.2%,10.9,21%,0%,9%,navardi01
Thomas Neal,25,4,.000,-147,.000,.000,0.0%,0.0%,0.0%,0.0%,75.0%,25.0%,3.00,25.0%,75.0%,0.0%,-0.2,0.0%,-1.0,,,,nealth01
Brooks Raley,25,4,.000,-229,.000,.000,0.0%,25.0%,0.0%,0.0%,66.7%,0.0%,,0.0%,66.7%,33.3%,0.0,0.0%,-0.7,,,,raleybr01
Cody Ransom,37,182,.347,114,.250,.247,5.0%,31.3%,12.1%,19.6%,41.2%,26.5%,0.72,41.2%,51.0%,7.8%,-0.1,0.1%,-2.3,26%,,71%,ransoco01
Anthony Rizzo,23,690,.333,104,.258,.186,3.3%,18.4%,11.0%,23.9%,42.8%,26.2%,0.75,31.0%,50.3%,18.7%,1.1,0.4%,14.5,24%,55%,38%,rizzoan01
Chris Rusin,26,21,.090,-98,.125,.000,0.0%,14.3%,0.0%,5.6%,61.1%,16.7%,2.75,44.4%,55.6%,0.0%,-0.4,0.0%,-2.3,50%,,,rusinch01
Jeff Samardzija,28,73,.157,-49,.200,.081,1.4%,42.5%,1.4%,22.0%,34.1%,12.2%,0.82,22.0%,58.5%,19.5%,-0.9,-0.2%,-9.8,43%,,,samarje01
Dave Sappelt,26,78,.250,38,.295,.040,0.0%,18.0%,3.9%,14.8%,52.5%,27.9%,1.10,18.0%,59.0%,23.0%,-0.6,-0.3%,-3.3,29%,75%,14%,sappeda01
Nate Schierholtz,29,503,.341,109,.270,.219,4.2%,18.7%,5.8%,23.3%,39.3%,27.3%,0.66,35.0%,45.2%,19.8%,0.7,0.1%,12.2,27%,67%,34%,schiena01
Alfonso Soriano,37,383,.338,107,.290,.213,4.4%,23.2%,3.9%,23.2%,37.3%,30.8%,0.60,31.9%,49.6%,18.5%,0.6,0.1%,3.5,32%,67%,41%,soriaal01
Ryan Sweeney,28,212,.356,120,.288,.182,2.8%,14.6%,8.0%,26.2%,47.0%,17.1%,0.91,26.2%,54.9%,18.9%,-0.4,0.0%,5.1,21%,100%,24%,sweenry01
Luis Valbuena,27,391,.321,98,.233,.160,3.1%,16.1%,13.6%,18.5%,41.3%,30.3%,0.71,33.3%,51.1%,15.6%,-0.3,0.1%,0.5,19%,20%,52%,valbulu01
Carlos Villanueva,29,34,.142,-49,.294,.000,0.0%,44.1%,0.0%,21.1%,47.4%,5.3%,1.29,15.8%,63.2%,21.1%,-0.5,-0.1%,-5.3,40%,,0%,villaca01
Logan Watkins,23,42,.234,27,.333,.026,0.0%,33.3%,7.1%,28.0%,56.0%,8.0%,1.56,44.0%,36.0%,20.0%,-0.3,0.0%,-1.6,15%,,33%,watkilo01
Travis Wood,26,67,.285,64,.282,.159,4.5%,31.3%,4.5%,18.6%,34.9%,37.2%,0.56,23.3%,60.5%,16.3%,-0.3,0.0%,-2.0,26%,100%,50%,woodtr01
League Average,,,.319,93,.297,.138,2.4%,20.1%,7.7%,23.5%,45.1%,22.3%,0.86,26.5%,55.5%,18.0%,,,,28%,72%,40%,-9999
Team Total,,6079,.315,89,.275,.154,2.8%,20.2%,7.2%,22.5%,43.7%,24.5%,0.80,30.2%,52.5%,17.3%,-7.4,-1.0%,-53.1,26%,66%,43%,-9999
