--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Albert Almora,22,117,.341,105,.315,.179,2.6%,17.1%,4.3%,88.0,36.0%,33.7%,42.4%,19.6%,0.76,23.1%,59.3%,17.6%,-0.2,0.0%,-2.2,32%,,50%,almoral01
Jake Arrieta,30,70,.312,83,.429,.154,2.9%,40.0%,5.7%,89.2,43.8%,31.6%,36.8%,23.7%,0.64,15.8%,55.3%,28.9%,0.0,0.0%,-0.3,26%,,13%,arrieja01
Javier Baez,23,450,.327,92,.336,.150,3.1%,24.0%,3.3%,88.3,39.2%,24.1%,43.4%,20.3%,0.83,29.0%,54.2%,16.8%,-1.1,-0.4%,2.1,28%,80%,57%,baezja01
Kris Bryant,24,699,.406,152,.332,.262,5.6%,22.0%,10.7%,89.8,42.3%,27.9%,32.1%,31.2%,0.47,32.4%,48.8%,18.9%,2.3,0.5%,45.7,36%,62%,54%,bryankr01
Jake Buchanan,26,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,buchaja01
Trevor Cahill,28,11,.167,-49,.250,.000,0.0%,36.4%,9.1%,66.7,0.0%,33.3%,33.3%,0.0%,1.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.9,50%,,,cahiltr01
Jeimer Candelario,22,14,.179,-22,.167,.000,0.0%,35.7%,14.3%,96.8,50.0%,16.7%,66.7%,16.7%,2.00,66.7%,33.3%,0.0%,-0.2,-0.1%,-1.1,0%,,0%,candeje01
Chris Coghlan,31,128,.348,108,.325,.136,0.8%,20.3%,17.2%,87.7,41.4%,29.5%,50.0%,15.4%,1.00,46.1%,42.1%,11.8%,0.4,0.0%,8.0,41%,100%,50%,coghlch01
Willson Contreras,24,283,.366,124,.339,.206,4.2%,23.7%,9.2%,88.5,38.9%,26.3%,53.2%,17.7%,1.16,29.1%,51.1%,19.8%,-0.3,-0.1%,0.9,24%,50%,42%,contrwi01
Carl Edwards Jr.,24,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,0%,,,edwarca01
Tim Federowicz,28,33,.233,26,.300,.065,0.0%,36.4%,3.0%,93.8,44.4%,25.0%,20.0%,50.0%,0.25,25.0%,50.0%,25.0%,-0.4,-0.2%,-2.1,43%,,0%,federti01
Dexter Fowler,30,551,.374,127,.350,.171,2.4%,22.5%,14.3%,88.4,39.6%,30.0%,40.7%,22.8%,0.70,30.0%,53.9%,16.1%,1.8,0.7%,25.0,35%,76%,63%,fowlede01
Jason Hammel,33,69,.252,37,.390,.046,0.0%,34.8%,1.5%,87.8,37.5%,20.5%,47.7%,9.1%,1.24,14.0%,44.2%,41.9%,-0.3,0.0%,-3.7,35%,,0%,hammeja01
Kyle Hendricks,26,68,.144,-57,.276,.000,0.0%,42.7%,1.5%,83.0,15.8%,24.3%,35.1%,2.7%,1.00,27.0%,40.5%,32.4%,-0.8,-0.3%,-11.0,9%,,17%,hendrky01
Jason Heyward,26,592,.292,68,.266,.094,1.2%,15.7%,9.1%,87.3,36.6%,26.4%,46.1%,16.4%,0.86,35.0%,51.2%,13.8%,-2.6,-1.2%,-14.2,31%,73%,41%,heywaja01
Ryan Kalish,28,10,.358,119,.286,.000,0.0%,0.0%,10.0%,90.2,50.0%,37.5%,50.0%,0.0%,1.33,50.0%,37.5%,12.5%,0.3,0.2%,1.5,25%,,100%,kalisry01
Munenori Kawasaki,35,26,.454,173,.438,.095,0.0%,19.2%,15.4%,86.2,30.0%,37.5%,37.5%,18.8%,0.67,20.0%,46.7%,33.3%,0.3,0.0%,2.5,23%,100%,50%,kawasmu01
Tommy La Stella,27,169,.344,109,.319,.135,1.2%,16.0%,10.7%,89.1,36.2%,33.1%,35.5%,25.6%,0.55,44.2%,42.5%,13.3%,-0.3,-0.2%,-1.1,26%,0%,53%,lasteto01
John Lackey,37,69,.115,-69,.188,.032,0.0%,44.9%,2.9%,88.6,27.6%,25.0%,44.4%,16.7%,1.00,8.6%,65.7%,25.7%,-1.4,-0.6%,-15.3,13%,,0%,lackejo01
Jon Lester,32,75,.163,-43,.146,.051,0.0%,24.0%,8.0%,87.8,36.8%,15.7%,51.0%,11.8%,1.86,23.5%,68.6%,7.8%,-0.4,-0.2%,-9.6,25%,,0%,lestejo01
Miguel Montero,32,284,.312,82,.249,.141,2.8%,20.4%,13.4%,86.6,30.1%,20.5%,50.8%,22.7%,1.04,40.1%,42.3%,17.6%,0.6,0.3%,0.7,29%,100%,29%,montemi01
