--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Gordon Beckham,25,582,.310,86,.254,.137,2.8%,15.3%,6.9%,17.5%,37.4%,30.3%,0.62,25.3%,54.3%,20.4%,-0.9,-0.8%,-8.4,30%,56%,44%,beckhgo01
John Danks,27,3,.000,-142,.000,.000,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,0.50,33.3%,33.3%,33.3%,0.0,0.0%,-0.4,,,,danksjo01
Jordan Danks,25,75,.253,41,.269,.060,1.3%,21.3%,8.0%,18.9%,43.4%,24.5%,0.82,41.5%,37.7%,20.8%,-0.1,-0.1%,-7.4,30%,75%,30%,danksjo02
Alejandro De Aza,28,585,.338,106,.339,.130,1.5%,18.6%,8.0%,23.8%,39.8%,26.9%,0.71,27.1%,54.5%,18.3%,0.3,0.0%,6.3,37%,68%,56%,deazaal01
Adam Dunn,32,649,.348,113,.246,.263,6.3%,34.2%,16.2%,19.6%,34.3%,35.8%,0.52,37.1%,44.9%,18.1%,0.9,0.7%,18.8,26%,67%,32%,dunnad01
Eduardo Escobar,23,97,.266,49,.281,.069,0.0%,23.7%,9.3%,16.9%,52.3%,24.6%,1.21,24.6%,46.2%,29.2%,-0.2,-0.2%,-3.8,42%,100%,50%,escobed01
Tyler Flowers,26,153,.306,82,.301,.199,4.6%,36.6%,7.8%,16.0%,55.6%,16.0%,1.32,39.5%,43.2%,17.3%,0.0,0.2%,-3.1,32%,67%,27%,flowety01
Gavin Floyd,29,1,.000,-142,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,floydga01
Kosuke Fukudome,35,51,.227,32,.206,.024,0.0%,17.7%,15.7%,17.6%,55.9%,26.5%,1.27,23.5%,44.1%,32.4%,-0.6,-0.4%,-4.2,13%,0%,0%,fukudko01
Hector Gimenez,29,11,.408,157,.625,.000,0.0%,27.3%,0.0%,25.0%,50.0%,25.0%,1.00,12.5%,62.5%,25.0%,0.0,0.0%,1.3,20%,,100%,gimenhe01
