--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
José Abreu,34,659,.358,124,.293,.219,4.6%,21.7%,9.3%,92.0,49.4%,21.7%,47.3%,25.6%,0.90,25.2%,57.7%,17.1%,1.6,0.9%,30.1,28%,100%,51%,abreujo02
Tim Anderson,28,551,.357,123,.372,.159,3.1%,21.6%,4.0%,89.6,42.5%,23.0%,56.0%,19.3%,1.27,24.7%,54.5%,20.8%,1.9,0.5%,14.1,46%,72%,64%,anderti01
Jake Burger,25,42,.404,157,.409,.211,2.4%,35.7%,9.5%,98.0,60.9%,21.7%,47.8%,30.4%,0.92,30.4%,60.9%,8.7%,0.0,0.0%,1.4,31%,,33%,burgeja01
Dylan Cease,25,8,.365,129,.600,.125,0.0%,37.5%,0.0%,91.7,40.0%,40.0%,40.0%,20.0%,0.67,20.0%,20.0%,60.0%,-0.1,-0.1%,0.3,33%,,33%,ceasedy01
Zack Collins,26,231,.298,83,.303,.128,1.7%,29.9%,14.7%,90.3,44.4%,26.8%,31.5%,31.5%,0.47,26.8%,55.9%,17.3%,0.2,0.2%,0.8,29%,50%,36%,colliza01
Adam Eaton,32,219,.286,72,.256,.143,2.3%,25.1%,9.1%,84.6,36.2%,17.4%,52.9%,21.7%,1.24,21.0%,60.1%,18.8%,0.3,0.2%,-0.3,47%,100%,64%,eatonad02
Adam Engel,29,140,.359,120,.279,.244,5.0%,22.1%,7.9%,86.8,37.4%,25.8%,41.9%,22.6%,0.72,31.2%,49.5%,19.4%,0.3,0.3%,2.8,35%,88%,53%,engelad01
Leury Garcia,30,474,.320,97,.333,.108,1.1%,20.5%,8.7%,84.0,32.6%,21.7%,53.6%,18.7%,1.26,25.9%,57.2%,16.9%,-0.9,-0.7%,-7.2,36%,75%,60%,garcile02
Lucas Giolito,26,4,.223,29,1.000,.000,0.0%,75.0%,0.0%,105.6,100.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,-0.1%,-1.2,0%,,100%,giolilu01
Luis González,25,11,.413,163,.333,.250,0.0%,18.2%,27.3%,86.9,50.0%,33.3%,33.3%,33.3%,0.50,16.7%,66.7%,16.7%,0.0,0.0%,1.0,40%,,,gonzalu03
Romy Gonzalez,24,33,.262,57,.381,.094,0.0%,33.3%,3.0%,87.1,40.0%,23.8%,52.4%,23.8%,1.10,23.8%,52.4%,23.8%,-0.3,0.0%,-3.0,44%,,50%,gonzaro01
Brian Goodwin,30,271,.309,89,.259,.153,3.0%,21.4%,12.2%,88.1,31.8%,26.3%,36.9%,29.1%,0.59,39.1%,43.6%,17.3%,-0.5,0.6%,-1.6,31%,100%,33%,goodwbr01
Yasmani Grandal,32,375,.406,159,.246,.280,6.1%,21.9%,23.2%,92.6,53.2%,21.7%,40.4%,27.6%,0.69,36.5%,51.7%,11.8%,2.6,1.2%,27.0,28%,,23%,grandya01
