--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Bronson Arroyo,36,75,.077,-139,.121,.000,0.0%,34.7%,0.0%,14.3%,20.4%,12.2%,0.63,26.5%,49.0%,24.5%,-1.2,-0.8%,-16.5,0%,,,arroybr01
Homer Bailey,27,73,.178,-32,.225,.017,0.0%,24.7%,4.1%,17.6%,54.9%,0.0%,3.11,9.8%,62.7%,27.5%,-1.2,-0.8%,-11.7,23%,,17%,baileho02
Jay Bruce,26,697,.358,123,.322,.216,4.3%,26.5%,9.0%,28.9%,37.4%,27.1%,0.60,29.6%,54.5%,15.9%,2.8,1.9%,26.5,30%,70%,41%,bruceja01
Aroldis Chapman,25,1,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,chapmar01
Shin-Soo Choo,30,712,.398,154,.338,.178,3.0%,18.7%,15.7%,26.3%,49.4%,20.2%,1.00,19.7%,58.5%,21.8%,5.4,3.7%,50.3,31%,65%,40%,choosh01
Tony Cingrani,23,35,.263,31,.368,.036,0.0%,25.7%,0.0%,11.5%,38.5%,3.8%,2.50,3.8%,57.7%,38.5%,-0.3,-0.2%,-1.8,50%,100%,100%,cingrto01
Zack Cozart,27,618,.299,78,.285,.127,1.9%,16.5%,4.2%,21.9%,49.0%,17.0%,1.03,32.0%,53.5%,14.5%,-1.7,-1.3%,-15.1,39%,,48%,cozarza01
Johnny Cueto,27,22,.131,-62,.200,.000,0.0%,22.7%,0.0%,5.9%,41.2%,17.6%,1.75,5.9%,70.6%,23.5%,-0.4,-0.3%,-4.6,33%,,0%,cuetojo01
Zach Duke,30,1,.907,535,1.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.1,0%,,,dukeza01
Todd Frazier,27,600,.330,103,.269,.173,3.2%,20.8%,8.3%,25.1%,41.8%,23.6%,0.73,31.9%,53.0%,15.1%,0.3,0.4%,10.2,26%,55%,34%,frazito01
Billy Hamilton,22,22,.564,181,.467,.105,0.0%,18.2%,9.1%,31.3%,43.8%,12.5%,1.00,18.8%,37.5%,43.8%,0.6,0.6%,3.6,56%,93%,100%,hamilbi02
Ryan Hanigan,32,260,.269,56,.216,.063,0.8%,10.4%,11.2%,26.8%,48.5%,16.2%,0.97,26.8%,58.6%,14.6%,-0.8,-0.5%,-6.7,20%,0%,42%,hanigry01
Jack Hannahan,33,162,.284,67,.287,.072,0.6%,23.5%,11.7%,29.4%,52.9%,15.7%,1.13,30.4%,52.9%,16.7%,-0.7,-0.4%,-2.3,22%,,12%,hannaja01
Chris Heisey,28,244,.309,84,.265,.179,3.7%,20.9%,3.7%,22.3%,38.5%,22.3%,0.68,32.4%,53.1%,14.5%,-0.8,-0.5%,-2.6,33%,100%,60%,heisech01
Cesar Izturis,33,142,.248,38,.231,.062,0.0%,9.2%,6.3%,23.3%,50.8%,15.8%,1.11,25.0%,59.2%,15.8%,0.0,-0.1%,-4.9,16%,,39%,izturce01
Mat Latos,25,78,.132,-59,.209,.028,0.0%,35.9%,1.3%,18.4%,44.9%,14.3%,1.22,12.2%,67.3%,20.4%,-0.8,-0.6%,-9.8,30%,,33%,latosma01
Mike Leake,25,69,.205,2,.273,.063,0.0%,27.5%,2.9%,18.8%,37.5%,20.8%,0.75,18.8%,54.2%,27.1%,-1.0,-0.7%,-8.1,57%,,67%,leakemi01
Ryan Ludwick,34,140,.279,64,.293,.085,1.4%,20.7%,7.1%,32.7%,36.6%,21.8%,0.58,28.7%,54.5%,16.8%,-0.8,-0.5%,-10.9,13%,,14%,ludwiry01
Donald Lutz,24,59,.261,43,.302,.069,1.7%,23.7%,1.7%,15.9%,52.3%,22.7%,1.10,36.4%,52.3%,11.4%,-0.2,-0.1%,-3.3,29%,100%,50%,lutzdo01
