--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Albert Almora,28,235,.284,68,.261,.126,2.1%,19.6%,7.2%,83.4,25.7%,23.4%,50.3%,18.1%,1.04,32.7%,49.7%,17.5%,-0.9,0.0%,-6.1,34%,60%,48%,almoral01
Aristides Aquino,28,276,.267,58,.277,.166,3.6%,36.6%,6.2%,85.6,35.1%,17.1%,39.9%,27.2%,0.66,36.7%,48.7%,14.6%,-1.5,-0.3%,-12.4,23%,40%,46%,aquinar01
Jose Barrero,24,174,.186,-5,.264,.055,1.2%,43.7%,5.2%,86.8,35.2%,21.3%,40.4%,29.2%,0.69,29.2%,51.7%,19.1%,-2.7,0.0%,-23.0,34%,80%,43%,garcijo02
Ronnie Dawson,27,3,.000,-137,.000,.000,0.0%,66.7%,0.0%,102.6,100.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.5,,,,dawsoro01
Brandon Drury,29,385,.371,130,.306,.246,5.2%,21.8%,7.5%,89.0,42.7%,22.8%,42.9%,26.5%,0.75,30.5%,50.8%,18.8%,2.5,0.1%,25.3,38%,50%,28%,drurybr01
Stuart Fairchild,26,99,.384,146,.365,.244,5.1%,29.3%,8.1%,87.8,42.1%,17.5%,40.4%,31.6%,0.72,31.6%,47.4%,21.1%,-0.1,0.0%,0.1,22%,0%,33%,faircst01
Kyle Farmer,31,583,.312,88,.286,.131,2.4%,17.0%,5.7%,85.3,33.8%,25.5%,44.8%,23.4%,0.82,29.7%,52.0%,18.4%,-1.1,-0.1%,-1.3,26%,57%,45%,farmeky01
Jake Fraley,27,247,.356,117,.289,.208,4.9%,21.9%,10.5%,85.1,27.8%,23.2%,43.3%,28.0%,0.76,37.2%,43.3%,19.5%,0.5,-0.2%,8.1,29%,80%,58%,fraleja01
TJ Friedl,26,258,.324,94,.251,.196,3.1%,15.5%,7.8%,84.0,29.8%,20.4%,30.4%,32.5%,0.48,40.3%,43.5%,16.2%,0.3,-0.1%,-1.4,33%,78%,43%,friedtj01
Aramis Garcia,29,115,.221,24,.301,.046,0.9%,29.6%,2.6%,86.0,36.8%,28.9%,34.2%,22.4%,0.54,21.3%,62.7%,16.0%,-1.3,-0.2%,-15.8,19%,0%,0%,garciar01
Jonathan India,25,431,.319,94,.305,.130,2.3%,21.8%,7.2%,84.9,29.0%,23.6%,41.4%,25.7%,0.71,32.5%,51.0%,16.4%,0.1,-0.2%,-1.5,29%,43%,38%,indiajo01
Mark Kolozsvary,26,21,.288,70,.300,.250,4.8%,42.9%,4.8%,88.3,45.5%,36.4%,45.5%,18.2%,0.83,18.2%,81.8%,0.0%,0.3,0.0%,-0.7,40%,,,kolozma01
Alejo Lopez,26,156,.287,68,.301,.069,0.6%,13.5%,5.8%,83.8,20.7%,30.6%,47.6%,18.5%,0.91,30.6%,48.4%,21.0%,-0.6,-0.1%,-0.3,28%,75%,33%,lopezal03
Colin Moran,29,128,.301,79,.234,.165,3.9%,23.4%,12.5%,90.4,39.5%,20.7%,50.0%,28.0%,1.00,41.5%,40.2%,18.3%,-0.6,-0.1%,-2.2,18%,,29%,moranco01
Taylor Motter,32,6,.150,-29,.333,.000,0.0%,50.0%,0.0%,85.7,33.3%,33.3%,33.3%,0.0%,0.50,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,0%,,,motteta01
Mike Moustakas,33,285,.287,68,.272,.131,2.5%,26.3%,8.4%,87.6,33.9%,23.3%,35.0%,25.6%,0.54,34.4%,51.7%,13.9%,-0.8,-0.2%,-10.5,30%,100%,32%,moustmi01
Tyler Naquin,31,204,.318,93,.307,.198,3.4%,26.0%,6.4%,88.7,39.8%,25.9%,34.8%,28.9%,0.56,31.9%,49.6%,18.5%,-0.1,0.1%,8.0,40%,60%,62%,naquity01
Chris Okey,27,13,.194,3,.286,.000,0.0%,38.5%,0.0%,86.2,14.3%,0.0%,57.1%,28.6%,1.33,14.3%,57.1%,28.6%,-0.1,0.0%,-1.8,100%,,0%,okeych01
Michael Papierski,26,93,.222,21,.203,.049,1.1%,23.7%,9.7%,76.4,9.7%,21.0%,41.9%,19.4%,0.76,33.9%,45.2%,21.0%,-0.6,0.0%,-8.3,24%,,0%,papiemi01
Tommy Pham,34,387,.308,83,.300,.135,2.8%,25.8%,10.9%,91.7,46.1%,23.8%,46.7%,24.6%,0.88,23.4%,56.1%,20.5%,-1.4,-0.1%,-6.0,41%,78%,55%,phamth01
