--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Michael Brantley,25,609,.326,109,.310,.114,1.0%,9.2%,8.7%,20.8%,49.0%,25.8%,0.97,26.8%,56.9%,16.3%,0.7,0.7%,12.7,28%,57%,37%,brantmi02
Asdrúbal Cabrera,26,616,.335,114,.303,.153,2.6%,16.1%,8.4%,21.6%,40.1%,29.2%,0.69,37.0%,50.3%,12.7%,1.9,1.4%,12.1,28%,69%,52%,cabreas01
Russ Canzler,26,97,.314,98,.324,.129,3.1%,22.7%,4.1%,15.5%,49.3%,25.4%,0.97,32.4%,46.5%,21.1%,-0.1,0.0%,-0.6,23%,,44%,canzlru01
Luke Carlin,31,14,.427,169,.273,.071,0.0%,21.4%,0.0%,0.0%,81.8%,18.2%,4.50,9.1%,90.9%,0.0%,0.1,0.0%,1.4,67%,100%,33%,carlilu01
Ezequiel Carrera,25,158,.315,93,.342,.122,1.3%,22.2%,5.1%,21.1%,43.9%,21.9%,0.89,29.8%,57.0%,13.2%,-0.5,0.0%,0.8,38%,89%,44%,carreez01
Lonnie Chisenhall,23,151,.326,107,.300,.162,3.3%,17.9%,5.3%,21.7%,44.3%,23.5%,0.80,32.2%,56.5%,11.3%,-0.2,0.1%,-0.5,26%,67%,27%,chiselo01
Shin-Soo Choo,29,686,.364,134,.353,.159,2.3%,21.9%,10.6%,22.5%,50.3%,24.3%,1.02,21.7%,58.7%,19.6%,2.4,1.4%,22.6,30%,75%,39%,choosh01
Aaron Cunningham,26,109,.222,39,.225,.072,0.9%,22.9%,8.3%,14.7%,45.3%,20.0%,0.89,22.7%,62.7%,14.7%,-0.8,-0.6%,-9.2,14%,0%,17%,cunniaa01
Johnny Damon,38,224,.281,71,.239,.106,1.8%,12.1%,7.6%,16.1%,45.6%,26.1%,0.84,32.2%,50.6%,17.2%,-1.4,-1.2%,-10.5,36%,100%,56%,damonjo01
Juan Diaz,23,17,.289,80,.400,.000,0.0%,29.4%,5.9%,10.0%,80.0%,10.0%,4.00,60.0%,30.0%,10.0%,0.0,0.0%,-0.9,67%,,0%,diazju02
Jason Donald,27,135,.248,45,.274,.081,1.5%,29.6%,3.7%,21.8%,51.7%,19.5%,1.13,19.5%,60.9%,19.5%,0.2,-0.3%,-6.8,42%,100%,40%,donalja01
Shelley Duncan,32,264,.296,87,.218,.185,4.2%,22.4%,10.6%,14.8%,31.3%,33.0%,0.45,42.9%,43.4%,13.7%,-1.8,-1.1%,-12.1,27%,33%,37%,duncash01
Jeanmar Gómez,24,4,.224,33,.333,.000,0.0%,25.0%,0.0%,66.7%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-0.7,0%,,,gomezje01
Travis Hafner,35,263,.348,123,.233,.210,4.6%,17.9%,12.2%,15.4%,43.4%,34.3%,0.77,31.4%,59.4%,9.1%,0.9,0.5%,-5.6,14%,,16%,hafnetr01
Jack Hannahan,32,318,.298,89,.299,.098,1.3%,19.8%,8.5%,23.0%,39.4%,29.6%,0.66,21.7%,58.8%,19.5%,-0.3,0.0%,-4.5,20%,0%,46%,hannaja01
Ubaldo Jiménez,28,5,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.2,-0.1%,-1.4,,,,jimenub01
Jason Kipnis,25,672,.327,103,.291,.122,2.1%,16.2%,10.0%,21.0%,46.6%,26.5%,0.91,26.7%,55.5%,17.8%,2.1,1.3%,18.1,34%,82%,41%,kipnija01
Casey Kotchman,29,500,.279,72,.233,.104,2.4%,9.8%,5.2%,15.6%,55.3%,19.9%,1.26,30.6%,55.7%,13.6%,-2.8,-1.0%,-20.8,27%,100%,23%,kotchca01
Matt LaPorta,27,60,.272,67,.325,.086,1.7%,28.3%,1.7%,14.6%,53.7%,24.4%,1.16,51.2%,39.0%,9.8%,-0.5,0.0%,-5.0,7%,,67%,laporma01
Brent Lillibridge,28,123,.298,78,.300,.126,2.4%,32.5%,5.7%,23.3%,43.8%,28.8%,0.78,13.9%,69.4%,16.7%,-0.5,-0.1%,-4.7,38%,100%,33%,lillibr01
Jose Lopez,28,224,.297,88,.277,.117,1.8%,15.6%,3.6%,19.3%,44.8%,27.1%,0.81,41.0%,47.2%,11.8%,-0.7,-0.5%,-5.0,21%,0%,13%,lopezjo01
