--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Greg Allen,26,256,.294,69,.280,.117,1.6%,20.7%,4.3%,86.5,33.7%,22.4%,47.0%,20.2%,0.97,36.6%,44.3%,19.1%,-1.0,-1.2%,-7.7,35%,80%,50%,allengr01
Trevor Bauer,28,6,.177,-33,.500,.000,0.0%,50.0%,0.0%,88.3,0.0%,0.0%,66.7%,0.0%,,0.0%,33.3%,66.7%,-0.1,-0.1%,-1.0,0%,,,bauertr01
Jake Bauers,23,423,.297,75,.290,.145,2.8%,27.2%,10.6%,88.3,35.7%,26.5%,38.5%,25.8%,0.64,30.8%,53.5%,15.8%,-1.8,-1.5%,-8.0,28%,50%,42%,bauerja01
Shane Bieber,24,5,.000,-135,.000,.000,0.0%,60.0%,0.0%,84.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.3,-0.2%,-2.1,,,,biebesh01
Bobby Bradley,23,49,.274,57,.292,.178,2.0%,40.8%,8.2%,92.8,43.5%,28.0%,44.0%,24.0%,0.79,36.0%,48.0%,16.0%,0.0,0.0%,-3.1,27%,,33%,bradlbo01
Yu Chang,23,84,.255,44,.240,.096,1.2%,26.2%,13.1%,88.2,33.3%,19.6%,51.0%,27.5%,1.04,21.6%,58.8%,19.6%,-0.5,-0.7%,-8.1,30%,,20%,changyu01
Aaron Civale,24,2,.000,-135,.000,.000,0.0%,50.0%,0.0%,76.3,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-0.4,,,,civalaa01
Mike Clevinger,28,2,.000,-135,.000,.000,0.0%,50.0%,0.0%,,,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-0.7,,,,clevimi01
Ryan Flaherty,32,22,.158,-30,.214,.095,0.0%,31.8%,0.0%,87.6,50.0%,20.0%,53.3%,6.7%,1.60,53.3%,40.0%,6.7%,-0.2,-0.3%,-2.5,100%,,100%,flahery01
Mike Freeman,31,213,.332,101,.388,.113,1.9%,28.6%,10.3%,83.7,30.7%,25.4%,46.0%,19.0%,1.00,30.2%,47.6%,22.2%,-0.3,-0.4%,-0.2,30%,33%,45%,freemmi01
Carlos González,33,117,.254,46,.282,.067,1.7%,28.2%,8.6%,86.8,36.8%,21.9%,58.9%,13.7%,1.48,26.8%,57.7%,15.5%,-1.2,-0.8%,-11.7,36%,0%,43%,gonzaca01
