--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Cristhian Adames,22,15,.061,-110,.100,.000,0.0%,33.3%,0.0%,20.0%,70.0%,0.0%,2.33,20.0%,70.0%,10.0%,-0.5,0.0%,-2.8,100%,,,adamecr01
Brett Anderson,26,15,.183,-27,.286,.143,0.0%,46.7%,0.0%,12.5%,50.0%,25.0%,1.33,37.5%,37.5%,25.0%,-0.3,0.0%,-2.7,0%,,,anderbr04
Nolan Arenado,23,467,.365,117,.294,.213,3.9%,12.4%,5.4%,27.9%,37.6%,25.0%,0.61,28.7%,59.2%,12.1%,3.0,1.5%,10.6,30%,67%,35%,arenano01
Brandon Barnes,28,313,.321,86,.364,.168,2.6%,32.0%,4.8%,26.8%,44.9%,19.2%,0.91,23.2%,56.6%,20.2%,-1.0,0.2%,-9.1,35%,56%,39%,barnebr02
Matt Belisle,34,1,.000,-156,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,belisma01
Christian Bergman,26,20,.042,-136,.077,.000,0.0%,30.0%,0.0%,14.3%,64.3%,14.3%,2.25,14.3%,78.6%,7.1%,-0.5,0.0%,-5.1,0%,,,bergmch01
Chad Bettis,25,3,.000,-156,.000,.000,0.0%,33.3%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,,bettich01
Charlie Blackmon,27,648,.348,102,.315,.152,2.9%,14.8%,4.8%,25.6%,40.6%,22.6%,0.71,28.6%,53.8%,17.6%,-0.3,0.5%,11.7,32%,74%,36%,blackch02
Brooks Brown,29,1,.000,-156,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,brownbr02
Eddie Butler,23,6,.000,-156,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,33.3%,66.7%,-0.2,0.0%,-1.7,,,,butleed01
Jhoulys Chacín,26,17,.344,101,.455,.067,0.0%,23.5%,5.9%,8.3%,58.3%,8.3%,2.33,25.0%,41.7%,33.3%,-0.1,0.0%,-0.4,33%,,0%,chacijh01
Tyler Chatwood,24,10,.091,-88,.200,.000,0.0%,50.0%,0.0%,40.0%,40.0%,0.0%,1.00,0.0%,40.0%,60.0%,-0.1,-0.1%,-1.1,0%,,,chatwty01
Michael Cuddyer,35,205,.426,160,.351,.247,4.9%,14.6%,6.8%,30.4%,49.7%,16.1%,0.99,26.3%,55.6%,18.1%,0.1,0.0%,10.9,33%,100%,39%,cuddymi01
Charlie Culberson,25,233,.248,30,.259,.095,1.3%,26.6%,5.2%,18.2%,50.6%,19.5%,1.10,19.0%,59.5%,21.6%,-1.3,-0.5%,-15.5,23%,50%,44%,culbech01
Jorge De La Rosa,33,67,.170,-41,.265,.000,0.0%,38.8%,1.5%,15.0%,65.0%,0.0%,4.33,15.0%,55.0%,30.0%,-0.7,-0.1%,-8.6,50%,,13%,rosajo01
Corey Dickerson,25,478,.405,150,.356,.255,5.0%,21.1%,7.7%,31.6%,36.9%,22.4%,0.59,22.1%,57.8%,20.1%,3.1,0.7%,32.0,33%,53%,57%,dickeco01
Yohan Flande,28,17,.185,-53,.167,.000,0.0%,35.3%,5.9%,0.0%,50.0%,0.0%,,0.0%,90.0%,10.0%,-0.2,0.0%,-2.2,0%,,,flandyo01
Christian Friedrich,26,5,.182,-20,.333,.000,0.0%,40.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,66.7%,33.3%,-0.1,0.0%,-0.7,0%,,,friedch01
Carlos González,28,281,.318,80,.283,.192,3.9%,24.9%,6.8%,26.2%,46.1%,18.3%,0.87,28.8%,56.0%,15.2%,-1.1,-0.2%,-5.3,34%,100%,44%,gonzaca01
LaTroy Hawkins,41,1,.000,-156,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-0.2,,,,hawkila01
Pedro Hernandez,25,2,.000,-156,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,hernape02
