--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Cristhian Adames,23,58,.283,56,.310,.057,0.0%,19.0%,5.2%,85.1,45.9%,20.9%,55.8%,11.6%,1.50,25.6%,55.8%,18.6%,-0.3,0.0%,-1.5,22%,0%,43%,adamecr01
Nolan Arenado,24,665,.378,124,.284,.287,6.3%,16.5%,5.1%,91.4,46.6%,31.5%,34.8%,23.6%,0.53,29.4%,54.2%,16.4%,2.8,0.3%,34.7,32%,29%,51%,arenano01
Brandon Barnes,29,281,.303,66,.332,.090,0.7%,23.8%,7.5%,87.1,31.0%,31.1%,43.2%,18.4%,0.79,17.4%,55.3%,27.4%,-1.1,-0.1%,-9.8,32%,67%,65%,barnebr02
Christian Bergman,27,15,.185,-40,.250,.000,0.0%,26.7%,6.7%,83.6,14.3%,0.0%,60.0%,20.0%,3.00,0.0%,80.0%,20.0%,-0.2,0.0%,-0.8,33%,,0%,bergmch01
Chad Bettis,26,33,.139,-55,.125,.000,0.0%,39.4%,12.1%,76.3,7.7%,6.3%,75.0%,6.3%,6.00,0.0%,62.5%,37.5%,-0.6,-0.1%,-6.4,33%,,33%,bettich01
Charlie Blackmon,28,682,.361,105,.325,.163,2.5%,16.4%,6.7%,86.7,33.9%,33.3%,37.6%,18.2%,0.63,36.0%,53.0%,11.0%,1.2,0.5%,15.7,35%,77%,52%,blackch02
Eddie Butler,24,24,.035,-141,.100,.000,0.0%,54.2%,0.0%,59.0,0.0%,9.1%,45.5%,0.0%,2.50,0.0%,54.5%,45.5%,-0.4,-0.2%,-4.1,0%,,0%,butleed01
Jorge De La Rosa,34,50,.094,-95,.100,.000,0.0%,36.0%,0.0%,76.6,22.7%,12.5%,78.1%,0.0%,6.25,12.5%,59.4%,28.1%,-1.1,-0.2%,-12.1,0%,,0%,rosajo01
Daniel Descalso,28,209,.271,43,.244,.119,2.4%,21.5%,9.6%,88.0,32.7%,25.0%,43.1%,18.8%,0.79,33.3%,50.0%,16.7%,0.0,-0.1%,-1.7,31%,33%,30%,descada01
Corey Dickerson,26,234,.383,127,.367,.232,4.3%,23.9%,4.3%,90.4,45.1%,36.3%,38.1%,15.5%,0.62,27.4%,57.1%,15.5%,0.6,0.1%,7.3,29%,0%,37%,dickeco01
Yohan Flande,29,22,.119,-77,.273,.000,0.0%,45.5%,0.0%,57.2,0.0%,0.0%,25.0%,8.3%,3.00,25.0%,50.0%,25.0%,-0.2,0.0%,-3.5,33%,,0%,flandyo01
Christian Friedrich,27,3,.000,-157,.000,.000,0.0%,0.0%,0.0%,76.2,50.0%,0.0%,100.0%,0.0%,,33.3%,66.7%,0.0%,0.0,0.0%,-1.2,,,,friedch01
Dustin Garneau,27,76,.253,28,.167,.129,2.6%,18.4%,7.9%,83.4,19.6%,19.6%,41.1%,21.4%,0.70,19.6%,67.9%,12.5%,0.2,0.0%,1.9,27%,,60%,garnedu01
Gonzalez Germen,27,1,.000,-157,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,germego01
Carlos González,29,608,.370,115,.284,.269,6.6%,21.9%,7.6%,90.7,44.5%,28.7%,47.4%,16.8%,0.92,29.2%,57.7%,13.1%,4.2,0.2%,24.0,30%,100%,42%,gonzaca01
Jon Gray,23,13,.107,-78,.000,.000,0.0%,46.2%,15.4%,89.5,33.3%,0.0%,100.0%,0.0%,,20.0%,80.0%,0.0%,-0.3,0.0%,-2.5,50%,,0%,grayjo02
