--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Alex Avila,24,551,.388,142,.366,.211,3.5%,23.8%,13.3%,20.9%,37.5%,36.9%,0.61,27.3%,50.6%,22.1%,2.8,2.2%,28.4,23%,75%,39%,avilaal01
Wilson Betemit,29,133,.380,134,.429,.233,3.8%,35.3%,8.3%,22.7%,42.7%,26.7%,0.74,40.0%,46.7%,13.3%,0.6,0.5%,3.0,15%,100%,14%,betemwi01
Brennan Boesch,26,472,.353,117,.315,.175,3.4%,17.6%,7.4%,18.9%,42.7%,30.7%,0.75,33.8%,51.0%,15.2%,0.7,0.2%,8.3,40%,63%,39%,boescbr01
Miguel Cabrera,28,688,.445,185,.365,.241,4.4%,12.9%,15.7%,22.1%,45.3%,28.1%,0.83,22.5%,57.4%,20.1%,7.6,4.7%,70.1,29%,67%,42%,cabremi01
Phil Coke,28,2,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,-0.1%,-0.6,,,,cokeph01
Andy Dirks,25,235,.311,84,.273,.155,3.0%,15.3%,4.7%,18.9%,33.5%,33.0%,0.53,29.7%,57.8%,12.4%,-1.3,-0.9%,-6.3,41%,71%,46%,dirksan01
Carlos Guillen,35,102,.281,65,.244,.137,2.9%,15.7%,4.9%,21.0%,39.5%,29.6%,0.67,25.9%,55.6%,18.5%,-0.8,-1.3%,-6.7,21%,50%,50%,guillca01
Brandon Inge,34,303,.254,44,.256,.086,1.0%,24.4%,7.9%,20.2%,34.5%,32.5%,0.55,34.0%,46.3%,19.7%,-0.7,-0.7%,-22.5,33%,50%,19%,ingebr01
Austin Jackson,24,668,.317,87,.340,.125,1.5%,27.1%,8.4%,16.4%,44.3%,29.3%,0.90,23.7%,56.7%,19.7%,-0.3,0.4%,-7.7,40%,81%,36%,jacksau01
Don Kelly,31,281,.312,86,.256,.136,2.5%,11.4%,5.0%,18.1%,28.9%,36.2%,0.44,23.7%,53.4%,22.8%,-0.6,-0.8%,-2.4,34%,67%,36%,kellydo01
