--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Akil Baddoo,23,225,.261,69,.289,.065,0.9%,28.4%,10.7%,84.2,27.2%,21.2%,40.9%,24.8%,0.71,27.0%,48.2%,24.8%,-0.6,-0.5%,-12.7,41%,60%,77%,baddoak01
Javier Báez,29,590,.307,99,.292,.155,2.9%,24.9%,4.4%,87.9,38.4%,20.4%,50.6%,22.9%,1.02,29.7%,50.4%,20.0%,-0.2,0.5%,-5.4,32%,82%,65%,baezja01
Tucker Barnhart,31,308,.258,64,.296,.046,0.3%,24.0%,8.1%,83.9,26.2%,21.6%,52.4%,17.3%,1.15,28.4%,45.7%,26.0%,-1.5,-0.2%,-12.2,17%,,20%,barnhtu01
Miguel Cabrera,39,433,.282,81,.324,.063,1.2%,23.3%,6.5%,89.9,38.5%,25.9%,52.5%,19.6%,1.10,19.3%,58.8%,21.9%,-1.9,-0.1%,-9.5,16%,100%,10%,cabremi01
Daz Cameron,25,70,.286,79,.302,.125,1.4%,28.6%,7.1%,90.4,43.2%,22.7%,31.8%,31.8%,0.47,25.0%,50.0%,25.0%,0.3,0.0%,0.6,25%,100%,60%,camerda01
Jeimer Candelario,28,467,.282,83,.257,.145,2.8%,23.3%,6.0%,87.2,34.9%,24.4%,42.6%,24.1%,0.74,29.9%,51.5%,18.5%,-1.4,-0.4%,-7.3,31%,0%,40%,candeje01
Kerry Carpenter,24,113,.343,126,.303,.233,5.3%,28.3%,5.3%,87.2,36.1%,22.2%,40.3%,30.6%,0.67,34.7%,44.4%,20.8%,-0.2,0.0%,0.1,35%,,40%,carpeke01
Harold Castro,28,443,.306,100,.318,.110,1.6%,17.8%,3.8%,86.4,33.6%,27.5%,43.4%,25.7%,0.78,30.1%,46.8%,23.1%,0.6,-0.1%,2.2,24%,0%,42%,castrha01
Willi Castro,25,392,.291,88,.288,.126,2.0%,20.9%,3.8%,84.3,31.5%,23.7%,41.8%,24.4%,0.73,24.4%,55.4%,20.2%,-0.6,-0.2%,-8.0,36%,69%,51%,castrwi01
Kody Clemens,26,127,.222,37,.148,.162,3.9%,26.0%,6.3%,89.4,37.2%,17.4%,38.4%,36.0%,0.62,47.7%,37.2%,15.1%,-0.5,0.0%,-6.7,28%,100%,64%,clemeko01
