--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jose Altuve,24,707,.385,138,.360,.112,1.0%,7.5%,5.1%,23.8%,48.6%,20.7%,0.96,31.5%,54.5%,14.0%,3.1,0.2%,25.3,30%,86%,47%,altuvjo01
Jake Buchanan,24,1,.000,-137,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,buchaja01
Chris Carter,27,572,.350,121,.267,.264,6.5%,31.8%,9.8%,25.2%,28.6%,31.6%,0.40,35.4%,47.3%,17.4%,2.1,-0.3%,15.0,22%,71%,24%,cartech02
Jason Castro,27,512,.299,83,.294,.144,2.7%,29.5%,6.6%,24.2%,44.3%,26.7%,0.80,26.4%,54.7%,18.9%,-1.0,0.0%,-7.0,22%,100%,24%,castrja01
Carlos Corporán,30,190,.304,87,.264,.141,3.2%,19.5%,7.4%,20.6%,40.4%,30.9%,0.71,28.7%,52.2%,19.1%,0.0,-0.2%,-1.9,31%,,19%,corpoca01
Jarred Cosart,24,3,.000,-137,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.5,,,,cosarja01
Sam Deduno,30,1,1.274,805,1.000,1.000,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.4,0%,,,dedunsa01
Matt Dominguez,24,607,.259,54,.244,.115,2.6%,20.6%,4.8%,22.1%,44.2%,24.1%,0.80,25.8%,56.1%,18.2%,-3.8,-0.2%,-35.0,25%,0%,24%,dominma01
Scott Feldman,31,2,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-0.6,,,,feldmsc01
Dexter Fowler,28,505,.359,127,.351,.122,1.6%,21.4%,13.1%,25.0%,43.0%,27.1%,0.77,27.1%,54.0%,18.9%,0.9,0.1%,13.6,29%,73%,59%,fowlede01
Marwin Gonzalez,25,310,.318,101,.330,.123,1.9%,18.7%,5.5%,26.8%,49.8%,14.7%,1.06,25.9%,52.6%,21.5%,-1.3,-0.2%,-9.6,26%,33%,44%,gonzama01
Robbie Grossman,24,422,.320,98,.311,.100,1.4%,24.9%,13.0%,25.0%,40.8%,25.8%,0.72,24.4%,52.7%,22.9%,1.8,0.1%,8.4,27%,75%,33%,grossro01
Jesus Guzman,30,184,.252,46,.261,.061,1.1%,28.3%,10.3%,29.2%,45.1%,16.8%,0.82,34.5%,53.1%,12.4%,-1.8,-0.5%,-15.5,17%,100%,0%,guzmaje01
Enrique Hernández,22,89,.341,115,.319,.136,1.1%,12.4%,9.0%,24.3%,37.1%,30.0%,0.59,19.4%,58.2%,22.4%,0.5,0.0%,4.6,30%,,11%,hernaen02
L.J. Hoes,24,136,.237,38,.198,.115,2.2%,22.8%,7.4%,23.2%,53.7%,18.9%,1.19,27.4%,54.7%,17.9%,-0.3,-0.2%,-7.4,28%,,50%,hoeslj01
Dallas Keuchel,26,4,.174,-9,.000,.000,0.0%,50.0%,25.0%,0.0%,0.0%,100.0%,0.00,0.0%,100.0%,0.0%,-0.1,0.0%,-0.4,50%,,,keuchda01
Marc Krauss,26,208,.275,66,.238,.129,2.9%,26.0%,10.1%,22.0%,39.4%,30.3%,0.65,32.6%,54.5%,12.9%,-0.4,-0.2%,-10.3,19%,,36%,krausma01
Jake Marisnick,23,186,.290,76,.352,.098,1.6%,25.8%,2.7%,25.4%,36.9%,22.3%,0.62,33.1%,44.6%,22.3%,-1.1,0.0%,-5.9,28%,67%,43%,marisja01
Collin McHugh,27,3,.000,-256,.000,.000,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,,33.3%,33.3%,33.3%,0.0,0.0%,-0.7,,,,mchugco01
Brad Peacock,26,5,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.2,0.0%,-1.7,,,,peacobr01
Gregorio Petit,29,100,.314,99,.357,.144,2.0%,25.0%,1.0%,23.6%,45.8%,22.2%,0.85,37.5%,50.0%,12.5%,0.3,0.0%,-0.6,39%,0%,55%,petitgr01
Alex Presley,28,271,.282,69,.272,.102,2.2%,16.2%,4.8%,22.1%,47.9%,20.7%,0.93,19.7%,62.9%,17.4%,-1.5,-0.4%,-8.4,23%,83%,26%,preslal01
Domingo Santana,21,18,.089,-71,.000,.000,0.0%,77.8%,5.6%,33.3%,33.3%,33.3%,0.50,0.0%,66.7%,33.3%,-0.3,0.0%,-2.3,100%,,100%,santado01
Jon Singleton,22,362,.288,78,.238,.168,3.6%,37.0%,13.8%,16.4%,40.7%,29.9%,0.69,34.3%,50.3%,15.4%,-1.8,-0.1%,-4.7,32%,40%,30%,singljo02
George Springer,24,345,.363,131,.294,.237,5.8%,33.0%,11.3%,21.3%,46.4%,25.1%,0.87,29.3%,57.5%,13.3%,0.5,0.0%,13.9,26%,71%,48%,springe01
Max Stassi,23,20,.354,125,.500,.100,0.0%,30.0%,0.0%,42.9%,28.6%,21.4%,0.40,35.7%,28.6%,35.7%,0.4,0.0%,2.5,29%,,0%,stassma01
Nick Tropeano,23,2,.347,120,.000,.000,0.0%,0.0%,50.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2,0%,,0%,tropeni01
Jonathan Villar,23,289,.282,65,.271,.144,2.4%,27.7%,6.6%,21.8%,48.4%,20.7%,1.08,20.7%,56.9%,22.3%,-1.3,-0.3%,-6.4,32%,81%,47%,villajo01
Josh Zeid,27,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,zeidjo01
League Average,,,.320,98,.296,.137,2.3%,20.0%,7.7%,23.8%,44.2%,23.0%,0.82,28.8%,54.2%,17.0%,,,,29%,74%,41%,-9999
Team Total,,6055,.315,94,.298,.141,2.7%,23.8%,8.2%,23.6%,43.5%,24.3%,0.79,28.4%,53.8%,17.8%,-5.3,-2.0%,-35.8,27%,77%,36%,-9999
