--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jose Altuve,31,678,.359,127,.280,.211,4.6%,13.4%,9.7%,86.6,34.9%,23.6%,39.1%,24.6%,0.66,37.1%,52.0%,10.8%,1.5,1.4%,18.1,42%,63%,42%,altuvjo01
Yordan Alvarez,24,598,.369,133,.320,.253,5.5%,24.3%,8.4%,93.0,54.2%,27.6%,37.7%,30.1%,0.61,26.3%,56.5%,17.2%,1.4,1.0%,17.4,34%,100%,40%,alvaryo01
Michael Brantley,34,508,.353,122,.337,.126,1.6%,10.4%,6.5%,89.4,42.9%,28.8%,46.5%,20.6%,0.87,28.1%,54.4%,17.5%,-0.7,-0.6%,8.8,34%,100%,29%,brantmi02
Alex Bregman,27,400,.340,113,.286,.152,3.0%,13.3%,11.0%,89.0,38.3%,23.1%,41.5%,27.1%,0.71,37.1%,52.8%,10.0%,-0.7,-0.2%,5.2,32%,100%,29%,bregmal01
Jason Castro,34,179,.357,125,.310,.208,4.5%,30.2%,14.0%,89.3,42.7%,28.9%,37.1%,28.9%,0.61,35.1%,48.5%,16.5%,1.3,0.7%,4.8,26%,,27%,castrja01
Carlos Correa,26,640,.369,133,.308,.205,4.1%,18.1%,11.7%,90.2,42.7%,26.1%,42.5%,23.4%,0.74,24.7%,53.3%,22.0%,2.1,1.7%,28.4,38%,,34%,correca01
Ronnie Dawson,26,6,.264,59,.200,.000,0.0%,0.0%,16.7%,87.5,40.0%,0.0%,100.0%,0.0%,,40.0%,40.0%,20.0%,0.0,0.0%,-0.4,100%,,0%,dawsoro01
Alex De Goti,26,7,.354,122,.500,.000,0.0%,28.6%,14.3%,83.3,25.0%,0.0%,25.0%,75.0%,0.33,0.0%,50.0%,50.0%,0.2,0.1%,1.6,67%,,100%,degotal01
Aledmys Díaz,30,319,.317,98,.304,.146,2.5%,19.4%,5.0%,88.7,44.8%,29.3%,41.8%,18.5%,0.72,39.7%,50.4%,9.9%,-0.2,0.4%,10.8,22%,0%,30%,diazal02
Luis Garcia,24,6,.000,-127,.000,.000,0.0%,16.7%,0.0%,61.3,0.0%,0.0%,60.0%,0.0%,,20.0%,60.0%,20.0%,-0.2,-0.1%,-1.5,,,,garcilu05
Robel García,28,117,.202,15,.234,.057,0.9%,35.9%,6.8%,85.6,33.3%,16.7%,45.5%,27.3%,0.86,39.4%,51.5%,9.1%,-0.5,-0.4%,-13.6,25%,,10%,garciro02
Marwin Gonzalez,32,36,.273,66,.130,.265,8.3%,22.2%,2.8%,86.0,23.1%,3.8%,61.5%,23.1%,1.60,38.5%,50.0%,11.5%,-0.4,0.0%,-2.0,33%,,0%,gonzama01
Zack Greinke,37,2,.000,-127,.000,.000,0.0%,50.0%,0.0%,93.5,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,-0.4,,,,greinza01
