--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Tony Abreu,27,74,.278,64,.298,.100,1.4%,17.6%,2.7%,22.4%,46.6%,22.4%,0.87,25.9%,60.3%,13.8%,0.5,0.0%,2.2,19%,,20%,abreuto01
Nathan Adcock,24,1,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.7,,,,adcocna01
Yuniesky Betancourt,30,228,.289,73,.226,.172,3.1%,11.0%,4.0%,12.9%,38.1%,33.5%,0.62,39.2%,48.5%,12.4%,-1.0,-0.1%,-4.8,28%,0%,27%,betanyu01
Jason Bourgeois,30,66,.301,89,.276,.065,0.0%,6.1%,6.1%,10.3%,63.8%,12.1%,1.76,29.3%,58.6%,12.1%,-0.2,0.1%,-1.3,39%,56%,25%,bourgja01
Billy Butler,26,679,.378,137,.341,.197,4.3%,16.4%,8.0%,21.3%,47.9%,28.0%,0.92,20.4%,60.6%,19.0%,2.8,0.5%,25.6,19%,67%,21%,butlebi03
Lorenzo Cain,26,244,.342,103,.319,.153,2.9%,23.0%,6.2%,18.2%,47.1%,28.8%,0.89,31.0%,51.2%,17.9%,-0.1,-0.1%,0.3,28%,100%,40%,cainlo01
Bruce Chen,35,5,.179,-9,.500,.000,0.0%,60.0%,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,0.0%,100.0%,0.0,0.0%,-0.4,0%,,,chenbr01
Tim Collins,22,1,.000,-140,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.5,,,,colliti01
Roman Colon,32,1,.000,-140,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.3,,,,colonro01
Jarrod Dyson,27,330,.309,76,.318,.062,0.0%,17.0%,9.1%,15.2%,52.3%,21.4%,1.31,24.8%,59.1%,16.1%,-1.7,-0.4%,-9.0,43%,86%,66%,dysonja01
Alcides Escobar,25,648,.331,96,.344,.098,0.8%,15.4%,4.2%,20.3%,49.7%,19.7%,1.10,24.6%,56.0%,19.4%,-0.5,-0.1%,-6.0,30%,88%,50%,escobal02
Irving Falu,29,91,.337,115,.382,.094,0.0%,9.9%,4.4%,23.1%,43.6%,19.2%,0.89,33.3%,46.2%,20.5%,-0.3,-0.1%,1.8,41%,0%,67%,faluir01
Jeff Francoeur,28,603,.284,71,.272,.143,2.7%,19.7%,5.6%,17.8%,46.0%,28.0%,0.86,23.5%,58.5%,18.1%,-2.6,-0.7%,-23.9,27%,36%,38%,francje02
Chris Getz,28,210,.303,79,.299,.085,0.0%,8.1%,5.2%,19.2%,39.0%,25.8%,0.74,27.6%,55.8%,16.6%,-0.7,-0.1%,-7.1,32%,75%,63%,getzch01
Johnny Giavotella,24,189,.271,56,.290,.066,0.5%,18.5%,4.2%,21.9%,46.6%,24.7%,0.87,21.9%,58.2%,19.9%,-0.8,0.0%,-8.5,40%,100%,46%,giavojo01
Alex Gordon,28,721,.358,122,.356,.160,1.9%,19.4%,10.1%,22.0%,42.6%,29.3%,0.74,25.2%,57.7%,17.1%,-0.3,-0.4%,12.2,32%,67%,38%,gordoal01
Luke Hochevar,28,5,.179,-9,.250,.000,0.0%,20.0%,0.0%,0.0%,25.0%,25.0%,1.00,0.0%,50.0%,50.0%,-0.1,0.0%,-0.8,0%,,,hochelu01
Eric Hosmer,22,598,.302,77,.255,.127,2.3%,15.9%,9.4%,14.2%,53.9%,25.2%,1.18,22.4%,63.8%,13.8%,-0.3,-0.3%,-6.5,30%,94%,44%,hosmeer01
David Lough,26,65,.269,54,.275,.068,0.0%,13.9%,6.2%,15.7%,37.3%,25.5%,0.61,31.4%,45.1%,23.5%,-0.5,0.0%,-5.1,47%,100%,63%,loughda01
Mitch Maier,30,74,.261,46,.231,.141,2.7%,32.4%,10.8%,14.3%,26.2%,38.1%,0.39,33.3%,57.1%,9.5%,-0.3,-0.1%,-5.8,27%,100%,57%,maiermi01
Vin Mazzaro,25,5,.449,211,1.000,.000,0.0%,40.0%,0.0%,66.7%,0.0%,0.0%,0.00,0.0%,66.7%,33.3%,0.0,0.0%,0.5,0%,,,mazzavi01
Luis Mendoza,28,2,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-0.9,,,,mendolu01
Adam Moore,28,12,.330,102,.143,.364,8.3%,25.0%,8.3%,0.0%,37.5%,62.5%,0.60,25.0%,62.5%,12.5%,0.2,0.0%,1.4,0%,,100%,mooread01
Mike Moustakas,23,614,.308,85,.274,.171,3.3%,20.2%,6.4%,15.5%,34.9%,34.2%,0.54,36.3%,49.2%,14.5%,-0.5,-0.1%,4.3,30%,71%,27%,moustmi01
Brayan Peña,30,226,.256,49,.253,.085,0.9%,10.6%,4.0%,19.7%,48.2%,26.4%,0.95,28.4%,52.1%,19.5%,-1.0,-0.1%,-7.8,25%,0%,28%,penabr01
Salvador Perez,22,305,.348,115,.299,.170,3.6%,8.9%,3.9%,22.3%,44.9%,26.8%,0.82,21.5%,60.8%,17.7%,0.3,0.1%,2.7,30%,,39%,perezsa02
Manny Piña,25,2,.000,-140,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.4,,,,pinama01
Humberto Quintero,32,144,.256,50,.282,.109,0.7%,19.4%,2.8%,17.1%,48.6%,25.2%,0.96,21.6%,53.2%,25.2%,-0.8,-0.3%,-7.8,17%,0%,25%,quinthu01
Clint Robinson,27,4,.000,-140,.000,.000,0.0%,50.0%,0.0%,0.0%,50.0%,50.0%,1.00,50.0%,0.0%,50.0%,-0.2,-0.1%,-1.2,,,,robincl01
Jonathan Sánchez,29,2,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,sanchjo01
League Average,,,.324,99,.293,.155,2.9%,19.4%,7.9%,18.6%,44.2%,28.0%,0.82,28.1%,54.7%,17.2%,,,,30%,75%,40%,-9999
Team Total,,6149,.318,91,.302,.135,2.1%,16.8%,6.6%,18.5%,45.7%,26.7%,0.87,26.1%,56.6%,17.3%,-8.4,-2.4%,-48.4,30%,78%,40%,-9999
