--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Humberto Arteaga,25,135,.254,46,.255,.033,0.0%,20.7%,5.9%,83.9,24.1%,24.7%,46.4%,22.7%,0.94,14.4%,49.5%,36.1%,-1.1,0.0%,-11.2,32%,50%,25%,arteahu01
Homer Bailey,33,1,.000,-133,.000,.000,0.0%,0.0%,0.0%,60.5,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,baileho02
Jorge Bonifacio,26,21,.371,127,.538,.150,0.0%,33.3%,4.8%,90.6,36.4%,30.8%,46.2%,15.4%,0.86,38.5%,53.8%,7.7%,0.2,0.0%,2.0,38%,,0%,bonifjo01
Cheslor Cuthbert,26,330,.293,72,.288,.133,2.7%,20.3%,5.8%,89.5,41.9%,26.9%,42.1%,19.8%,0.73,26.9%,57.0%,16.1%,-1.7,0.0%,-16.4,17%,100%,38%,cuthbch01
Nick Dini,25,64,.284,66,.243,.161,3.1%,28.1%,6.3%,90.7,45.5%,32.5%,20.0%,27.5%,0.26,20.0%,45.0%,35.0%,0.0,0.0%,2.0,60%,,22%,dinini01
Hunter Dozier,27,586,.362,122,.339,.243,4.4%,25.3%,9.4%,91.8,46.2%,28.7%,34.2%,28.2%,0.52,27.1%,54.5%,18.4%,1.8,0.5%,7.4,28%,50%,49%,doziehu01
Lucas Duda,33,119,.253,44,.197,.152,3.4%,26.9%,9.2%,93.0,51.5%,22.7%,32.0%,30.7%,0.47,33.8%,44.6%,21.6%,-0.5,-0.1%,-5.1,12%,,0%,dudalu01
Danny Duffy,30,4,.199,6,.500,.000,0.0%,50.0%,0.0%,77.0,50.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,0%,,,duffyda01
Cam Gallagher,26,142,.297,78,.281,.127,2.1%,19.7%,7.8%,85.0,25.0%,28.0%,37.0%,26.0%,0.63,23.2%,53.5%,23.2%,-0.8,-0.2%,-7.2,27%,0%,18%,gallaca01
Alex Gordon,35,633,.323,94,.301,.129,2.1%,15.8%,8.1%,88.8,40.9%,27.0%,46.2%,24.0%,0.87,32.7%,50.6%,16.7%,1.4,0.4%,6.3,31%,63%,50%,gordoal01
Terrance Gore,28,58,.319,86,.424,.078,0.0%,31.0%,10.3%,80.9,17.4%,24.2%,42.4%,9.1%,1.00,30.3%,39.4%,30.3%,0.2,0.2%,-1.4,35%,72%,36%,gorete01
Kelvin Gutiérrez,24,79,.288,67,.367,.096,1.3%,30.4%,6.3%,90.8,46.5%,22.0%,68.0%,8.0%,2.13,20.0%,64.0%,16.0%,-0.7,-0.1%,-3.7,13%,100%,33%,gutieke01
Billy Hamilton,28,305,.255,42,.286,.058,0.0%,24.3%,8.2%,79.1,9.4%,25.2%,38.3%,17.5%,0.70,27.2%,51.0%,21.8%,-1.6,-0.2%,-18.6,38%,78%,61%,hamilbi02
Jakob Junis,26,2,.000,-133,.000,.000,0.0%,0.0%,0.0%,77.5,0.0%,0.0%,100.0%,0.0%,,0.0%,50.0%,50.0%,0.0,0.0%,-0.3,,,,junisja01
Brad Keller,23,10,.176,-22,.333,.000,0.0%,50.0%,10.0%,81.8,0.0%,25.0%,50.0%,0.0%,2.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,0%,,,kellebr01
Jorge López,26,2,.000,-367,.000,.000,0.0%,0.0%,0.0%,61.3,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,50.0%,50.0%,-0.1,0.0%,-0.5,,,,lopezjo02
Nicky Lopez,24,402,.266,54,.273,.084,0.5%,12.7%,4.5%,84.7,21.5%,17.5%,60.5%,15.1%,1.68,27.1%,54.2%,18.7%,-2.5,-0.1%,-24.7,39%,50%,43%,lopezni01
Martín Maldonado,32,263,.297,75,.270,.139,2.3%,20.9%,6.5%,88.3,36.4%,21.5%,50.0%,18.8%,1.02,30.1%,55.9%,14.0%,-1.1,-0.4%,-10.7,29%,,22%,maldoma01
Ryan McBroom,27,83,.320,91,.440,.067,0.0%,30.1%,8.4%,85.0,36.7%,28.0%,50.0%,18.0%,1.00,22.0%,50.0%,28.0%,-0.1,0.0%,-3.6,27%,,50%,mcbrory01
Erick Mejia,24,27,.273,58,.313,.045,0.0%,25.9%,14.8%,79.5,0.0%,12.5%,50.0%,25.0%,1.00,56.3%,37.5%,6.3%,-0.2,0.0%,0.6,30%,,50%,mejiaer01
Whit Merrifield,30,735,.349,113,.350,.160,2.2%,17.1%,6.1%,86.9,31.2%,32.4%,37.2%,23.1%,0.61,24.3%,53.3%,22.4%,-0.5,-0.3%,5.8,37%,67%,42%,merriwh01
Adalberto Mondesí,23,443,.321,82,.357,.161,2.0%,29.8%,4.3%,89.3,38.3%,21.2%,46.2%,24.0%,0.89,33.9%,50.3%,15.8%,-0.6,-0.1%,2.2,41%,86%,62%,mondera02
Mike Montgomery,29,1,.000,-133,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,montgmi01
Ryan O'Hearn,25,370,.276,62,.230,.174,3.8%,26.8%,10.5%,91.4,47.6%,19.9%,48.1%,25.5%,0.93,38.1%,48.5%,13.4%,-1.2,-0.2%,-21.7,20%,0%,26%,ohearry01
Chris Owings,27,145,.194,1,.205,.089,1.4%,37.9%,5.5%,87.1,31.0%,17.5%,55.0%,18.8%,1.26,27.5%,53.8%,18.8%,-1.7,-0.6%,-15.3,26%,80%,0%,owingch01
Brett Phillips,25,79,.248,33,.167,.123,2.5%,29.1%,12.7%,87.7,26.2%,19.6%,39.1%,30.4%,0.72,34.8%,47.8%,17.4%,-0.3,0.0%,-5.9,24%,100%,40%,phillbr02
Frank Schwindel,27,15,.171,-13,.077,.000,0.0%,13.3%,0.0%,86.0,25.0%,15.4%,38.5%,23.1%,0.63,38.5%,38.5%,23.1%,-0.1,-0.1%,-0.7,0%,,,schwifr01
Jorge Soler,27,679,.388,139,.294,.304,7.1%,26.2%,10.8%,93.3,53.1%,25.5%,39.0%,27.7%,0.64,27.8%,56.0%,16.2%,1.7,-0.2%,35.0,25%,75%,30%,solerjo01
Glenn Sparkman,27,2,.000,-133,.000,.000,0.0%,0.0%,0.0%,93.0,50.0%,0.0%,100.0%,0.0%,,0.0%,50.0%,50.0%,0.0,0.0%,-0.4,,,,sparkgl01
Bubba Starling,26,197,.248,39,.286,.102,2.0%,28.4%,4.6%,81.3,19.3%,25.2%,42.7%,23.7%,0.79,34.4%,48.9%,16.8%,-2.1,0.0%,-17.1,48%,100%,53%,starlbu01
Meibrys Viloria,22,148,.251,45,.293,.075,0.7%,29.7%,6.8%,86.8,31.6%,17.0%,55.3%,19.1%,1.41,27.7%,56.4%,16.0%,-0.7,0.0%,-9.1,16%,0%,22%,vilorme01
League Average,,,.328,99,.297,.185,3.7%,23.0%,8.5%,89.2,40.3%,25.2%,42.2%,24.0%,0.74,29.5%,52.5%,17.9%,,,,31%,72%,40%,-9999
Team Total,,6080,.310,84,.301,.154,2.7%,23.1%,7.5%,88.1,36.3%,25.0%,43.8%,22.7%,0.80,28.6%,52.7%,18.7%,-12.4,-1.4%,-113.1,31%,75%,40%,-9999
