--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Erick Aybar,30,642,.316,103,.297,.100,1.1%,9.7%,5.6%,25.5%,47.6%,15.8%,0.98,30.7%,52.8%,16.5%,0.4,0.7%,6.2,35%,64%,53%,aybarer01
Gordon Beckham,27,61,.327,110,.302,.161,3.3%,18.0%,4.9%,22.2%,44.4%,24.4%,0.80,28.9%,53.3%,17.8%,-0.2,0.0%,-1.2,42%,,71%,beckhgo01
Brennan Boesch,29,79,.230,30,.214,.107,2.5%,24.1%,2.5%,10.3%,44.8%,36.2%,0.81,32.8%,44.8%,22.4%,-0.7,-0.2%,-7.2,27%,100%,25%,boescbr01
John Buck,33,5,.182,2,.333,.000,0.0%,40.0%,0.0%,33.3%,66.7%,0.0%,2.00,0.0%,66.7%,33.3%,0.0,0.0%,-1.5,0%,,,buckjo01
Kole Calhoun,26,537,.354,131,.313,.178,3.2%,19.4%,7.1%,30.8%,44.3%,17.3%,0.80,30.9%,52.9%,16.1%,1.9,1.2%,18.7,46%,63%,54%,calhoko01
Tony Campana,28,15,.257,82,.556,.000,0.0%,40.0%,0.0%,22.2%,33.3%,11.1%,0.60,22.2%,77.8%,0.0%,-0.1,0.0%,0.9,46%,0%,0%,campato01
Hank Conger,26,260,.279,77,.275,.104,1.5%,21.9%,8.5%,22.3%,36.9%,23.5%,0.62,31.8%,54.2%,14.0%,-1.2,-1.0%,-5.3,28%,0%,37%,congeha01
Collin Cowgill,28,293,.328,108,.331,.104,1.7%,25.3%,8.9%,16.5%,48.4%,18.1%,1.02,34.6%,53.2%,12.2%,0.8,0.7%,1.2,31%,100%,55%,cowgico01
C.J. Cron,24,253,.327,110,.300,.194,4.4%,24.1%,4.0%,28.2%,34.8%,25.4%,0.53,27.8%,55.6%,16.7%,-0.7,-0.4%,0.6,27%,,42%,croncj01
David Freese,31,511,.325,111,.330,.123,2.0%,24.3%,7.4%,28.3%,50.7%,17.8%,1.03,22.2%,59.8%,18.1%,-0.7,-1.0%,7.3,28%,25%,42%,freesda01
