--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jose Alvarez,27,1,.000,-134,.000,.000,0.0%,0.0%,0.0%,,,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.5,,,,alvarjo02
Jett Bandy,26,231,.303,86,.246,.158,3.5%,16.5%,4.8%,87.7,35.1%,29.8%,27.0%,29.8%,0.38,31.1%,46.3%,22.6%,-0.9,0.0%,-5.1,26%,100%,19%,bandyje01
Nick Buss,29,90,.250,49,.259,.148,1.1%,26.7%,6.7%,84.4,22.2%,28.3%,36.7%,25.0%,0.63,28.1%,56.1%,15.8%,-0.7,0.0%,-7.7,24%,67%,63%,bussni01
Kole Calhoun,28,672,.338,114,.309,.167,2.7%,17.6%,10.0%,90.2,44.4%,26.2%,39.1%,27.4%,0.65,36.8%,46.0%,17.2%,1.4,0.5%,24.7,34%,40%,34%,calhoko01
Jhoulys Chacín,28,2,.446,192,.500,.000,0.0%,0.0%,0.0%,66.0,0.0%,50.0%,0.0%,50.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.3,100%,,,chacijh01
Ji-Man Choi,25,129,.260,65,.173,.170,3.9%,20.9%,12.4%,90.4,45.2%,22.1%,48.8%,18.6%,0.98,34.5%,48.8%,16.7%,-0.8,-0.3%,-8.1,11%,33%,14%,choiji01
Kaleb Cowart,24,87,.200,12,.226,.082,1.2%,26.4%,0.0%,89.7,37.3%,20.6%,47.6%,23.8%,0.94,27.9%,60.7%,11.5%,-0.6,-0.1%,-8.3,41%,,56%,cowarka01
C.J. Cron,26,445,.344,120,.302,.189,3.6%,16.9%,5.4%,90.4,45.8%,27.0%,41.8%,23.4%,0.72,22.0%,52.4%,25.6%,0.8,0.2%,16.8,27%,40%,19%,croncj01
Todd Cunningham,27,29,.171,1,.190,.111,0.0%,20.7%,3.5%,84.2,23.5%,22.7%,36.4%,22.7%,0.62,23.8%,47.6%,28.6%,-0.1,0.0%,-3.4,46%,0%,67%,cunnito01
Yunel Escobar,33,567,.330,110,.339,.087,0.9%,11.8%,7.1%,89.4,39.6%,24.7%,58.2%,13.6%,1.42,24.2%,56.2%,19.6%,-0.7,-0.2%,-8.6,32%,0%,46%,escobyu01
Craig Gentry,32,39,.195,6,.179,.029,0.0%,15.4%,7.7%,83.6,13.0%,13.8%,65.5%,13.8%,2.11,37.9%,41.4%,20.7%,-0.2,-0.1%,-2.8,17%,,0%,gentrcr01
Johnny Giavotella,28,367,.298,84,.276,.116,1.6%,10.6%,3.5%,85.8,25.7%,24.5%,49.0%,18.8%,1.01,23.4%,48.4%,28.2%,-0.6,-0.3%,-12.1,38%,57%,43%,giavojo01
Juan Graterol,27,15,.304,87,.364,.143,0.0%,20.0%,0.0%,85.8,27.3%,25.0%,58.3%,0.0%,1.75,16.7%,25.0%,58.3%,-0.1,0.0%,0.3,50%,,33%,grateju01
Jefry Marte,25,284,.342,118,.267,.229,5.3%,20.8%,6.3%,89.9,41.3%,20.3%,46.0%,21.8%,0.85,35.0%,46.5%,18.5%,-0.2,0.0%,-1.3,30%,50%,41%,marteje01
Daniel Nava,33,136,.283,73,.284,.067,0.7%,19.1%,6.6%,89.6,36.4%,28.1%,38.5%,30.2%,0.63,31.3%,52.1%,16.7%,0.7,0.0%,1.1,22%,,46%,navada01
Ricky Nolasco,33,2,.346,119,.000,.000,0.0%,0.0%,50.0%,,,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-0.5,0%,,0%,nolasri01
Rafael Ortega,25,202,.271,61,.261,.059,0.5%,11.4%,6.4%,85.4,28.6%,19.4%,55.8%,13.3%,1.37,29.3%,51.2%,19.5%,-0.5,-0.3%,-2.8,40%,73%,65%,ortegra01
Cliff Pennington,32,188,.264,57,.289,.099,1.6%,29.3%,6.9%,84.5,25.2%,25.8%,39.2%,24.2%,0.69,32.5%,41.7%,25.8%,-0.7,-0.1%,-12.5,31%,100%,54%,pennicl01
Carlos Pérez,25,291,.252,48,.236,.116,1.7%,16.8%,4.1%,84.1,31.4%,21.4%,39.7%,21.8%,0.72,25.6%,48.5%,26.0%,-1.5,-0.4%,-14.5,30%,100%,29%,perezca02
Gregorio Petit,31,223,.280,71,.316,.103,0.9%,22.9%,6.7%,87.8,37.1%,27.6%,49.4%,15.4%,1.00,22.7%,49.4%,27.9%,-1.0,-0.1%,-8.6,27%,50%,22%,petitgr01
