--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Josh Beckett,33,12,.178,-43,.200,.000,0.0%,25.0%,8.3%,12.5%,25.0%,12.5%,1.00,12.5%,75.0%,12.5%,-0.2,-0.1%,-1.6,0%,,0%,beckejo02
Ronald Belisario,30,1,.000,-141,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,belisro01
Chad Billingsley,28,5,.000,-301,,.000,0.0%,60.0%,0.0%,0.0%,0.0%,0.0%,,50.0%,50.0%,0.0%,-0.1,0.0%,-1.0,,,,billich01
Nick Buss,26,20,.125,-47,.111,.000,0.0%,5.0%,5.0%,11.1%,66.7%,5.6%,2.00,50.0%,44.4%,5.6%,-0.3,0.0%,-2.2,0%,,0%,bussni01
Drew Butera,29,7,.130,-43,.333,.000,0.0%,57.1%,0.0%,33.3%,33.3%,33.3%,0.50,33.3%,33.3%,33.3%,-0.2,0.0%,-1.1,0%,,,buterdr01
Chris Capuano,34,29,.100,-92,.063,.000,0.0%,27.6%,3.5%,5.0%,50.0%,10.0%,3.33,30.0%,60.0%,10.0%,-0.7,-0.4%,-6.8,50%,,50%,capuach01
Alex Castellanos,26,18,.239,39,.167,.222,5.6%,27.8%,0.0%,15.4%,38.5%,38.5%,0.71,30.8%,53.8%,15.4%,-0.4,0.0%,-2.4,50%,,,casteal01
Carl Crawford,31,469,.337,109,.321,.124,1.3%,14.1%,6.0%,24.0%,48.0%,22.9%,0.93,20.7%,59.5%,19.8%,-0.5,-0.5%,5.2,38%,79%,50%,crawfca02
Luis Cruz,29,128,.163,-21,.143,.042,0.8%,15.6%,3.9%,14.9%,31.7%,24.8%,0.48,17.8%,59.4%,22.8%,-1.3,-0.8%,-19.8,50%,,57%,cruzlu01
Jose Dominguez,22,1,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,dominjo01
A.J. Ellis,32,448,.324,105,.269,.126,2.2%,17.4%,10.0%,22.0%,44.7%,27.0%,0.84,21.6%,57.8%,20.6%,-0.6,-0.1%,-1.6,25%,0%,43%,ellisaj01
Mark Ellis,36,480,.314,94,.310,.081,1.3%,15.4%,5.4%,26.8%,41.4%,23.8%,0.74,26.0%,55.0%,19.0%,0.9,1.0%,6.7,27%,80%,36%,ellisma01
Andre Ethier,31,553,.351,124,.315,.151,2.2%,17.2%,11.0%,26.7%,39.5%,27.4%,0.65,29.2%,55.3%,15.5%,2.1,0.9%,14.1,23%,57%,32%,ethiean01
Tim Federowicz,25,173,.272,62,.327,.125,2.3%,32.4%,5.8%,25.2%,44.9%,16.8%,0.84,30.8%,53.3%,15.9%,-1.1,-0.4%,-9.8,19%,,40%,federti01
Stephen Fife,26,18,.089,-74,.200,.000,0.0%,66.7%,5.6%,0.0%,80.0%,0.0%,,0.0%,60.0%,40.0%,-0.3,-0.1%,-3.5,0%,,0%,fifest01
Adrian Gonzalez,31,641,.357,127,.315,.168,3.4%,15.3%,7.3%,26.3%,38.8%,28.3%,0.63,33.1%,51.3%,15.6%,4.2,2.1%,34.9,24%,100%,22%,gonzaad01
Zack Greinke,29,72,.379,142,.396,.052,0.0%,13.9%,9.7%,18.5%,48.1%,13.0%,1.30,24.1%,64.8%,11.1%,0.4,0.2%,1.5,19%,100%,21%,greinza01
Matt Guerrier,34,1,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.6,,,,guerrma02
Jerry Hairston,37,226,.257,52,.224,.064,0.9%,9.7%,6.2%,21.3%,42.6%,22.9%,0.77,24.5%,59.0%,16.5%,-0.6,-0.1%,-10.5,26%,,46%,hairsje02
