--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Scott Alexander,28,6,.000,-187,,.000,0.0%,83.3%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-1.2,,,,alexasc02
Pedro Baez,30,4,.000,-139,.000,.000,0.0%,50.0%,0.0%,80.9,0.0%,0.0%,50.0%,0.0%,1.00,50.0%,50.0%,0.0%,-0.2,-0.1%,-1.3,,,,baezpe01
Austin Barnes,28,238,.295,77,.287,.085,1.7%,28.2%,13.0%,88.1,35.0%,20.9%,53.0%,15.7%,1.20,23.9%,56.7%,19.4%,-1.6,-1.1%,-15.0,37%,57%,39%,barneau01
Cody Bellinger,22,632,.363,123,.313,.210,4.0%,23.9%,10.9%,90.8,44.3%,22.2%,41.1%,25.2%,0.70,37.4%,47.2%,15.4%,0.6,2.0%,20.7,31%,93%,51%,bellico01
Walker Buehler,23,47,.169,-21,.318,.000,0.0%,44.7%,4.3%,82.7,43.8%,12.5%,70.8%,4.2%,4.25,8.3%,41.7%,50.0%,-0.7,-0.7%,-7.5,11%,,0%,buehlwa01
JT Chargois,27,1,.000,-139,.000,.000,0.0%,0.0%,0.0%,65.4,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.1,,,,chargjt01
Daniel Corcino,27,1,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,corcida01
Brian Dozier,31,170,.298,74,.196,.168,2.9%,19.4%,14.1%,88.8,36.3%,20.5%,40.2%,31.3%,0.67,32.1%,56.3%,11.6%,-0.4,-0.6%,0.1,24%,100%,38%,doziebr01
Kyle Farmer,27,77,.293,74,.296,.088,0.0%,19.5%,6.5%,86.7,34.8%,35.2%,40.7%,18.5%,0.71,37.0%,46.3%,16.7%,0.7,0.5%,-0.6,4%,,0%,farmeky01
Caleb Ferguson,21,5,.180,-8,.500,.000,0.0%,60.0%,0.0%,96.2,100.0%,0.0%,100.0%,0.0%,,0.0%,50.0%,50.0%,0.0,0.0%,-0.6,0%,,,ferguca01
Wilmer Font,28,2,,,,,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,50.0%,50.0%,-0.1,0.0%,-0.4,,,,fontwi01
Logan Forsythe,31,211,.256,46,.255,.083,1.0%,20.4%,8.1%,88.6,35.8%,21.2%,43.7%,27.8%,0.78,23.8%,48.3%,27.8%,-0.5,-0.6%,-9.4,29%,100%,33%,forsylo01
David Freese,35,47,.502,228,.619,.256,4.3%,34.0%,12.8%,95.2,54.5%,30.4%,43.5%,26.1%,0.77,13.0%,47.8%,39.1%,0.6,1.1%,7.6,33%,,40%,freesda01
Rocky Gale,30,2,.000,-139,.000,.000,0.0%,50.0%,0.0%,30.9,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,galero01
Yasmani Grandal,29,518,.360,124,.278,.225,4.6%,23.9%,13.9%,89.8,44.6%,22.3%,41.1%,27.6%,0.70,35.4%,52.7%,11.9%,-0.8,-0.6%,15.4,26%,67%,19%,grandya01
Enrique Hernandez,26,462,.352,117,.266,.214,4.6%,16.9%,10.8%,89.6,41.4%,21.9%,38.7%,26.4%,0.65,25.5%,58.0%,16.5%,1.1,1.2%,3.9,35%,100%,54%,hernaen02
Rich Hill,38,45,.081,-88,.143,.000,0.0%,33.3%,0.0%,67.8,21.1%,6.7%,40.0%,3.3%,3.00,20.0%,73.3%,6.7%,-0.9,-1.0%,-8.9,50%,,0%,hillri01
Daniel Hudson,31,2,.000,-139,.000,.000,0.0%,50.0%,0.0%,73.0,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,,hudsoda01
Matt Kemp,33,506,.354,120,.339,.190,4.2%,22.7%,7.1%,90.2,41.6%,31.6%,36.4%,26.6%,0.57,25.1%,60.7%,14.1%,1.5,0.6%,15.1,27%,,34%,kempma01
Clayton Kershaw,30,57,.290,70,.314,.043,0.0%,19.3%,12.3%,75.3,9.4%,23.1%,51.3%,5.1%,1.67,30.8%,46.2%,23.1%,-0.3,-0.2%,-4.5,6%,,0%,kershcl01
Adam Liberatore,31,1,.000,-139,.000,.000,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,100%,liberad01
Tim Locastro,25,14,.440,131,.333,.091,0.0%,35.7%,14.3%,80.3,25.0%,33.3%,33.3%,33.3%,0.50,33.3%,33.3%,33.3%,-0.1,0.0%,0.3,43%,100%,67%,locasti01
Manny Machado,25,296,.356,119,.296,.213,4.4%,17.9%,8.5%,91.1,49.2%,24.1%,42.6%,25.5%,0.74,21.8%,59.7%,18.5%,0.3,0.1%,6.1,26%,86%,52%,machama01
Kenta Maeda,30,40,.084,-122,.130,.000,0.0%,22.5%,0.0%,74.7,5.0%,9.7%,45.2%,12.9%,1.56,25.8%,41.9%,32.3%,-0.8,-0.6%,-8.1,0%,,0%,maedake01
Max Muncy,27,481,.416,164,.299,.319,7.3%,27.2%,16.4%,91.1,49.8%,25.6%,34.6%,33.5%,0.53,39.1%,42.9%,18.0%,2.1,2.5%,38.3,26%,100%,43%,muncyma01
Joc Pederson,26,443,.355,124,.253,.273,5.6%,19.2%,9.0%,92.4,44.9%,21.0%,40.1%,28.7%,0.68,37.9%,47.8%,14.3%,0.1,0.0%,10.5,34%,17%,53%,pederjo01
Yasiel Puig,27,444,.363,124,.286,.227,5.2%,19.6%,8.1%,90.1,44.8%,28.1%,42.5%,20.6%,0.74,24.7%,58.8%,16.6%,0.3,1.0%,13.8,30%,75%,50%,puigya01
Hyun Jin Ryu,31,30,.287,68,.538,.038,0.0%,43.3%,6.7%,97.4,61.5%,26.7%,53.3%,6.7%,1.60,26.7%,53.3%,20.0%,-0.4,-0.5%,-3.2,44%,,50%,ryuhy01
Dennis Santana,22,2,.627,319,1.000,.500,0.0%,50.0%,0.0%,93.2,0.0%,100.0%,0.0%,0.0%,0.00,100.0%,0.0%,0.0%,0.2,0.1%,1.7,0%,,,santade01
Corey Seager,24,115,.344,112,.301,.129,1.7%,14.8%,9.6%,93.6,46.6%,31.8%,44.7%,22.4%,0.81,34.1%,49.4%,16.5%,0.3,0.1%,4.6,29%,,50%,seageco01
Brock Stewart,26,2,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,stewabr01
Ross Stripling,28,37,.141,-59,.150,.000,0.0%,35.1%,0.0%,82.8,0.0%,8.3%,75.0%,0.0%,9.00,8.3%,62.5%,29.2%,-0.6,-0.3%,-4.7,0%,100%,,stripro01
Chris Taylor,27,604,.343,112,.345,.190,2.8%,29.5%,9.1%,89.2,41.3%,32.6%,34.0%,26.0%,0.52,24.9%,53.0%,22.1%,1.2,2.1%,14.4,37%,60%,52%,tayloch03
Andrew Toles,26,32,.282,60,.318,.067,0.0%,25.0%,6.3%,88.5,40.0%,22.7%,50.0%,27.3%,1.00,27.3%,50.0%,22.7%,0.2,0.3%,1.1,56%,100%,100%,tolesan01
Justin Turner,33,426,.412,162,.334,.205,3.3%,12.7%,11.0%,89.5,38.2%,33.5%,29.4%,30.0%,0.42,24.9%,51.8%,23.3%,1.5,1.4%,27.3,30%,67%,52%,turneju01
Julio Urias,21,1,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,uriasju01
Chase Utley,39,187,.286,68,.262,.091,0.5%,18.2%,9.1%,87.7,34.7%,24.4%,42.0%,26.7%,0.73,33.6%,49.6%,16.8%,-0.1,-0.4%,0.5,30%,75%,50%,utleych01
Breyvic Valera,26,34,.245,38,.200,.000,0.0%,11.8%,11.8%,83.2,13.0%,11.5%,53.8%,23.1%,1.40,42.3%,46.2%,11.5%,0.2,0.1%,1.2,44%,,50%,valerbr01
Alex Verdugo,22,86,.334,105,.306,.117,1.2%,16.3%,9.3%,88.9,38.0%,18.8%,60.9%,14.1%,1.63,32.8%,48.4%,18.8%,-0.1,0.2%,-4.2,37%,,70%,verdual01
Alex Wood,27,50,.065,-123,.105,.000,0.0%,50.0%,0.0%,73.4,8.3%,4.0%,48.0%,4.0%,6.00,24.0%,48.0%,28.0%,-0.8,-0.6%,-10.5,50%,100%,,woodal02
League Average,,,.322,93,.297,.157,2.9%,22.7%,8.7%,88.5,38.3%,25.0%,43.5%,22.5%,0.80,28.3%,53.0%,18.8%,,,,29%,71%,41%,-9999
Team Total,,6358,.344,111,.294,.191,3.7%,22.6%,10.2%,89.6,41.5%,25.2%,40.3%,25.2%,0.69,29.4%,52.7%,17.9%,2.4,5.9%,100.7,30%,76%,45%,-9999
