--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Henderson Alvarez III,24,67,.178,-24,.289,.000,0.0%,29.9%,1.5%,17.4%,50.0%,10.9%,1.53,21.7%,50.0%,28.3%,-1.0,-0.4%,-9.2,17%,,0%,alvarhe01
Jeff Baker,33,225,.328,102,.331,.130,1.3%,22.7%,5.8%,28.1%,50.6%,16.9%,1.03,20.6%,61.3%,18.1%,-0.1,-0.3%,3.9,36%,100%,32%,bakerje03
Justin Bour,26,83,.324,100,.370,.081,1.2%,22.9%,10.8%,25.5%,52.7%,18.2%,1.12,36.4%,50.9%,12.7%,0.4,-0.1%,5.3,31%,,27%,bourju01
Jarred Cosart,24,21,.247,33,.364,.000,0.0%,33.3%,0.0%,14.3%,64.3%,0.0%,4.50,0.0%,50.0%,50.0%,-0.2,0.0%,-2.6,25%,,0%,cosarja01
Anthony DeSclafani,24,11,.228,29,.143,.000,0.0%,27.3%,9.1%,0.0%,100.0%,0.0%,,0.0%,85.7%,14.3%,-0.1,-0.1%,0.0,50%,,,desclan01
Derek Dietrich,24,183,.331,105,.270,.158,2.7%,20.8%,7.1%,23.8%,42.6%,24.6%,0.76,33.6%,49.2%,17.2%,0.4,0.2%,3.7,48%,100%,55%,dietrde01
Greg Dobbs,35,13,.070,-90,.111,.000,0.0%,30.8%,0.0%,11.1%,33.3%,33.3%,0.50,22.2%,55.6%,22.2%,-0.5,-0.3%,-3.2,0%,,,dobbsgr01
Sam Dyson,26,1,.000,-142,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,dysonsa01
Nathan Eovaldi,24,64,.124,-68,.250,.000,0.0%,56.3%,1.6%,14.8%,55.6%,0.0%,3.75,0.0%,59.3%,40.7%,-1.3,-0.7%,-11.8,17%,,29%,eovalna01
Jose Fernandez,21,18,.107,-82,.200,.000,0.0%,33.3%,0.0%,16.7%,50.0%,0.0%,2.00,33.3%,41.7%,25.0%,-0.3,-0.2%,-1.8,50%,,100%,fernajo02
Brian Flynn,24,2,.000,-142,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,50.0%,0.0%,50.0%,0.0,0.0%,-0.3,,,,flynnbr01
Rafael Furcal,36,37,.229,29,.214,.057,0.0%,18.9%,5.4%,17.9%,75.0%,3.6%,3.50,22.2%,66.7%,11.1%,0.0,0.0%,-1.1,50%,,75%,furcara02
Brad Hand,24,31,.034,-149,.050,.000,0.0%,22.6%,0.0%,4.2%,62.5%,12.5%,3.75,25.0%,66.7%,8.3%,-0.6,-0.2%,-5.9,0%,,0%,handbr01
Chris Hatcher,29,1,.000,-142,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,hatchch02
Andrew Heaney,23,9,.101,-88,.167,.000,0.0%,22.2%,0.0%,0.0%,42.9%,14.3%,3.00,14.3%,71.4%,14.3%,-0.2,-0.1%,-2.2,0%,,,heanean01
Adeiny Hechavarria,25,574,.296,80,.323,.080,0.2%,15.0%,4.5%,27.0%,52.2%,13.5%,1.20,16.1%,61.7%,22.2%,-1.5,-1.0%,-16.3,30%,58%,52%,hechaad01
Enrique Hernandez,22,45,.326,102,.179,.250,4.4%,22.2%,8.9%,30.0%,36.7%,26.7%,0.58,16.7%,63.3%,20.0%,-0.3,-0.1%,-0.8,9%,,0%,hernaen02
Reed Johnson,37,201,.279,68,.278,.112,1.0%,18.4%,0.5%,25.8%,41.9%,23.2%,0.75,37.4%,45.8%,16.8%,-0.6,-0.3%,-5.4,42%,0%,35%,johnsre02
Garrett Jones,33,547,.316,95,.290,.165,2.7%,21.2%,8.4%,26.0%,37.8%,26.8%,0.62,33.3%,50.0%,16.7%,-1.2,-0.4%,-7.3,29%,0%,24%,jonesga02
