--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jesús Aguilar,32,456,.300,88,.278,.152,3.3%,23.3%,5.9%,87.7,36.4%,25.8%,32.8%,31.8%,0.49,24.5%,57.3%,18.2%,0.7,0.3%,-5.9,19%,100%,27%,aguilje01
Brian Anderson,29,383,.300,88,.291,.124,2.1%,26.4%,9.7%,88.7,42.2%,21.4%,51.3%,22.3%,1.05,29.0%,50.8%,20.2%,-1.6,-0.1%,-8.1,32%,100%,30%,anderbr06
Willians Astudillo,30,55,.264,59,.240,.056,1.8%,5.5%,1.8%,83.0,21.6%,19.6%,45.1%,21.6%,0.82,25.5%,52.9%,21.6%,-0.4,-0.1%,-5.1,29%,100%,14%,astudwi01
Jon Berti,32,404,.330,97,.308,.098,1.0%,22.0%,10.4%,88.0,37.2%,22.2%,53.0%,21.5%,1.13,18.1%,61.1%,20.7%,0.9,0.3%,1.3,32%,89%,55%,bertijo01
JJ Bleday,24,238,.268,64,.216,.142,2.1%,28.2%,12.6%,86.3,33.8%,25.2%,25.2%,38.1%,0.34,38.1%,48.9%,12.9%,-1.0,0.0%,-12.6,26%,80%,39%,bledajj01
Peyton Burdick,25,102,.296,84,.283,.174,3.9%,34.3%,7.8%,89.1,38.6%,22.8%,31.6%,33.3%,0.47,24.6%,50.9%,24.6%,0.0,0.0%,-2.1,15%,100%,13%,burdipe01
Jazz Chisholm Jr.,24,241,.364,133,.294,.282,5.8%,27.4%,8.7%,89.6,46.7%,20.7%,37.3%,34.7%,0.62,42.0%,44.0%,14.0%,1.9,1.0%,19.2,39%,71%,75%,chishja01
Garrett Cooper,31,469,.336,115,.340,.155,1.9%,25.4%,8.5%,89.6,43.8%,28.7%,45.3%,25.0%,0.83,24.0%,56.0%,20.0%,-0.4,-0.1%,5.9,19%,,38%,coopega03
Bryan De La Cruz,25,355,.316,98,.304,.179,3.7%,25.4%,5.4%,90.8,47.3%,30.5%,42.4%,24.7%,0.74,29.2%,54.3%,16.5%,-0.5,-0.4%,-8.4,26%,100%,29%,delacbr01
Lewin Díaz,25,174,.234,40,.214,.119,2.9%,31.0%,6.3%,88.3,28.7%,21.3%,37.0%,35.2%,0.59,36.1%,52.8%,11.1%,-1.3,-0.1%,-11.9,21%,100%,27%,diazle01
Joe Dunand,26,11,.439,188,.333,.400,9.1%,27.3%,0.0%,85.9,28.6%,14.3%,14.3%,57.1%,0.17,57.1%,42.9%,0.0%,0.1,0.1%,0.3,33%,,0%,dunanjo01
Jerar Encarnacion,24,81,.252,50,.256,.156,3.7%,39.5%,3.7%,90.5,41.3%,21.7%,50.0%,26.1%,1.00,23.9%,52.2%,23.9%,-0.2,0.0%,-3.1,27%,100%,75%,encarje01
Nick Fortes,25,240,.313,99,.252,.161,3.8%,18.8%,7.5%,89.2,38.2%,20.3%,39.5%,29.1%,0.65,27.3%,55.8%,16.9%,-0.4,0.1%,-7.7,48%,63%,52%,forteni01
Avisaíl García,31,380,.269,65,.298,.092,2.1%,28.7%,4.5%,88.7,45.2%,19.6%,56.0%,22.0%,1.27,25.2%,56.8%,18.0%,-0.6,-0.8%,-21.5,25%,100%,34%,garciav01
Erik González,30,41,.231,35,.280,.027,0.0%,29.3%,9.8%,82.1,20.0%,28.0%,56.0%,8.0%,1.40,20.0%,64.0%,16.0%,0.1,0.1%,-0.8,36%,100%,33%,gonzaer01
Jordan Groshans,22,65,.279,74,.319,.049,1.5%,20.0%,6.2%,87.1,37.5%,25.0%,47.9%,25.0%,0.92,16.7%,60.4%,22.9%,-0.6,0.0%,-5.0,42%,,25%,groshjo01
Billy Hamilton,31,15,.238,-53,.200,.000,0.0%,53.3%,6.7%,58.6,16.7%,16.7%,16.7%,16.7%,0.50,33.3%,33.3%,33.3%,0.1,0.1%,-2.1,60%,100%,60%,hamilbi02
Payton Henry,25,35,.240,46,.200,.000,0.0%,22.9%,14.3%,79.6,10.0%,15.0%,75.0%,5.0%,3.00,15.0%,65.0%,20.0%,-0.1,-0.1%,-0.9,18%,,33%,henrypa01
Charles Leblanc,26,169,.328,109,.374,.141,2.4%,31.4%,7.1%,86.8,32.0%,25.2%,36.9%,28.2%,0.59,31.1%,45.6%,23.3%,-0.5,0.0%,-0.5,28%,67%,50%,leblach01
Miguel Rojas,33,507,.283,76,.258,.087,1.2%,12.0%,5.1%,85.9,27.1%,26.8%,46.9%,19.6%,0.89,20.8%,55.1%,24.2%,-1.8,-0.4%,-14.1,20%,75%,34%,rojasmi02
Jesús Sánchez,24,343,.298,87,.258,.188,3.8%,26.8%,7.6%,89.4,40.5%,19.4%,46.4%,26.6%,0.87,33.8%,45.9%,20.3%,-1.2,-0.7%,-8.4,30%,100%,36%,sanchje02
Jorge Soler,30,306,.309,97,.256,.193,4.3%,29.4%,10.1%,91.2,43.9%,21.0%,43.1%,27.6%,0.76,37.0%,49.7%,13.3%,-1.9,-0.8%,-4.3,25%,0%,48%,solerjo01
Jacob Stallings,32,384,.268,67,.280,.069,1.0%,21.6%,7.6%,86.3,32.3%,21.4%,42.1%,27.4%,0.74,22.6%,54.5%,22.9%,-2.8,-0.8%,-20.2,19%,0%,11%,stallja01
Joey Wendle,32,371,.299,86,.293,.101,0.8%,13.5%,4.0%,87.0,36.3%,23.3%,54.2%,19.3%,1.21,27.9%,51.8%,20.3%,-0.3,0.0%,-3.1,22%,80%,41%,wendljo01
Luke Williams,25,124,.278,69,.351,.078,0.8%,32.3%,7.3%,81.6,25.3%,24.0%,38.7%,21.3%,0.67,35.1%,43.2%,21.6%,-0.7,0.1%,-11.3,33%,73%,55%,willilu01
League Average,,,.318,100,.291,.155,2.9%,22.7%,8.5%,87.9,38.3%,23.4%,43.1%,25.8%,0.77,29.9%,51.8%,18.3%,,,,30%,75%,41%,-9999
Team Total,,5949,.299,86,.284,.133,2.4%,24.0%,7.3%,87.9,37.4%,23.6%,44.5%,25.5%,0.81,27.3%,53.4%,19.3%,-12.4,-2.4%,-130.2,27%,81%,38%,-9999
