--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Nori Aoki,30,588,.366,117,.304,.144,1.7%,9.4%,7.3%,15.1%,52.8%,21.6%,1.24,26.0%,52.0%,22.0%,0.9,0.0%,10.8,36%,79%,40%,aokino01
John Axford,29,1,.000,-148,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.4,,,,axforjo01
Jeff Bianchi,25,76,.265,45,.185,.159,4.0%,17.1%,5.3%,16.9%,49.2%,23.7%,1.04,20.3%,61.0%,18.6%,-0.1,-0.1%,-2.5,36%,,50%,biancje01
Ryan Braun,28,677,.424,161,.346,.276,6.1%,18.9%,9.3%,18.3%,44.0%,30.9%,0.79,22.1%,53.9%,24.0%,5.1,1.4%,51.5,30%,81%,44%,braunry02
Brooks Conrad,32,44,.161,-29,.043,.150,4.6%,36.4%,6.8%,4.0%,36.0%,52.0%,0.56,24.0%,64.0%,12.0%,-0.9,-0.4%,-6.3,0%,,0%,conrabr01
Marco Estrada,28,45,.158,-42,.211,.050,0.0%,46.7%,4.4%,9.1%,54.5%,9.1%,2.00,13.6%,59.1%,27.3%,-0.8,-0.2%,-6.5,17%,,0%,estrama01
Eric Farris,26,9,.194,-25,.167,.000,0.0%,22.2%,11.1%,16.7%,33.3%,33.3%,0.50,0.0%,50.0%,50.0%,0.0,0.0%,-0.4,20%,100%,,farrier01
Mike Fiers,27,38,.082,-124,.200,.000,0.0%,44.7%,0.0%,9.5%,52.4%,4.8%,3.67,28.6%,57.1%,14.3%,-0.5,-0.1%,-6.0,0%,,,fiersmi01
Yovani Gallardo,26,75,.178,-31,.244,.090,1.3%,33.3%,0.0%,18.0%,26.0%,26.0%,0.48,20.0%,60.0%,20.0%,-0.8,-0.4%,-7.4,20%,,33%,gallayo01
Mat Gamel,26,75,.295,62,.296,.101,1.3%,20.0%,5.3%,29.1%,36.4%,29.1%,0.57,34.5%,52.7%,12.7%,0.4,0.2%,1.2,43%,100%,44%,gamelma01
Carlos Gomez,26,452,.351,100,.296,.202,4.2%,21.7%,4.4%,16.9%,37.4%,30.4%,0.66,32.5%,51.8%,15.6%,1.5,0.1%,8.9,43%,86%,62%,gomezca01
Alex Gonzalez,35,89,.340,104,.274,.198,4.5%,16.9%,6.7%,16.7%,33.3%,31.8%,0.50,36.4%,50.0%,13.6%,0.0,0.0%,4.3,16%,50%,25%,gonzaal02
Taylor Green,25,117,.274,54,.205,.155,2.6%,20.5%,8.6%,13.6%,48.1%,27.2%,0.95,32.1%,54.3%,13.6%,-1.1,-0.3%,-3.0,17%,,43%,greenta01
Zack Greinke,28,38,.248,27,.240,.182,2.6%,21.1%,0.0%,13.3%,46.7%,10.0%,1.56,16.7%,66.7%,16.7%,-0.4,-0.2%,-5.3,25%,,50%,greinza01
Corey Hart,30,622,.369,122,.318,.237,4.8%,24.3%,7.1%,18.5%,39.4%,35.3%,0.67,26.4%,51.9%,21.6%,2.5,0.3%,20.4,35%,100%,48%,hartco01
Liván Hernández,37,3,.000,-148,.000,.000,0.0%,33.3%,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.6,,,,hernali01
Travis Ishikawa,28,174,.324,90,.327,.171,2.3%,24.1%,7.5%,19.1%,33.0%,33.0%,0.55,24.3%,54.8%,20.9%,0.5,0.0%,4.4,29%,,29%,ishiktr01
Cesar Izturis,32,169,.253,38,.245,.099,1.2%,7.7%,1.8%,19.6%,51.6%,14.4%,1.25,26.1%,57.5%,16.3%,-2.0,-0.8%,-15.8,18%,50%,46%,izturce01
George Kottaras,29,116,.362,119,.254,.151,2.6%,20.7%,25.0%,15.9%,44.4%,30.2%,0.85,22.2%,57.1%,20.6%,0.3,0.4%,4.1,16%,,27%,kottage01
Kameron Loe,30,1,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,loeka01
Jonathan Lucroy,26,346,.394,141,.338,.193,3.5%,12.7%,6.4%,21.4%,42.4%,29.0%,0.74,24.3%,59.1%,16.7%,0.4,0.2%,25.3,30%,80%,33%,lucrojo01
Martin Maldonado,25,256,.330,96,.320,.142,3.1%,21.9%,6.6%,19.3%,40.3%,27.1%,0.77,34.8%,50.3%,14.9%,0.1,0.1%,-0.9,19%,50%,27%,maldoma01
Shaun Marcum,30,44,.145,-52,.167,.026,0.0%,31.8%,6.8%,7.4%,33.3%,29.6%,0.69,40.7%,44.4%,14.8%,-0.7,-0.2%,-6.0,14%,,0%,marcush01
Edwin Maysonet,30,66,.300,69,.280,.100,1.5%,13.6%,4.6%,11.3%,37.7%,28.3%,0.69,24.5%,62.3%,13.2%,-0.4,-0.1%,-3.3,30%,100%,0%,maysoed01
Mike McClendon,27,2,.000,-148,.000,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,-0.7,,,,mcclemi01
Nyjer Morgan,31,322,.291,64,.296,.069,0.9%,19.6%,6.2%,15.0%,48.1%,25.3%,1.10,22.3%,57.5%,20.2%,-1.1,-0.6%,-11.8,43%,71%,29%,morgany01
Chris Narveson,30,3,.000,-148,.000,.000,0.0%,66.7%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.0,,,,narvech01
Manny Parra,29,1,.000,-148,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,parrama01
