--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Willy Adames,25,413,.384,140,.349,.236,4.8%,25.4%,11.4%,89.8,44.8%,22.6%,39.1%,34.9%,0.64,32.2%,51.7%,16.1%,2.8,2.2%,17.9,31%,67%,63%,adamewi01
Brett Anderson,33,34,.087,-81,.000,.000,0.0%,41.2%,11.8%,64.1,0.0%,0.0%,56.3%,12.5%,3.00,25.0%,62.5%,12.5%,-0.6,-0.3%,-7.8,50%,,0%,anderbr04
Orlando Arcia,26,11,.082,-74,.125,.000,0.0%,27.3%,0.0%,95.1,62.5%,12.5%,62.5%,25.0%,1.67,12.5%,75.0%,12.5%,-0.1,-0.1%,-1.3,0%,,,arciaor01
Aaron Ashby,23,4,.232,10,,.000,0.0%,50.0%,25.0%,45.8,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,0%,,,ashbyaa01
Alec Bettinger,25,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,bettial01
Jackie Bradley Jr.,31,428,.236,33,.226,.098,1.4%,30.8%,6.5%,89.7,40.5%,22.9%,49.2%,20.9%,0.98,32.6%,53.1%,14.3%,-3.0,-1.5%,-37.4,34%,88%,56%,bradlja02
Corbin Burnes,26,59,.163,-25,.308,.000,0.0%,44.1%,5.1%,73.8,16.7%,23.3%,60.0%,0.0%,2.25,20.0%,56.7%,23.3%,-0.7,-0.4%,-8.9,9%,,0%,burneco01
Lorenzo Cain,35,286,.342,105,.287,.144,2.8%,16.8%,9.1%,88.4,37.8%,21.0%,50.0%,24.3%,1.00,22.9%,55.7%,21.4%,0.2,0.1%,1.8,37%,87%,48%,cainlo01
Eduardo Escobar,32,199,.354,119,.313,.190,3.0%,19.6%,9.6%,85.8,33.1%,25.0%,34.3%,30.0%,0.52,40.7%,39.3%,20.0%,0.4,0.1%,7.0,34%,,40%,escobed01
Mario Feliciano,22,1,.696,361,,,0.0%,0.0%,100.0%,,,,,,,,,,0.2,0.1%,0.8,100%,,50%,felicma01
Derek Fisher,27,8,.309,86,.286,.250,0.0%,12.5%,0.0%,89.4,14.3%,0.0%,71.4%,14.3%,2.50,42.9%,28.6%,28.6%,-0.1,-0.1%,-0.4,50%,,,fishede01
Avisail Garcia,30,515,.357,121,.291,.228,5.6%,23.5%,7.4%,90.4,46.4%,22.0%,48.4%,26.1%,0.94,28.7%,56.2%,15.1%,1.4,1.0%,15.0,28%,67%,46%,garciav01
Zack Godley,31,1,,,,,0.0%,0.0%,0.0%,30.7,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2,,,,godleza01
Jandel Gustave,28,2,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.6,,,,gustaja01
Keston Hiura,24,197,.255,45,.269,.133,2.0%,39.1%,7.1%,89.6,41.4%,22.2%,35.4%,30.3%,0.56,28.3%,47.5%,24.2%,-1.9,-1.3%,-13.6,26%,100%,11%,hiurake01
Adrian Houser,28,46,.143,-36,.100,.143,4.4%,65.2%,4.4%,73.4,35.7%,7.1%,42.9%,21.4%,1.20,0.0%,78.6%,21.4%,-0.6,-0.4%,-7.7,0%,,0%,housead01
Eric Lauer,26,37,.236,23,.273,.115,2.7%,40.5%,8.1%,65.8,23.5%,5.6%,27.8%,22.2%,1.00,22.2%,50.0%,27.8%,-0.2,-0.1%,-3.5,25%,,0%,lauerer01
Josh Lindblom,34,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,lindbjo01
Tim Lopes,27,11,.099,-29,.167,.000,0.0%,36.4%,9.1%,94.7,66.7%,33.3%,16.7%,33.3%,0.20,0.0%,66.7%,33.3%,-0.3,-0.2%,-1.7,50%,0%,,lopesti01
Luke Maile,30,34,.356,120,.391,.133,0.0%,20.6%,8.8%,79.6,26.1%,21.7%,69.6%,8.7%,2.29,30.4%,39.1%,30.4%,-0.2,-0.2%,0.8,43%,,50%,mailelu01
Billy McKinney,26,100,.267,55,.242,.152,3.0%,24.0%,7.0%,89.4,37.7%,30.4%,37.7%,26.1%,0.60,31.9%,53.6%,14.5%,-1.1,-0.8%,-11.6,26%,100%,29%,mckinbi01
Hoby Milner,30,2,.348,114,,.000,0.0%,50.0%,50.0%,,,,,,,,,,0.0,0.0%,0.0,0%,,,milneho01
Omar Narvaez,29,445,.326,99,.308,.136,2.5%,18.9%,9.2%,84.6,25.6%,27.5%,34.2%,31.0%,0.52,28.1%,54.0%,17.9%,-0.2,0.2%,0.0,31%,,41%,narvaom01
Daniel Norris,28,2,.000,-132,.000,.000,0.0%,0.0%,0.0%,75.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,,norrida01
Jacob Nottingham,26,14,.376,134,.250,.500,14.3%,57.1%,0.0%,88.5,50.0%,16.7%,33.3%,50.0%,0.50,16.7%,66.7%,16.7%,-0.1,-0.1%,-0.2,0%,,,nottija01
Freddy Peralta,25,45,.098,-67,.190,.000,0.0%,48.9%,2.2%,76.6,19.0%,22.7%,63.6%,0.0%,2.33,4.5%,63.6%,31.8%,-0.9,-0.6%,-9.3,17%,,0%,peralfr01
Jace Peterson,31,302,.328,96,.310,.120,2.0%,22.5%,12.6%,87.4,34.9%,23.8%,42.0%,28.5%,0.73,24.4%,57.0%,18.7%,0.4,0.8%,7.1,30%,91%,55%,peterja01
Manny Pina,34,208,.317,92,.162,.250,6.3%,18.3%,10.6%,86.5,32.4%,18.2%,38.5%,32.9%,0.63,37.1%,49.7%,13.3%,-0.6,-0.7%,1.4,29%,,20%,pinama01
Drew Rasmussen,25,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,rasmudr01
Corey Ray,26,3,.232,32,.000,.000,0.0%,33.3%,33.3%,86.5,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,-0.1%,-0.5,100%,,,rayco01
Colin Rea,30,2,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,reaco01
