--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Nick Blackburn,30,2,.000,-136,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.6,,,,blackni01
Sean Burroughs,31,18,.158,-21,.143,.059,0.0%,16.7%,5.6%,0.0%,71.4%,21.4%,2.50,50.0%,28.6%,21.4%,-0.6,-0.2%,-4.4,0%,,0%,burrose01
Drew Butera,28,122,.266,59,.250,.081,0.8%,21.3%,7.4%,20.0%,32.9%,21.2%,0.51,30.6%,52.9%,16.5%,-1.0,-0.1%,-6.7,19%,,10%,buterdr01
Jamey Carroll,38,537,.310,92,.306,.049,0.2%,12.1%,9.7%,16.8%,55.3%,19.7%,1.32,23.1%,55.8%,21.2%,-1.0,-0.2%,-11.2,35%,64%,40%,carroja01
Matt Carson,30,69,.245,43,.326,.015,0.0%,30.4%,2.9%,13.0%,45.7%,30.4%,0.88,32.6%,45.7%,21.7%,-0.5,0.0%,-4.1,16%,,40%,carsoma01
Alexi Casilla,27,326,.285,62,.283,.080,0.3%,16.0%,4.9%,13.7%,52.5%,20.4%,1.29,29.0%,51.0%,20.0%,-0.7,-0.3%,-13.8,31%,95%,56%,casilal01
Scott Diamond,25,8,.128,-62,.333,.000,0.0%,50.0%,0.0%,25.0%,50.0%,0.0%,2.00,50.0%,50.0%,0.0%,-0.1,0.0%,-1.6,100%,,0%,diamosc01
Ryan Doumit,31,528,.334,109,.306,.186,3.4%,18.6%,5.5%,17.8%,41.9%,33.2%,0.72,33.5%,52.8%,13.7%,-1.7,-0.3%,-2.3,25%,,34%,doumiry01
Brian Dozier,25,340,.288,72,.267,.098,1.8%,17.1%,4.7%,14.3%,39.6%,30.6%,0.71,28.3%,57.7%,14.0%,-2.1,-0.2%,-12.8,31%,82%,38%,doziebr01
Brian Duensing,29,1,.000,-136,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,duensbr01
Eduardo Escobar,23,49,.232,29,.270,.000,0.0%,16.3%,4.1%,15.8%,47.4%,28.9%,0.95,15.8%,63.2%,21.1%,-0.7,0.0%,-2.0,31%,100%,67%,escobed01
Pedro Florimón,25,150,.264,55,.274,.088,0.7%,20.0%,6.7%,18.2%,56.4%,16.4%,1.44,22.7%,50.9%,26.4%,-1.6,0.0%,-9.0,39%,75%,39%,floripe01
Liam Hendriks,23,2,.450,193,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.1,0%,,,hendrli01
Chris Herrmann,24,19,.079,-78,.077,.000,0.0%,26.3%,5.3%,7.7%,69.2%,23.1%,2.25,30.8%,61.5%,7.7%,-0.3,0.0%,-3.5,0%,,,herrmch01
Luke Hughes,27,11,.258,37,.286,.000,0.0%,36.4%,0.0%,14.3%,57.1%,14.3%,1.33,71.4%,14.3%,14.3%,-0.2,-0.1%,-0.8,0%,100%,,hughelu01
Erik Komatsu,24,37,.261,55,.233,.000,0.0%,8.1%,10.8%,16.7%,53.3%,16.7%,1.23,10.0%,70.0%,20.0%,-0.1,0.0%,-3.4,13%,,50%,komater01
Francisco Liriano,28,3,.000,-136,.000,.000,0.0%,66.7%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-0.7,,,,liriafr01
Darin Mastroianni,26,186,.338,98,.328,.098,1.6%,24.2%,9.7%,20.5%,43.4%,24.6%,0.87,17.2%,64.8%,18.0%,0.1,0.0%,2.2,26%,88%,62%,mastrda01
Joe Mauer,29,641,.380,143,.364,.127,1.6%,13.7%,14.0%,21.5%,53.8%,23.4%,1.17,21.9%,56.6%,21.5%,4.1,0.3%,47.6,28%,67%,46%,mauerjo01
