--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Luis Arraez,25,603,.355,134,.331,.104,1.3%,7.1%,8.3%,88.9,30.2%,29.8%,41.2%,25.4%,0.70,26.4%,52.7%,20.9%,1.0,0.9%,21.2,37%,50%,39%,arraelu01
Tim Beckham,32,25,.068,-76,.125,.000,0.0%,36.0%,0.0%,90.5,50.0%,12.5%,81.3%,6.3%,4.33,37.5%,50.0%,12.5%,-0.5,-0.3%,-5.2,33%,,50%,beckhti01
Byron Buxton,28,382,.369,140,.244,.303,7.3%,30.4%,8.9%,92.9,50.2%,21.3%,30.7%,36.0%,0.44,36.0%,48.4%,15.6%,1.4,0.8%,8.5,37%,100%,44%,buxtoby01
Jake Cave,29,177,.300,91,.268,.171,2.8%,27.7%,6.2%,90.7,42.7%,22.2%,36.8%,39.3%,0.58,24.8%,59.8%,15.4%,0.1,-0.2%,-2.8,29%,100%,50%,caveja01
Gilberto Celestino,23,347,.292,86,.310,.064,0.6%,22.2%,9.2%,86.8,34.6%,22.0%,59.7%,14.4%,1.52,16.1%,53.4%,30.5%,-0.8,-0.4%,-12.3,24%,80%,22%,celesgi01
Mark Contreras,27,61,.209,24,.114,.172,4.9%,34.4%,1.6%,94.9,57.9%,18.4%,47.4%,23.7%,0.90,39.5%,44.7%,15.8%,-1.4,-0.3%,-9.2,67%,100%,60%,contrma01
Carlos Correa,27,590,.367,142,.339,.176,3.7%,20.5%,10.3%,89.9,44.7%,25.7%,42.0%,25.9%,0.72,27.4%,55.3%,17.3%,1.4,0.8%,21.1,25%,0%,33%,correca01
Kyle Garlick,30,162,.334,118,.277,.200,5.6%,29.6%,4.9%,90.2,47.6%,22.3%,41.7%,29.1%,0.72,35.9%,46.6%,17.5%,-0.7,-0.2%,-1.0,37%,,50%,garliky01
José Godoy,27,5,.275,75,.000,.000,0.0%,40.0%,40.0%,22.9,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.5,100%,,,godoyjo01
Nick Gordon,26,443,.326,113,.340,.156,2.0%,23.7%,4.3%,89.9,44.7%,25.6%,41.1%,29.8%,0.71,34.3%,51.1%,14.6%,-0.4,-0.2%,5.5,26%,60%,50%,gordoni01
Billy Hamilton,31,8,.119,-60,.000,.000,0.0%,50.0%,12.5%,74.8,0.0%,0.0%,0.0%,66.7%,0.00,33.3%,66.7%,0.0%,0.1,-0.1%,-0.3,36%,75%,25%,hamilbi02
Caleb Hamilton,27,23,.219,31,.000,.167,4.4%,60.9%,17.4%,82.0,60.0%,0.0%,40.0%,40.0%,1.00,40.0%,60.0%,0.0%,-0.1,-0.1%,-2.0,44%,,67%,hamilca01
Ryan Jeffers,25,236,.291,86,.259,.156,3.0%,26.3%,9.8%,87.3,42.7%,21.9%,35.8%,33.8%,0.57,31.1%,48.3%,20.5%,-0.7,-0.2%,-6.5,30%,,53%,jeffery01
Max Kepler,29,446,.305,97,.249,.121,2.0%,14.8%,11.0%,89.1,39.9%,23.3%,46.6%,24.5%,0.87,36.5%,49.7%,13.8%,-0.5,-0.4%,-2.0,34%,60%,53%,keplema01
Alex Kirilloff,24,156,.297,90,.308,.111,1.9%,23.1%,3.2%,89.3,45.5%,15.5%,55.5%,26.4%,1.24,27.3%,56.4%,16.4%,-0.3,-0.1%,2.7,26%,,29%,kirilal01
Trevor Larnach,25,180,.309,99,.320,.175,2.8%,31.7%,10.0%,90.1,43.8%,18.1%,41.9%,36.2%,0.72,36.2%,47.6%,16.2%,-0.3,-0.2%,-0.5,33%,,50%,larnatr01
Sandy Leon,33,65,.233,42,.303,.054,0.0%,35.4%,10.8%,78.2,14.3%,37.1%,25.7%,17.1%,0.39,40.0%,40.0%,20.0%,-0.4,-0.1%,-5.0,35%,,18%,leonsa01
Royce Lewis,23,41,.370,143,.303,.250,4.9%,12.2%,2.4%,90.7,40.0%,20.0%,34.3%,34.3%,0.52,40.0%,48.6%,11.4%,0.0,0.0%,1.5,27%,,67%,lewisro02
Jose Miranda,24,483,.334,118,.307,.158,3.1%,18.8%,5.8%,89.3,42.5%,24.0%,42.4%,25.4%,0.74,30.8%,50.3%,18.9%,-0.8,0.0%,-0.4,21%,50%,43%,miranjo01
Jermaine Palacios,25,77,.206,24,.186,.086,2.6%,35.1%,5.2%,86.4,39.1%,23.9%,52.2%,21.7%,1.14,26.1%,58.7%,15.2%,-1.2,-0.4%,-8.6,40%,,43%,palacje01
Jorge Polanco,28,445,.335,119,.269,.171,3.6%,21.4%,14.4%,88.1,38.9%,25.4%,29.6%,34.9%,0.43,36.6%,48.6%,14.8%,1.6,1.2%,13.2,28%,50%,42%,polanjo01
Gary Sanchez,29,471,.291,86,.257,.172,3.4%,28.9%,8.5%,90.5,49.5%,18.4%,43.8%,29.9%,0.78,31.9%,52.4%,15.6%,-0.8,-0.6%,-3.5,22%,100%,27%,sanchga02
