--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Miguel Batista,41,7,.000,-178,.000,.000,0.0%,57.1%,0.0%,0.0%,66.7%,0.0%,,0.0%,66.7%,33.3%,-0.1,-0.1%,-1.3,,,,batismi01
Mike Baxter,27,211,.338,112,.331,.151,1.4%,21.3%,11.9%,25.0%,39.7%,28.7%,0.67,24.3%,56.6%,19.1%,-0.3,0.3%,7.4,31%,63%,65%,baxtemi01
Jason Bay,33,215,.251,44,.185,.134,3.7%,27.0%,8.8%,11.6%,43.5%,37.0%,0.77,29.0%,55.1%,15.9%,-1.7,-0.9%,-16.1,29%,83%,53%,bayja01
Ronny Cedeno,29,186,.329,106,.307,.151,2.2%,18.8%,9.1%,15.8%,51.9%,24.8%,1.13,27.8%,58.6%,13.5%,0.0,0.2%,2.7,24%,0%,33%,cedenro02
Ike Davis,25,584,.332,107,.246,.235,5.5%,24.1%,10.5%,19.2%,39.1%,31.0%,0.65,27.8%,56.7%,15.5%,0.8,-0.1%,2.4,23%,0%,30%,davisik02
R.A. Dickey,37,83,.167,-31,.190,.000,0.0%,16.9%,0.0%,10.3%,50.0%,11.8%,1.62,19.1%,57.4%,23.5%,-0.8,-0.3%,-10.5,25%,,33%,dicker.01
Lucas Duda,26,459,.320,97,.301,.150,3.3%,26.1%,11.1%,21.8%,36.6%,34.9%,0.58,30.6%,56.3%,13.0%,0.4,0.2%,5.9,21%,100%,30%,dudalu01
Jeurys Familia,22,1,.000,-138,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,familje01
Dillon Gee,26,34,.197,-9,.200,.074,0.0%,20.6%,5.9%,12.0%,32.0%,20.0%,0.80,44.0%,32.0%,24.0%,-0.3,-0.2%,-3.3,67%,,0%,geedi01
Scott Hairston,32,398,.365,128,.287,.241,5.0%,20.9%,4.8%,21.0%,33.6%,31.9%,0.51,42.7%,43.7%,13.6%,1.3,1.0%,6.4,32%,80%,42%,hairssc01
Justin Hampson,32,1,.000,-138,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,hampsju01
Matt Harvey,23,21,.340,114,.545,.111,0.0%,33.3%,0.0%,0.0%,42.9%,35.7%,1.20,14.3%,64.3%,21.4%,0.1,0.0%,0.6,0%,,0%,harvema01
Jeremy Hefner,26,26,.148,-68,.125,.150,3.9%,42.3%,0.0%,0.0%,46.7%,13.3%,3.50,26.7%,53.3%,20.0%,-0.3,0.0%,-4.4,0%,,,hefneje01
Rob Johnson,29,58,.244,38,.302,.038,0.0%,17.2%,6.9%,18.2%,52.3%,22.7%,1.21,11.4%,70.5%,18.2%,0.0,-0.1%,-4.2,18%,,50%,johnsro07
Fred Lewis,31,25,.226,25,.200,.000,0.0%,20.0%,16.0%,20.0%,80.0%,0.0%,4.00,26.7%,60.0%,13.3%,-0.1,0.0%,-1.3,22%,,33%,lewisfr02
Zach Lutz,26,11,.082,-78,.167,.000,0.0%,45.5%,0.0%,33.3%,33.3%,16.7%,0.50,0.0%,83.3%,16.7%,-0.2,-0.1%,-3.3,100%,,50%,lutzza01
Collin McHugh,25,4,.000,-138,.000,.000,0.0%,50.0%,0.0%,0.0%,50.0%,0.0%,1.00,50.0%,50.0%,0.0%,-0.1,0.0%,-1.1,,,,mchugco01
Jenrry Mejia,22,5,.000,-297,.000,.000,0.0%,40.0%,0.0%,0.0%,33.3%,0.0%,,33.3%,66.7%,0.0%,-0.1,0.0%,-0.7,,,,mejiaje01
Daniel Murphy,27,612,.331,104,.329,.112,1.0%,13.4%,5.9%,21.5%,51.5%,23.3%,1.06,21.7%,57.6%,20.7%,0.8,0.3%,19.2,28%,83%,41%,murphda08
Mike Nickeas,29,122,.233,32,.220,.055,0.8%,22.1%,6.6%,17.6%,41.2%,24.7%,0.76,27.1%,54.1%,18.8%,-0.3,-0.2%,-4.0,25%,,44%,nickemi01
