--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Albert Almora,27,54,.143,-28,.171,.058,0.0%,31.5%,3.7%,90.3,45.7%,17.1%,57.1%,14.3%,1.33,31.4%,54.3%,14.3%,-1.2,-1.0%,-9.8,20%,,50%,almoral01
Pete Alonso,26,637,.377,137,.274,.257,5.8%,19.9%,9.4%,91.0,47.4%,22.8%,39.0%,31.1%,0.64,27.4%,53.0%,19.6%,1.7,1.1%,17.1,24%,100%,27%,alonspe01
Javier Baez,28,186,.383,142,.390,.216,4.8%,28.5%,7.0%,88.2,42.1%,25.4%,43.9%,21.9%,0.79,30.7%,47.4%,21.9%,0.0,-0.2%,8.1,38%,71%,63%,baezja01
Anthony Banda,27,1,.000,-129,.000,.000,0.0%,0.0%,0.0%,83.1,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.9,,,,bandaan01
Travis Blankenhorn,24,24,.292,77,.214,.217,4.2%,33.3%,4.2%,96.2,73.3%,13.3%,46.7%,26.7%,0.88,46.7%,33.3%,20.0%,-0.4,-0.2%,-1.1,50%,,0%,blanktr01
Carlos Carrasco,34,19,.060,-136,.000,.000,0.0%,52.6%,0.0%,58.7,0.0%,0.0%,44.4%,0.0%,,11.1%,77.8%,11.1%,-0.3,-0.1%,-2.7,,,,carraca01
Michael Conforto,28,479,.328,103,.276,.153,2.9%,21.7%,12.3%,88.5,39.6%,21.4%,45.1%,29.3%,0.82,31.6%,53.9%,14.5%,1.3,0.4%,-0.5,25%,100%,28%,confomi01
J.D. Davis,28,211,.372,134,.426,.151,2.4%,32.2%,11.4%,89.7,42.5%,32.7%,38.9%,22.1%,0.64,21.2%,59.3%,19.5%,0.5,0.4%,6.3,17%,100%,15%,davisjd01
Jacob deGrom,33,33,.328,104,.500,.030,0.0%,27.3%,0.0%,79.4,16.7%,33.3%,41.7%,16.7%,0.83,29.2%,50.0%,20.8%,0.1,0.0%,1.3,33%,,100%,degroja01
Yennsy Díaz,24,1,.000,-129,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,diazye01
Brandon Drury,28,88,.345,115,.328,.202,4.6%,25.0%,3.4%,89.7,47.5%,19.4%,51.6%,19.4%,1.07,32.3%,58.1%,9.7%,-0.5,-0.5%,1.6,13%,,33%,drurybr01
Jerad Eickhoff,30,8,.321,97,.400,.000,0.0%,0.0%,0.0%,41.6,0.0%,0.0%,37.5%,0.0%,,0.0%,75.0%,25.0%,-0.1,-0.1%,-0.7,0%,,0%,eickhje01
Johneshwy Fargas,26,22,.338,111,.429,.238,0.0%,31.8%,0.0%,74.1,13.3%,33.3%,33.3%,6.7%,0.56,20.0%,53.3%,26.7%,-0.3,-0.2%,-1.4,17%,,100%,fargajo01
Robert Gsellman,27,6,.116,-47,.000,.000,0.0%,66.7%,16.7%,97.1,100.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.8,0%,,,gsellro01
Luis Guillorme,26,156,.323,105,.315,.045,0.6%,14.7%,14.7%,85.7,22.7%,25.5%,50.0%,21.8%,1.04,16.4%,59.1%,24.5%,-0.2,-0.1%,-3.4,20%,0%,64%,guilllu01
Jake Hager,28,8,.112,-49,.200,.000,0.0%,37.5%,0.0%,87.1,20.0%,40.0%,40.0%,20.0%,0.67,20.0%,60.0%,20.0%,0.0,0.0%,-0.7,50%,,0%,hagerja01
Rich Hill,41,22,.080,-89,.167,.000,0.0%,36.4%,0.0%,54.1,0.0%,7.1%,50.0%,0.0%,7.00,7.1%,71.4%,21.4%,-0.6,-0.4%,-5.5,0%,,0%,hillri01
Tommy Hunter,34,1,.899,507,1.000,.000,0.0%,0.0%,0.0%,99.7,100.0%,100.0%,0.0%,0.0%,0.00,100.0%,0.0%,0.0%,0.0,0.0%,0.3,100%,,,hunteto02
