--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
A.J. Burnett,34,3,.000,-266,,.000,0.0%,66.7%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.7,0%,,,burnea.01
Robinson Canó,28,681,.383,133,.316,.231,4.1%,14.1%,5.6%,23.0%,46.7%,24.1%,0.88,29.3%,51.4%,19.3%,3.1,1.6%,41.3,36%,80%,46%,canoro01
Francisco Cervelli,25,137,.342,102,.315,.129,2.9%,21.2%,6.6%,20.6%,45.4%,29.9%,0.88,36.1%,48.5%,15.5%,0.2,0.0%,1.9,32%,80%,56%,cervefr01
Eric Chavez,33,175,.301,74,.320,.094,1.1%,19.4%,8.0%,16.5%,45.7%,33.9%,0.84,28.3%,52.0%,19.7%,0.3,0.2%,4.8,26%,,50%,chaveer01
Bartolo Colon,38,2,.000,-388,,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-0.5,,,,colonba01
Chris Dickerson,29,55,.340,89,.364,.100,1.8%,30.9%,3.6%,17.1%,42.9%,25.7%,0.83,37.1%,48.6%,14.3%,-0.1,-0.1%,0.5,33%,100%,40%,dickech01
Freddy Garcia,34,8,.000,-290,.000,.000,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,,12.5%,62.5%,25.0%,-0.2,-0.1%,-1.6,,,,garcifr03
Brett Gardner,27,588,.331,89,.303,.110,1.2%,15.8%,10.2%,15.2%,49.9%,18.5%,1.18,24.8%,54.6%,20.6%,-0.9,-0.3%,-8.2,40%,79%,47%,gardnbr01
Greg Golson,25,12,.222,2,.222,.000,0.0%,16.7%,8.3%,0.0%,55.6%,33.3%,1.25,22.2%,66.7%,11.1%,0.1,0.0%,-1.3,20%,100%,100%,golsogr01
Brian Gordon,32,2,.350,110,,.000,0.0%,50.0%,50.0%,,,,,,,,0.0,0.0%,0.3,0%,,,gordobr01
Curtis Granderson,30,691,.394,141,.295,.290,5.9%,24.5%,12.3%,15.8%,34.8%,39.5%,0.55,41.6%,46.4%,12.0%,3.1,2.6%,40.3,46%,71%,59%,grandcu01
Derek Jeter,37,607,.342,103,.336,.092,1.0%,13.3%,7.6%,16.2%,62.0%,17.9%,1.74,20.7%,58.9%,20.5%,0.7,0.0%,10.8,38%,73%,35%,jeterde01
Andruw Jones,34,222,.370,124,.296,.247,5.9%,27.9%,13.1%,18.8%,44.5%,25.0%,0.80,39.1%,53.9%,7.0%,0.1,0.0%,9.1,21%,,40%,jonesan01
Brandon Laird,23,25,.314,83,.235,.000,0.0%,16.0%,12.0%,16.7%,50.0%,16.7%,1.13,33.3%,50.0%,16.7%,-0.3,-0.1%,-1.6,43%,,,lairdbr01
Boone Logan,26,1,,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,loganbo02
Russell Martin,28,476,.335,98,.252,.170,3.8%,17.0%,10.5%,17.1%,47.9%,27.9%,0.93,30.0%,54.7%,15.3%,0.6,0.5%,-0.2,29%,80%,30%,martiru01
Gustavo Molina,29,6,.209,8,.167,.167,0.0%,0.0%,0.0%,16.7%,50.0%,33.3%,1.00,33.3%,66.7%,0.0%,-0.1,0.0%,-0.8,0%,,,molingu01
Jesus Montero,21,69,.446,182,.400,.262,5.8%,24.6%,10.1%,22.7%,40.9%,29.5%,0.69,36.4%,40.9%,22.7%,0.3,0.0%,6.5,21%,,17%,monteje01
