--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Miguel Andújar,24,49,.119,-46,.162,.000,0.0%,22.5%,2.0%,83.8,30.0%,10.8%,48.6%,24.3%,0.95,33.3%,58.3%,8.3%,-1.0,-0.8%,-12.0,14%,,0%,andujmi01
Greg Bird,26,41,.278,66,.278,.086,2.4%,39.0%,14.6%,85.3,36.8%,31.6%,47.4%,21.1%,0.90,15.8%,63.2%,21.1%,-0.2,-0.1%,-1.3,46%,,25%,birdgr01
Luis Cessa,27,1,.000,-129,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,cessalu01
Edwin Encarnación,36,197,.352,118,.267,.282,6.6%,24.4%,8.6%,91.7,51.4%,20.9%,29.5%,34.1%,0.42,33.3%,48.1%,18.6%,0.8,0.4%,11.1,39%,,28%,encared01
Thairo Estrada,23,69,.335,96,.283,.188,4.4%,21.7%,4.4%,88.8,42.6%,22.0%,52.0%,20.0%,1.13,16.0%,56.0%,28.0%,0.4,0.4%,3.7,38%,100%,46%,estrath01
Mike Ford,26,163,.378,136,.243,.301,7.4%,17.2%,10.4%,92.7,49.1%,21.7%,39.1%,33.0%,0.64,32.2%,58.3%,9.6%,1.2,0.2%,10.1,40%,,39%,fordmi01
Jackson Frazier,24,246,.337,110,.329,.222,4.9%,28.5%,6.5%,88.8,38.0%,21.5%,39.9%,31.0%,0.66,28.8%,52.6%,18.6%,0.4,0.4%,7.8,28%,33%,26%,frazicl01
Brett Gardner,35,550,.352,116,.265,.253,5.1%,19.6%,9.5%,88.3,37.0%,23.1%,44.3%,20.7%,0.82,37.4%,50.6%,11.9%,-0.2,-0.2%,7.0,38%,83%,42%,gardnbr01
Domingo Germán,26,8,.000,-129,.000,.000,0.0%,87.5%,0.0%,,,0.0%,0.0%,0.0%,,100.0%,0.0%,0.0%,-0.2,-0.1%,-2.7,,,,germado01
Chad Green,28,1,.000,-129,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,greench03
Didi Gregorius,29,344,.306,86,.237,.204,4.7%,15.4%,4.9%,88.8,39.7%,20.9%,37.7%,27.8%,0.61,33.7%,55.7%,10.6%,0.4,0.2%,4.7,39%,67%,48%,gregodi01
J.A. Happ,36,4,.000,-206,.000,.000,0.0%,0.0%,0.0%,99.7,100.0%,0.0%,50.0%,0.0%,,25.0%,50.0%,25.0%,-0.1,-0.1%,-1.0,,,,happja01
Aaron Hicks,29,255,.333,107,.286,.208,4.7%,28.2%,12.2%,90.7,41.1%,22.4%,42.8%,23.7%,0.75,37.5%,42.8%,19.7%,2.0,1.1%,0.3,41%,33%,50%,hicksaa01
Kyle Higashioka,29,57,.268,59,.321,.250,5.3%,45.6%,0.0%,89.8,38.7%,29.0%,32.3%,35.5%,0.48,35.5%,54.8%,9.7%,-0.5,-0.2%,-2.4,56%,,80%,higasky01
Aaron Judge,27,447,.393,148,.360,.267,6.0%,31.5%,14.3%,96.7,61.5%,30.7%,41.2%,26.5%,0.70,22.4%,54.9%,22.8%,2.8,1.2%,19.5,34%,60%,41%,judgeaa01
DJ LeMahieu,30,655,.382,139,.349,.191,4.0%,13.7%,7.0%,92.4,51.9%,29.8%,49.3%,17.2%,0.98,15.3%,59.2%,25.4%,3.0,2.2%,47.8,38%,71%,41%,lemahdj01
Cameron Maybin,32,269,.363,129,.365,.209,4.1%,26.8%,11.2%,89.3,42.3%,25.1%,40.7%,22.8%,0.70,15.8%,66.1%,18.2%,-0.3,0.2%,6.4,41%,60%,56%,maybica01
Kendrys Morales,36,75,.267,58,.182,.065,1.3%,8.0%,16.0%,91.1,45.1%,16.1%,66.1%,17.9%,1.95,41.1%,50.0%,8.9%,-0.3,-0.2%,-4.3,26%,,11%,moralke01
James Paxton,30,8,.000,-267,,.000,0.0%,62.5%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,66.7%,33.3%,-0.1,0.0%,-2.2,,,,paxtoja01
Austin Romine,30,240,.314,92,.327,.158,3.3%,20.8%,4.2%,88.9,43.4%,22.2%,48.3%,20.6%,0.95,18.4%,58.1%,23.5%,0.9,0.4%,3.5,32%,50%,36%,rominau01
CC Sabathia,38,3,.000,-129,.000,.000,0.0%,66.7%,0.0%,96.8,100.0%,100.0%,0.0%,0.0%,0.00,100.0%,0.0%,0.0%,-0.1,0.0%,-0.6,,,,sabatc.01
Gary Sanchez,26,446,.354,120,.244,.293,7.6%,28.0%,9.0%,92.1,46.7%,22.8%,32.4%,32.7%,0.48,32.8%,51.3%,15.9%,-0.4,0.0%,4.9,26%,0%,28%,sanchga02
Giancarlo Stanton,29,72,.379,137,.424,.203,4.2%,33.3%,16.7%,94.0,53.1%,36.1%,41.7%,13.9%,0.71,27.8%,55.6%,16.7%,0.4,0.1%,6.4,19%,,33%,stantmi03
Masahiro Tanaka,30,1,.000,-129,.000,.000,0.0%,0.0%,0.0%,85.5,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.2,,,,tanakma01
Mike Tauchman,28,296,.374,130,.333,.227,4.4%,24.0%,11.5%,88.6,40.2%,30.5%,41.6%,23.7%,0.72,27.9%,46.8%,25.3%,0.7,0.3%,12.2,35%,100%,61%,tauchmi01
Gleyber Torres,22,604,.361,124,.296,.256,6.3%,21.4%,8.0%,89.7,39.2%,24.3%,37.3%,30.0%,0.60,27.0%,54.0%,19.0%,0.1,0.3%,11.8,35%,71%,37%,torregl01
Troy Tulowitzki,34,13,.347,115,.167,.364,7.7%,30.8%,15.4%,97.3,40.0%,14.3%,42.9%,28.6%,0.75,14.3%,42.9%,42.9%,-0.2,-0.1%,-1.4,0%,,0%,tulowtr01
Gio Urshela,27,476,.372,133,.349,.219,4.4%,18.3%,5.3%,91.2,45.0%,30.1%,41.2%,23.1%,0.70,25.1%,56.7%,18.2%,2.3,1.6%,17.7,35%,50%,32%,urshegi01
Breyvic Valera,27,37,.286,72,.259,.094,0.0%,13.5%,10.8%,84.0,20.0%,25.9%,37.0%,22.2%,0.59,25.9%,48.1%,25.9%,0.3,0.1%,1.0,39%,,67%,valerbr01
Luke Voit,28,510,.364,126,.345,.200,4.1%,27.8%,13.9%,90.0,43.2%,29.2%,40.6%,27.1%,0.68,32.4%,52.3%,15.3%,1.6,1.6%,25.2,30%,,28%,voitlu01
Tyler Wade,24,108,.315,81,.328,.117,1.9%,25.9%,10.2%,87.7,35.2%,16.2%,48.5%,17.6%,1.10,30.9%,50.0%,19.1%,-0.1,-0.2%,-0.7,36%,100%,83%,wadety01
League Average,,,.328,99,.297,.185,3.7%,23.0%,8.5%,89.2,40.3%,25.2%,42.2%,24.0%,0.74,29.5%,52.5%,17.9%,,,,31%,72%,40%,-9999
Team Total,,6245,.352,118,.306,.222,4.9%,23.0%,9.1%,90.5,44.2%,25.4%,41.7%,24.9%,0.72,27.5%,54.1%,18.4%,13.6,8.4%,171.7,35%,71%,40%,-9999
