--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Bryan Anderson,27,1,.000,-135,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.5,,,,anderbr05
Daric Barton,28,64,.210,20,.205,.018,0.0%,21.9%,7.8%,27.3%,38.6%,25.0%,0.63,11.4%,70.5%,18.2%,-0.4,-0.3%,-3.0,41%,,17%,bartoda02
Kyle Blanks,27,56,.427,180,.419,.156,3.6%,23.2%,14.3%,24.2%,54.5%,18.2%,1.20,51.5%,48.5%,0.0%,0.2,0.2%,4.6,30%,,40%,blankky01
Billy Burns,24,6,.198,-20,.167,.000,0.0%,0.0%,0.0%,33.3%,50.0%,16.7%,1.00,16.7%,66.7%,16.7%,0.0,0.0%,-0.7,36%,75%,33%,burnsbi02
Alberto Callaspo,31,451,.278,71,.242,.067,0.9%,11.1%,8.9%,25.6%,43.3%,23.9%,0.76,30.1%,52.9%,17.0%,-1.8,-1.4%,-16.4,26%,0%,36%,callaal01
Yoenis Céspedes,28,432,.340,117,.278,.208,3.9%,18.5%,6.5%,26.3%,32.8%,27.2%,0.49,32.9%,50.6%,16.5%,0.8,0.7%,9.7,40%,60%,50%,cespeyo01
Jesse Chavez,30,3,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-1.0,,,,chaveje01
Coco Crisp,34,536,.331,106,.266,.117,1.7%,12.3%,12.3%,25.7%,39.4%,24.3%,0.67,31.7%,52.5%,15.8%,2.1,1.6%,12.4,35%,79%,46%,crispco01
Josh Donaldson,28,695,.361,130,.278,.201,4.2%,18.7%,10.9%,20.3%,45.4%,25.5%,0.83,27.9%,54.9%,17.3%,3.2,2.5%,29.6,31%,100%,40%,donaljo02
Sean Doolittle,27,1,.000,-135,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1,,,,doolise01
Adam Dunn,34,76,.306,91,.324,.106,2.6%,35.5%,7.9%,33.3%,28.2%,33.3%,0.39,43.6%,41.0%,15.4%,-0.1,0.0%,1.2,18%,,25%,dunnad01
Jeff Francis,33,1,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,francje01
Nate Freiman,27,93,.318,100,.237,.230,5.4%,24.7%,5.4%,23.4%,37.5%,25.0%,0.60,32.3%,56.5%,11.3%,0.2,0.2%,1.3,33%,,50%,freimna01
Sam Fuld,32,33,.291,73,.217,.233,3.0%,18.2%,9.1%,21.8%,46.8%,17.9%,0.99,28.8%,53.8%,17.3%,0.2,0.2%,-2.4,40%,100%,56%,fuldsa01
Sam Fuld,32,174,,,.244,.102,1.2%,16.1%,8.1%,,,,,,,,,,,40%,89%,,fuldsa01
Craig Gentry,30,258,.306,79,.314,.034,0.0%,17.1%,6.6%,25.3%,46.3%,18.4%,0.97,26.5%,58.2%,15.3%,0.1,0.0%,6.5,43%,91%,54%,gentrcr01
Jonny Gomes,33,75,.264,59,.313,.016,0.0%,24.0%,12.0%,31.3%,27.1%,20.8%,0.37,20.8%,70.8%,8.3%,-0.4,-0.4%,-3.7,25%,,57%,gomesjo01
Sonny Gray,24,4,.000,-371,.000,.000,0.0%,25.0%,0.0%,0.0%,33.3%,0.0%,,0.0%,66.7%,33.3%,-0.1,0.0%,-0.9,,,,grayso01
Jason Hammel,31,4,.000,-371,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.00,25.0%,75.0%,0.0%,0.0,0.0%,0.0,,,,hammeja01
