--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Bryan Anderson,28,8,.354,129,.400,.000,0.0%,12.5%,12.5%,92.7,20.0%,16.7%,50.0%,16.7%,1.50,33.3%,50.0%,16.7%,0.0,0.0%,0.0,0%,,,anderbr05
Chris Bassitt,26,2,.000,-136,.000,.000,0.0%,50.0%,0.0%,,,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-0.7,,,,bassich01
Carson Blair,25,35,.214,22,.250,.097,2.9%,51.4%,11.4%,90.4,33.3%,30.8%,46.2%,15.4%,0.86,23.1%,61.5%,15.4%,-0.2,0.0%,-2.4,29%,,100%,blairca01
Aaron Brooks,25,2,.000,-136,.000,.000,0.0%,0.0%,0.0%,79.2,0.0%,0.0%,50.0%,50.0%,1.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.4,,,,brookaa01
Billy Burns,25,555,.322,98,.339,.098,0.9%,14.6%,4.7%,82.9,18.2%,25.8%,49.8%,12.9%,1.04,25.6%,49.8%,24.7%,0.4,0.1%,3.4,36%,76%,42%,burnsbi02
Billy Butler,29,601,.314,95,.282,.139,2.5%,16.8%,8.7%,89.9,45.4%,24.5%,51.7%,19.0%,1.07,22.9%,49.4%,27.7%,-1.6,-0.5%,2.8,27%,,12%,butlebi03
Mark Canha,26,485,.329,105,.289,.172,3.3%,19.8%,6.8%,90.5,43.8%,24.4%,42.5%,21.6%,0.74,28.4%,53.7%,17.8%,0.2,-0.4%,14.7,33%,78%,46%,canhama01
Jesse Chavez,31,5,.298,74,1.000,.000,0.0%,40.0%,0.0%,85.7,0.0%,33.3%,0.0%,0.0%,0.00,0.0%,33.3%,66.7%,0.0,0.0%,-0.4,0%,,0%,chaveje01
Coco Crisp,35,139,.229,30,.218,.048,0.0%,18.0%,9.4%,84.1,23.3%,31.7%,43.6%,15.8%,0.77,39.6%,39.6%,20.8%,-1.3,-0.4%,-13.1,31%,100%,57%,crispco01
Ike Davis,28,239,.299,84,.272,.121,1.3%,18.4%,9.6%,88.1,41.9%,23.8%,54.1%,15.1%,1.18,27.3%,55.2%,17.4%,0.0,0.1%,-3.0,23%,,19%,davisik02
Sam Fuld,33,325,.274,64,.235,.097,0.6%,16.9%,9.2%,85.4,25.9%,21.0%,59.7%,10.5%,1.58,45.4%,45.0%,9.7%,-1.1,-0.2%,-10.7,32%,75%,44%,fuldsa01
Craig Gentry,31,56,.208,21,.167,.080,0.0%,26.8%,7.1%,84.8,22.9%,22.2%,44.4%,22.2%,0.84,16.7%,66.7%,16.7%,-0.5,-0.3%,-6.1,46%,50%,43%,gentrcr01
Sonny Gray,25,6,.149,-26,.500,.000,0.0%,66.7%,0.0%,87.7,0.0%,0.0%,100.0%,0.0%,,0.0%,50.0%,50.0%,-0.1,0.0%,-0.9,0%,,,grayso01
Jesse Hahn,25,3,.000,-136,.000,.000,0.0%,66.7%,0.0%,59.4,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.2,,,,hahnje01
Scott Kazmir,31,2,.448,194,1.000,.000,0.0%,50.0%,0.0%,94.9,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.1,0.0%,0.9,100%,,,kazmisc01
