--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Cody Asche,23,179,.310,87,.287,.154,2.8%,24.0%,8.4%,30.0%,43.3%,20.8%,0.78,28.3%,60.8%,10.8%,-0.3,0.0%,-1.0,27%,100%,50%,ascheco01
Roger Bernadina,29,83,.271,55,.231,.160,2.4%,25.3%,4.8%,14.5%,49.1%,16.4%,1.04,40.0%,43.6%,16.4%,-1.3,0.0%,-3.5,30%,100%,50%,bernaro01
Domonic Brown,25,540,.367,130,.287,.222,5.0%,18.0%,7.2%,24.8%,42.4%,24.6%,0.74,36.8%,52.5%,10.8%,2.6,0.9%,23.5,26%,73%,29%,browndo01
Ezequiel Carrera,26,16,.184,-7,.111,.000,0.0%,25.0%,6.3%,22.2%,33.3%,22.2%,0.50,55.6%,22.2%,22.2%,-0.2,-0.1%,-1.7,33%,,50%,carreez01
Tyler Cloyd,26,22,.178,-22,.143,.056,0.0%,18.2%,9.1%,25.0%,43.8%,12.5%,1.00,31.3%,25.0%,43.8%,-0.4,-0.1%,-3.9,25%,,50%,cloydty01
Kevin Frandsen,31,278,.301,80,.245,.107,1.8%,10.4%,4.3%,20.4%,55.8%,17.7%,1.31,20.1%,62.9%,17.0%,0.3,0.8%,-3.6,29%,100%,36%,frandke01
Freddy Galvis,23,222,.303,81,.273,.151,2.7%,20.3%,5.9%,24.5%,33.7%,27.6%,0.54,31.9%,51.5%,16.6%,-0.1,-0.1%,-7.7,13%,100%,50%,galvifr01
Luis Garcia,26,2,.000,-145,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,,garcilu03
Roy Halladay,36,20,.036,-129,.000,.000,0.0%,85.0%,5.0%,0.0%,50.0%,0.0%,,0.0%,50.0%,50.0%,-0.4,-0.2%,-4.5,0%,,0%,hallaro01
Cole Hamels,29,71,.191,-16,.313,.054,0.0%,33.8%,1.4%,17.8%,35.6%,8.9%,1.14,20.0%,60.0%,20.0%,-0.7,-0.3%,-6.0,33%,0%,0%,hamelco01
Cesar Hernandez,23,131,.299,88,.368,.041,0.0%,19.9%,6.9%,26.3%,50.5%,17.9%,1.09,22.1%,53.7%,24.2%,-0.1,0.0%,-0.2,37%,0%,39%,hernace02
Ryan Howard,33,317,.344,114,.349,.199,3.5%,30.0%,7.3%,27.9%,40.6%,30.5%,0.68,40.1%,45.2%,14.7%,0.7,0.3%,4.6,26%,,21%,howarry01
Kyle Kendrick,28,66,.151,-50,.194,.054,0.0%,30.3%,1.5%,6.8%,47.7%,20.5%,1.50,23.3%,62.8%,14.0%,-0.9,-0.4%,-7.3,10%,,0%,kendrky01
Erik Kratz,33,218,.288,71,.228,.173,4.1%,20.6%,8.3%,16.9%,44.2%,29.9%,0.80,33.8%,49.0%,17.2%,-0.2,0.0%,-7.0,23%,,25%,kratzer01
John Lannan,28,25,.234,25,.400,.048,0.0%,44.0%,8.0%,41.7%,16.7%,8.3%,0.25,8.3%,58.3%,33.3%,-0.3,-0.1%,-2.2,33%,,0%,lannajo01
Cliff Lee,34,72,.198,2,.314,.050,0.0%,34.7%,2.8%,13.3%,44.4%,13.3%,1.67,17.8%,57.8%,24.4%,-0.9,-0.3%,-5.5,31%,0%,25%,leecl02
Steven Lerud,28,5,.000,-145,.000,.000,0.0%,80.0%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.2,-0.1%,-1.4,,,,lerudst01
Ethan Martin,24,10,.000,-172,.000,.000,0.0%,60.0%,0.0%,0.0%,75.0%,0.0%,,0.0%,25.0%,75.0%,-0.2,0.0%,-2.0,,,,martiet01
Michael Martinez,30,40,.163,-28,.250,.000,0.0%,30.0%,0.0%,35.7%,50.0%,10.7%,1.00,35.7%,50.0%,14.3%,-0.5,-0.1%,-2.8,39%,100%,50%,martimi02
John Mayberry,29,384,.317,94,.273,.164,2.9%,23.4%,7.0%,23.5%,43.2%,20.1%,0.76,32.8%,55.3%,11.8%,0.4,0.4%,-0.3,34%,63%,55%,maybejo02
John McDonald,38,25,.264,51,.167,.130,4.0%,16.0%,4.0%,10.0%,60.0%,15.0%,2.00,33.3%,61.1%,5.6%,-0.5,-0.1%,-2.3,44%,,25%,mcdonjo03
Zach Miner,31,6,.302,82,.667,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,0%,,,minerza01
