--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jorge Alfaro,23,17,.106,-73,.250,.000,0.0%,47.1%,5.9%,75.2,12.5%,12.5%,62.5%,12.5%,1.67,12.5%,50.0%,37.5%,-0.4,0.0%,-2.9,0%,,0%,alfarjo01
Aaron Altherr,25,227,.288,65,.280,.091,1.8%,30.4%,10.1%,88.7,37.8%,29.5%,52.7%,12.4%,1.11,23.0%,56.3%,20.6%,-0.8,0.0%,-1.1,30%,78%,20%,altheaa01
Cody Asche,26,218,.289,68,.271,.137,1.8%,24.8%,8.3%,85.9,32.3%,27.1%,38.9%,23.6%,0.64,40.1%,45.8%,14.1%,0.1,0.1%,-4.0,31%,75%,48%,ascheco01
Alec Asher,24,11,.082,-81,.200,.000,0.0%,54.6%,0.0%,76.1,0.0%,20.0%,60.0%,20.0%,1.50,40.0%,60.0%,0.0%,-0.1,0.0%,-0.4,0%,,,asheral01
Andres Blanco,32,209,.330,102,.301,.153,1.9%,19.6%,5.3%,89.2,41.4%,28.7%,51.3%,12.7%,1.07,31.1%,51.4%,17.6%,0.4,0.6%,0.3,36%,40%,59%,blancan01
Peter Bourjos,29,383,.306,81,.323,.138,1.3%,23.8%,4.4%,88.3,39.6%,23.6%,49.1%,15.5%,1.06,27.0%,53.0%,20.0%,-0.6,-0.4%,-8.8,33%,60%,60%,bourjpe01
Emmanuel Burriss,31,50,.176,-19,.143,.067,0.0%,20.0%,4.0%,83.1,25.0%,16.7%,47.2%,27.8%,1.06,16.7%,58.3%,25.0%,-0.8,-0.4%,-7.0,20%,100%,50%,burriem01
Zach Eflin,22,23,.265,51,.400,.087,0.0%,34.8%,0.0%,92.4,38.5%,13.3%,66.7%,6.7%,2.50,26.7%,53.3%,20.0%,-0.3,0.0%,-4.1,33%,,0%,eflinza01
Jerad Eickhoff,25,62,.157,-27,.163,.049,0.0%,19.4%,1.6%,87.9,34.2%,18.4%,57.1%,18.4%,1.40,27.7%,51.1%,21.3%,-0.8,-0.1%,-9.4,44%,,0%,eickhje01
A.J. Ellis,35,35,.386,133,.375,.188,2.9%,20.0%,8.6%,87.1,47.8%,36.0%,44.0%,12.0%,0.79,20.8%,58.3%,20.8%,0.6,0.0%,5.8,17%,100%,50%,ellisaj01
Taylor Featherston,26,28,.176,-25,.200,.038,0.0%,39.3%,7.1%,84.4,25.0%,20.0%,33.3%,20.0%,0.50,20.0%,60.0%,20.0%,-0.2,0.0%,-3.7,40%,100%,100%,feathta01
Maikel Franco,23,630,.324,94,.271,.172,4.0%,16.8%,6.4%,90.6,46.4%,25.1%,45.3%,19.4%,0.83,29.1%,54.0%,16.9%,1.5,0.1%,8.9,25%,50%,34%,francma02
Freddy Galvis,26,624,.293,70,.280,.158,3.2%,21.8%,4.0%,87.5,32.4%,27.0%,39.3%,23.3%,0.70,35.1%,50.4%,14.5%,0.0,-0.1%,-17.7,27%,74%,35%,galvifr01
Luis Garcia,29,1,,,,,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2,,,,garcilu03
Tyler Goeddel,23,234,.256,42,.234,.099,1.7%,22.2%,7.3%,88.0,34.8%,22.1%,52.8%,17.2%,1.16,17.9%,58.6%,23.5%,-1.0,-0.1%,-16.1,22%,100%,33%,goeddty01
Severino Gonzalez,23,1,.000,-140,.000,.000,0.0%,0.0%,0.0%,,,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,gonzase01
Jeremy Hellickson,29,66,.192,-15,.300,.019,0.0%,36.4%,6.1%,78.0,3.4%,18.4%,52.6%,0.0%,2.50,18.4%,52.6%,28.9%,-0.6,-0.1%,-7.8,23%,,33%,hellije01
Cesar Hernandez,26,622,.340,108,.363,.099,1.0%,18.7%,10.6%,86.7,33.8%,25.8%,52.3%,12.1%,1.27,28.8%,51.2%,20.0%,-0.7,-0.6%,-1.2,27%,57%,50%,hernace02
Odubel Herrera,24,656,.352,111,.349,.134,2.3%,20.4%,9.6%,87.7,36.9%,24.9%,46.4%,21.0%,0.90,23.9%,53.5%,22.6%,1.1,0.8%,10.7,32%,78%,41%,herreod01
Frank Herrmann,32,1,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,herrmfr01
