--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Pedro Alvarez,27,445,.321,98,.277,.173,4.0%,25.4%,10.1%,21.4%,44.9%,25.6%,0.82,25.8%,59.4%,14.8%,-0.1,-0.1%,2.9,23%,73%,29%,alvarpe01
Clint Barmes,35,116,.289,77,.294,.049,0.0%,15.5%,7.8%,29.4%,37.6%,24.7%,0.60,30.6%,48.2%,21.2%,-0.5,-0.3%,-4.1,36%,50%,50%,barmecl01
Gerrit Cole,23,52,.204,4,.250,.065,1.9%,32.7%,3.9%,12.1%,45.5%,15.2%,1.50,21.2%,57.6%,21.2%,-0.8,-0.8%,-8.6,22%,,17%,colege01
Brandon Cumpton,25,20,.134,-57,.200,.000,0.0%,35.0%,5.0%,0.0%,66.7%,16.7%,4.00,8.3%,58.3%,33.3%,-0.4,-0.2%,-3.1,33%,,100%,cumptbr01
Ike Davis,27,397,.318,101,.270,.143,2.5%,18.6%,14.4%,25.6%,38.7%,25.9%,0.63,28.7%,55.8%,15.5%,-0.8,-0.4%,0.6,23%,0%,40%,davisik02
Jaff Decker,24,5,.000,-141,.000,.000,0.0%,60.0%,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.0,,,,deckeja01
Jeanmar Gomez,26,2,.908,977,1.000,.000,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,0.2,0%,,0%,gomezje01
Matt Hague,28,2,.000,-141,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.2,-0.2%,-1.2,,,,haguema01
Josh Harrison,26,550,.371,135,.353,.175,2.4%,14.7%,4.0%,29.8%,37.0%,24.4%,0.60,28.7%,55.4%,15.8%,3.5,2.2%,22.7,36%,72%,50%,harrijo05
