-- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Tanner Anderson,25,1,.000,-137,.000,.000,0.0%,0.0%,0.0%,92.8,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1,,,,anderta01
Chris Archer,29,17,.127,-45,.182,.059,0.0%,35.3%,0.0%,81.1,44.4%,9.1%,54.5%,9.1%,3.00,0.0%,72.7%,27.3%,-0.4,0.0%,-3.6,0%,,0%,archech01
Josh Bell,25,583,.339,113,.305,.150,2.1%,17.8%,13.2%,90.7,42.9%,21.4%,49.3%,22.6%,0.98,27.9%,53.2%,18.9%,1.9,0.6%,17.8,32%,29%,33%,belljo02
Christopher Bostick,25,2,.000,-137,.000,.000,0.0%,50.0%,0.0%,102.5,100.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.4,,,,bostich01
Steven Brault,26,21,.174,-10,.200,.050,0.0%,23.8%,4.8%,92.0,64.3%,13.3%,73.3%,6.7%,3.67,6.7%,80.0%,13.3%,-0.4,-0.2%,-4.2,0%,,0%,braulst01
Francisco Cervelli,32,404,.359,127,.308,.172,3.0%,20.8%,12.6%,89.0,42.9%,26.0%,38.6%,26.0%,0.64,26.8%,52.4%,20.9%,1.0,0.8%,15.2,19%,40%,32%,cervefr01
Elias Diaz,27,277,.346,117,.302,.167,3.6%,14.4%,7.6%,90.1,43.1%,25.6%,44.7%,21.4%,0.81,21.4%,56.3%,22.3%,0.2,0.0%,8.4,27%,0%,41%,diazel01
Corey Dickerson,29,533,.350,118,.333,.175,2.4%,15.0%,3.9%,88.5,35.0%,30.6%,38.1%,22.9%,0.62,29.2%,48.4%,22.4%,-0.4,0.2%,-2.8,32%,73%,39%,dickeco01
Michael Feliz,25,2,.000,-137,.000,.000,0.0%,50.0%,0.0%,87.3,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-0.4,,,,felizmi01
Adam Frazier,26,352,.351,122,.305,.179,2.8%,15.1%,8.2%,88.2,33.1%,26.2%,47.9%,21.3%,0.93,33.3%,49.8%,16.9%,0.5,0.2%,8.5,38%,25%,41%,fraziad01
David Freese,35,265,.343,114,.330,.162,3.4%,21.1%,6.8%,90.7,47.7%,22.9%,53.7%,19.7%,1.16,19.7%,54.3%,26.1%,-0.3,0.1%,7.1,25%,,33%,freesda01
Tyler Glasnow,24,3,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.6,,,,glasnty01
Josh Harrison,30,374,.297,79,.286,.113,2.1%,18.2%,4.8%,85.4,28.7%,26.5%,36.7%,26.9%,0.60,29.7%,49.5%,20.8%,-0.6,0.2%,-3.2,33%,100%,50%,harrijo05
Adeiny Hechavarria,29,47,.301,83,.281,.163,2.1%,23.4%,6.4%,89.3,36.7%,27.3%,30.3%,39.4%,0.43,39.4%,42.4%,18.2%,-0.7,-0.1%,-3.9,8%,,0%,hechaad01
Clay Holmes,25,6,.000,-137,.000,.000,0.0%,33.3%,0.0%,87.3,0.0%,0.0%,50.0%,25.0%,2.00,0.0%,50.0%,50.0%,-0.1,0.0%,-1.9,,,100%,holmecl01
Jung Ho Kang,31,6,.300,82,.400,.000,0.0%,16.7%,0.0%,87.3,20.0%,40.0%,40.0%,20.0%,0.67,40.0%,20.0%,40.0%,0.0,0.0%,0.1,0%,,0%,kangju01
Nick Kingham,26,25,.143,-33,.154,.043,0.0%,40.0%,4.0%,76.7,0.0%,0.0%,69.2%,15.4%,3.00,30.8%,53.8%,15.4%,-0.1,-0.1%,-1.2,25%,,,kinghni01
Kevin Kramer,24,40,.147,-30,.278,.000,0.0%,50.0%,5.0%,93.2,38.9%,33.3%,11.1%,55.6%,0.13,27.8%,55.6%,16.7%,-0.5,0.0%,-5.1,63%,,80%,krameke01
Chad Kuhl,25,27,.162,-53,.188,.000,0.0%,18.5%,0.0%,72.3,7.7%,4.5%,50.0%,4.5%,3.67,9.1%,68.2%,22.7%,-0.4,-0.3%,-2.1,40%,,33%,kuhlch01
Ryan Lavarnway,30,6,.659,345,.800,.167,0.0%,16.7%,0.0%,95.7,60.0%,80.0%,20.0%,0.0%,0.25,0.0%,60.0%,40.0%,0.2,0.0%,1.8,25%,,,lavarry01
Jordan Luplow,24,103,.284,74,.197,.174,2.9%,17.5%,9.7%,86.2,27.7%,20.3%,41.9%,24.3%,0.74,27.0%,55.4%,17.6%,-1.3,-0.4%,-10.7,50%,50%,31%,luplojo01
Starling Marte,29,606,.352,119,.312,.182,3.3%,18.0%,5.8%,88.6,42.3%,20.5%,50.2%,21.6%,1.06,25.1%,56.2%,18.7%,2.4,0.6%,21.4,34%,70%,58%,martest01
Alex McRae,25,2,.000,-137,.000,.000,0.0%,0.0%,0.0%,85.6,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,,mcraeal01
Austin Meadows,23,165,.348,115,.345,.175,3.0%,21.2%,4.9%,88.4,44.2%,23.1%,42.1%,26.4%,0.73,27.3%,52.9%,19.8%,0.2,0.3%,2.0,22%,80%,46%,meadoau01
Jordy Mercer,31,436,.304,84,.306,.129,1.4%,20.0%,7.3%,87.8,33.7%,32.8%,38.6%,21.9%,0.63,29.6%,54.0%,16.4%,-1.3,-0.4%,-7.8,28%,100%,43%,mercejo03
Colin Moran,25,465,.331,106,.316,.130,2.4%,17.6%,8.4%,88.3,37.7%,31.2%,45.9%,17.6%,0.85,30.9%,49.4%,19.7%,1.4,0.3%,11.8,26%,0%,29%,moranco01
Max Moroff,25,67,.280,67,.250,.169,4.5%,35.8%,10.5%,83.9,35.3%,22.9%,34.3%,34.3%,0.55,40.0%,51.4%,8.6%,-0.1,-0.2%,-1.0,25%,,33%,morofma01
Joe Musgrove,25,35,.183,-17,.263,.032,0.0%,34.3%,0.0%,75.6,35.3%,8.7%,47.8%,17.4%,1.83,17.4%,43.5%,39.1%,-0.5,-0.1%,-5.0,33%,,50%,musgrjo01
Kevin Newman,24,97,.215,23,.275,.022,0.0%,23.7%,4.1%,83.4,17.9%,24.6%,55.1%,15.9%,1.23,14.5%,66.7%,18.8%,-0.6,0.0%,-7.5,27%,0%,50%,newmake01
Ivan Nova,31,56,.017,-138,.043,.000,0.0%,53.6%,0.0%,79.4,16.7%,15.4%,57.7%,3.8%,2.14,7.7%,57.7%,34.6%,-1.4,-0.7%,-15.1,100%,,0%,novaiv01
Jose Osuna,25,111,.293,77,.256,.170,2.7%,19.8%,2.7%,89.4,38.8%,27.1%,45.9%,20.0%,0.85,25.9%,43.5%,30.6%,-0.5,-0.3%,-5.3,44%,,67%,osunajo01
Gregory Polanco,26,535,.360,124,.287,.245,4.3%,21.9%,11.4%,89.2,40.9%,22.5%,33.3%,29.6%,0.51,37.6%,49.0%,13.4%,3.1,0.9%,23.4,33%,86%,49%,polangr01
Pablo Reyes,24,63,.364,135,.318,.190,4.8%,17.5%,7.9%,92.9,57.5%,23.4%,46.8%,19.1%,0.92,31.9%,48.9%,19.1%,0.3,0.0%,2.0,29%,0%,33%,reyespa01
Richard Rodriguez,28,2,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.7,,,,rodriri05
Sean Rodriguez,33,173,.266,56,.235,.147,2.9%,34.7%,12.7%,89.3,35.6%,23.3%,33.3%,27.8%,0.51,34.4%,44.4%,21.1%,-1.0,-0.5%,-5.3,35%,100%,43%,rodrise01
Enny Romero,27,1,1.254,780,1.000,1.000,0.0%,0.0%,0.0%,100.7,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.4,100%,,0%,romeren01
Casey Sadler,27,2,.000,-137,.000,.000,0.0%,50.0%,0.0%,88.4,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.9,,,,sadleca02
Jacob Stallings,28,41,.248,44,.276,.000,0.0%,22.0%,7.3%,90.5,38.5%,24.1%,51.7%,17.2%,1.07,20.7%,62.1%,17.2%,0.5,0.0%,0.0,18%,,75%,stallja01
Jameson Taillon,26,63,.080,-94,.114,.018,0.0%,34.9%,1.6%,80.0,23.5%,17.5%,55.0%,5.0%,2.00,10.0%,47.5%,42.5%,-1.1,-0.3%,-12.1,0%,,,taillja01
Felipe Vazquez,26,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,riverfe01
Trevor Williams,26,51,.126,-64,.167,.000,0.0%,25.5%,3.9%,81.1,7.7%,11.1%,58.3%,11.1%,2.63,13.9%,47.2%,38.9%,-0.7,-0.4%,-8.5,43%,,0%,willitr01
