--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Anthony Alford,27,4,.200,16,.500,.000,0.0%,50.0%,0.0%,82.9,0.0%,0.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,-0.1,0.0%,-0.6,0%,,,alforan01
Greg Allen,29,134,.254,48,.267,.085,1.5%,31.3%,7.5%,84.0,32.5%,17.5%,47.5%,22.5%,1.06,41.3%,42.5%,16.3%,-1.0,0.0%,-9.0,40%,80%,67%,allengr01
Miguel Andújar,27,40,.268,74,.273,.139,0.0%,12.5%,5.0%,85.5,39.4%,30.3%,36.4%,24.2%,0.57,24.2%,54.5%,21.2%,0.1,0.0%,-0.7,36%,0%,67%,andujmi01
Ji Hwan Bae,22,37,.410,152,.407,.091,0.0%,16.2%,5.4%,79.7,22.2%,22.2%,51.9%,11.1%,1.27,33.3%,37.0%,29.6%,0.3,0.0%,3.6,33%,100%,17%,baeji01
Diego Castillo,24,283,.287,79,.239,.176,3.9%,26.5%,5.0%,89.1,38.7%,20.4%,41.4%,34.0%,0.71,33.5%,51.3%,15.2%,-0.6,-0.5%,-6.3,28%,50%,46%,castidi02
Rodolfo Castro,23,278,.320,103,.284,.194,4.0%,26.6%,7.9%,86.5,35.2%,17.2%,49.4%,24.4%,1.01,31.7%,52.8%,15.6%,-0.9,-0.3%,-6.4,19%,63%,60%,castrro01
Yu Chang,26,49,.250,59,.261,.095,2.0%,36.7%,8.2%,89.2,29.2%,25.0%,29.2%,41.7%,0.41,16.7%,70.8%,12.5%,-0.5,-0.1%,-3.1,31%,0%,60%,changyu01
Michael Chavis,26,426,.281,74,.294,.160,3.3%,29.6%,4.5%,85.2,38.8%,24.4%,44.8%,21.9%,0.82,27.2%,58.1%,14.7%,-1.3,0.0%,-14.0,24%,50%,30%,chavimi01
Zack Collins,27,29,.103,-54,.063,.000,0.0%,34.5%,10.3%,89.2,43.8%,25.0%,43.8%,25.0%,0.78,50.0%,31.3%,18.8%,-0.5,0.0%,-4.7,50%,,0%,colliza01
Oneil Cruz,23,361,.324,104,.317,.218,4.7%,34.9%,7.8%,91.9,46.3%,21.4%,49.5%,22.8%,0.98,36.4%,50.0%,13.6%,-0.4,0.0%,7.0,32%,71%,72%,cruzon01
Jason Delay,27,167,.242,50,.308,.058,0.6%,29.9%,5.4%,84.5,28.3%,26.4%,40.6%,22.6%,0.69,22.6%,60.4%,17.0%,-0.3,0.0%,-6.1,37%,0%,21%,delayja01
Ben Gamel,30,423,.314,97,.291,.137,2.1%,23.2%,11.4%,88.1,37.9%,26.3%,42.0%,25.9%,0.74,33.6%,48.9%,17.5%,0.8,0.4%,8.5,26%,83%,32%,gamelbe01
José Godoy,27,17,.053,-90,.100,.000,0.0%,41.2%,0.0%,78.0,20.0%,30.0%,50.0%,10.0%,1.00,70.0%,20.0%,10.0%,-0.4,0.0%,-4.7,100%,,,godoyjo01
Ke'Bryan Hayes,25,560,.307,90,.307,.101,1.3%,21.8%,8.6%,91.0,47.2%,27.0%,49.6%,17.7%,0.98,13.0%,60.0%,27.0%,-0.6,0.4%,-11.1,28%,80%,33%,hayeske01
Tyler Heineman,31,158,.245,46,.233,.042,0.0%,8.2%,5.1%,79.4,13.6%,23.5%,31.8%,25.8%,0.52,28.0%,52.3%,19.7%,-1.4,-0.2%,-10.9,33%,100%,21%,heinety01
Andrew Knapp,30,35,.193,11,.182,.032,0.0%,25.7%,8.6%,83.2,27.3%,9.1%,59.1%,13.6%,1.63,45.5%,40.9%,13.6%,0.0,0.1%,-1.8,25%,,50%,knappan01
Bligh Madris,26,123,.231,39,.235,.088,0.8%,25.2%,8.1%,88.2,41.5%,19.5%,51.2%,23.2%,1.08,41.5%,35.4%,23.2%,-1.0,0.0%,-7.0,30%,67%,50%,madribl01
Tucupita Marcano,22,177,.246,48,.270,.100,1.1%,24.9%,5.7%,82.0,17.2%,20.5%,42.6%,23.8%,0.83,36.1%,50.8%,13.1%,-1.1,0.0%,-6.6,38%,67%,40%,marcatu01
Jake Marisnick,31,82,.305,91,.314,.156,2.4%,29.3%,4.9%,82.2,43.4%,22.2%,29.6%,27.8%,0.50,31.5%,50.0%,18.5%,-0.6,-0.4%,-4.1,33%,67%,63%,marisja01
Calvin Mitchell,23,232,.291,81,.276,.123,2.2%,22.4%,7.8%,89.6,40.7%,30.2%,45.7%,21.6%,0.85,40.7%,45.7%,13.6%,-1.5,-0.2%,-7.6,26%,75%,47%,mitchca01
Kevin Newman,28,309,.311,94,.322,.097,0.7%,15.5%,5.2%,85.0,27.4%,28.0%,42.4%,18.9%,0.76,27.6%,53.1%,19.3%,-0.4,0.1%,-2.3,31%,80%,65%,newmake01
Kevin Padlo,25,11,.000,-128,.000,.000,0.0%,9.1%,0.0%,85.3,20.0%,10.0%,50.0%,20.0%,1.00,40.0%,60.0%,0.0%,-0.3,0.0%,-3.9,,,,padloke01
Hoy Park,26,60,.298,82,.250,.157,3.3%,25.0%,6.7%,81.8,25.0%,10.0%,47.5%,32.5%,1.06,20.0%,52.5%,27.5%,0.2,0.0%,0.9,31%,100%,50%,parkho01
Liover Peguero,21,4,.398,158,1.000,.000,0.0%,50.0%,25.0%,106.7,100.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,0.3,0%,,,pegueli01
Michael Perez,29,116,.235,39,.133,.168,5.2%,22.4%,6.9%,89.0,39.0%,19.5%,34.1%,34.1%,0.53,35.4%,47.6%,17.1%,-0.1,0.0%,-7.4,11%,100%,100%,perezmi03
Roberto Perez,33,69,.317,100,.364,.133,2.9%,36.2%,13.0%,89.3,51.4%,22.9%,48.6%,28.6%,0.94,37.1%,54.3%,8.6%,0.0,0.0%,-0.2,29%,,31%,perezro02
Bryan Reynolds,27,614,.359,130,.306,.199,4.4%,23.0%,9.1%,90.2,42.9%,24.6%,43.7%,27.8%,0.78,31.5%,51.6%,16.9%,2.8,0.2%,14.2,25%,70%,43%,reynobr01
Canaan Smith-Njigba,23,7,.382,146,.200,.200,0.0%,0.0%,14.3%,93.3,80.0%,20.0%,60.0%,20.0%,1.50,40.0%,40.0%,20.0%,0.0,0.0%,-0.1,33%,,100%,smithca05
Jack Suwinski,23,372,.315,99,.242,.209,5.1%,30.7%,11.0%,88.3,40.6%,16.0%,43.2%,31.9%,0.76,39.0%,46.9%,14.1%,0.8,0.0%,-3.5,27%,67%,40%,suwinja01
Travis Swaggerty,24,9,.089,-64,.200,.000,0.0%,44.4%,0.0%,92.1,60.0%,0.0%,60.0%,40.0%,1.50,20.0%,80.0%,0.0%,-0.2,-0.1%,-1.7,0%,,,swaggtr01
Yoshi Tsutsugo,30,193,.225,34,.221,.059,1.0%,25.9%,9.8%,88.8,36.3%,22.6%,47.6%,23.4%,0.91,26.6%,56.5%,16.9%,-1.8,-0.5%,-17.7,20%,,18%,tsutsyo01
Cole Tucker,25,63,.178,-3,.289,.048,0.0%,39.7%,0.0%,82.4,23.7%,23.7%,47.4%,23.7%,0.90,23.7%,50.0%,26.3%,-0.5,-0.3%,-8.6,25%,100%,50%,tuckeco01
Josh VanMeter,27,192,.256,52,.232,.105,1.6%,23.4%,9.9%,87.6,33.6%,25.0%,38.3%,32.0%,0.63,28.9%,55.5%,15.6%,-0.6,-0.1%,-7.0,25%,100%,46%,vanmejo01
Daniel Vogelbach,29,278,.336,114,.264,.203,4.3%,24.1%,14.4%,90.4,44.7%,19.9%,40.4%,32.7%,0.68,32.7%,50.9%,16.4%,-0.1,-0.3%,2.5,21%,,27%,vogelda01
League Average,,,.318,100,.291,.155,2.9%,22.7%,8.5%,87.9,38.3%,23.4%,43.1%,25.8%,0.77,29.9%,51.8%,18.3%,,,,30%,75%,41%,-9999
Team Total,,5912,.295,83,.277,.141,2.7%,25.3%,8.1%,87.6,37.5%,23.1%,44.0%,25.1%,0.80,30.5%,52.0%,17.6%,-11.4,-2.1%,-119.9,27%,74%,42%,-9999
