--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Yonder Alonso,25,619,.334,111,.318,.120,1.5%,16.3%,10.0%,21.2%,45.5%,28.0%,0.84,28.0%,54.7%,17.2%,0.7,0.2%,8.3,18%,100%,29%,alonsyo01
Alexi Amarista,23,300,.298,85,.265,.145,1.7%,14.0%,5.7%,18.3%,47.7%,25.3%,0.99,19.1%,60.6%,20.3%,0.0,-0.1%,-1.5,37%,67%,57%,amarial01
John Baker,31,214,.293,82,.303,.041,0.0%,19.2%,9.4%,18.3%,51.0%,26.8%,1.07,23.5%,57.5%,19.0%,-0.6,-0.1%,-6.2,26%,67%,32%,bakerjo01
Jason Bartlett,32,98,.216,24,.193,.060,0.0%,27.6%,12.2%,6.8%,47.5%,37.3%,1.04,37.3%,50.8%,11.9%,-1.3,-0.4%,-11.5,33%,,67%,bartlja01
Anthony Bass,24,31,.173,-12,.222,.065,0.0%,41.9%,0.0%,11.1%,77.8%,0.0%,7.00,16.7%,61.1%,22.2%,0.1,0.0%,-1.7,60%,100%,75%,bassan01
Kyle Blanks,25,6,.250,50,.333,.000,0.0%,33.3%,16.7%,0.0%,33.3%,66.7%,0.50,33.3%,33.3%,33.3%,0.0,0.0%,-0.2,0%,,,blankky01
Brad Boxberger,24,2,.000,-367,,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.3,,,,boxbebr01
Cory Burns,24,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,burnsco01
Everth Cabrera,25,449,.319,87,.336,.078,0.5%,24.5%,9.6%,16.4%,56.0%,15.4%,1.58,24.6%,58.0%,17.4%,0.0,-0.1%,-8.9,33%,92%,67%,cabreev01
Andrew Cashner,25,8,.187,4,.200,.000,0.0%,25.0%,12.5%,0.0%,80.0%,0.0%,,20.0%,60.0%,20.0%,-0.1,0.0%,-1.0,0%,,,cashnan01
James Darnell,25,19,.343,119,.214,.235,5.3%,10.5%,10.5%,6.7%,40.0%,46.7%,0.67,33.3%,60.0%,6.7%,-0.2,0.0%,-1.5,0%,,100%,darneja01
Chris Denorfia,31,382,.354,126,.323,.158,2.1%,13.6%,7.1%,16.9%,59.5%,19.6%,1.52,22.3%,56.5%,21.3%,-0.1,0.2%,6.8,39%,72%,43%,denorch01
Logan Forsythe,25,350,.335,111,.316,.117,1.7%,16.3%,8.0%,23.9%,37.8%,32.4%,0.61,25.9%,56.0%,18.1%,1.2,0.0%,2.7,34%,80%,53%,forsylo01
Yasmani Grandal,23,226,.385,150,.333,.172,3.5%,17.3%,13.7%,19.4%,51.6%,22.6%,1.07,19.4%,60.0%,20.6%,2.4,0.0%,16.7,25%,,19%,grandya01
Luke Gregerson,28,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,gregelu01
