--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Alexi Amarista,27,150,.261,46,.313,.014,0.0%,17.3%,5.3%,87.4,28.0%,27.6%,47.4%,17.2%,0.92,31.0%,54.0%,15.0%,-0.5,-0.2%,-6.2,19%,82%,22%,amarial01
Oswaldo Arcia,25,45,.186,-1,.111,.163,4.4%,31.1%,4.4%,86.8,32.1%,20.7%,55.2%,20.7%,1.23,55.2%,31.0%,13.8%,-0.4,0.0%,-4.6,0%,,100%,arciaos01
Carlos Asuaje,24,25,.236,34,.250,.083,0.0%,16.0%,4.0%,86.7,27.8%,25.0%,35.0%,25.0%,0.54,25.0%,60.0%,15.0%,-0.2,0.0%,-0.1,33%,,50%,asuajca01
Christian Bethancourt,24,204,.279,68,.288,.140,2.9%,27.5%,4.9%,89.0,43.4%,23.2%,46.4%,21.7%,0.86,23.4%,59.1%,17.5%,-0.7,0.0%,-1.9,29%,33%,46%,bethach01
Jabari Blash,26,84,.287,69,.265,.155,3.6%,40.5%,13.1%,82.2,29.4%,24.3%,48.6%,16.2%,0.95,29.7%,54.1%,16.2%,-0.8,-0.2%,-5.5,18%,100%,57%,blashja01
Andrew Cashner,29,22,.195,-4,.250,.000,0.0%,27.3%,9.1%,68.7,0.0%,7.1%,35.7%,7.1%,2.50,23.1%,38.5%,38.5%,-0.2,-0.1%,-2.0,40%,,50%,cashnan01
Paul Clemens,28,21,.035,-121,.000,.000,0.0%,42.9%,4.8%,78.9,12.5%,0.0%,63.6%,0.0%,7.00,18.2%,63.6%,18.2%,-0.5,0.0%,-5.1,100%,,0%,clemepa02
Jarred Cosart,26,11,.180,-16,.167,.000,0.0%,36.4%,0.0%,76.1,0.0%,14.3%,71.4%,0.0%,5.00,28.6%,28.6%,42.9%,-0.1,0.0%,-0.8,100%,,0%,cosarja01
Alex Dickerson,26,285,.351,116,.274,.198,3.5%,15.4%,9.1%,89.4,43.5%,27.5%,37.4%,22.3%,0.60,37.0%,44.5%,18.5%,0.4,-0.1%,7.6,34%,83%,44%,dickeal01
Robbie Erlin,25,6,.000,-136,.000,.000,0.0%,50.0%,0.0%,87.3,0.0%,33.3%,33.3%,33.3%,0.50,0.0%,66.7%,33.3%,-0.1,-0.1%,-1.2,,,,erlinro01
