--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Dustin Ackley,24,668,.288,79,.265,.102,1.8%,18.6%,8.8%,19.4%,44.9%,25.4%,0.82,27.4%,55.3%,17.3%,-2.1,-0.2%,-4.6,39%,81%,37%,ackledu01
Blake Beavan,23,3,.000,-244,.000,.000,0.0%,33.3%,0.0%,50.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.5,,,,beavabl01
Mike Carp,26,189,.298,88,.263,.128,2.7%,24.3%,11.1%,21.0%,49.6%,20.2%,0.98,26.9%,58.0%,15.1%,-0.8,-0.3%,-5.7,22%,100%,36%,carpmi01
Chone Figgins,34,194,.254,53,.237,.090,1.0%,24.7%,9.8%,19.7%,35.4%,25.2%,0.65,26.0%,50.4%,23.6%,-1.0,-0.5%,-8.0,28%,80%,50%,figgich01
Franklin Gutierrez,29,163,.328,110,.302,.160,2.5%,19.0%,5.5%,20.7%,43.8%,22.3%,0.80,38.8%,47.9%,13.2%,-0.1,0.0%,4.2,30%,75%,50%,gutiefr01
Félix Hernández,26,3,.415,175,.500,.333,0.0%,33.3%,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,0.2,0.0%,1.2,0%,,,hernafe02
John Jaso,28,361,.381,148,.298,.180,2.8%,14.1%,15.5%,22.1%,46.2%,26.9%,0.86,30.1%,55.8%,14.1%,3.4,0.7%,26.1,24%,100%,56%,jasojo01
Luis Jimenez,30,18,.088,-65,.077,.000,0.0%,22.2%,5.6%,7.7%,69.2%,23.1%,2.25,30.8%,61.5%,7.7%,-0.6,0.0%,-4.1,0%,,0%,jimenlu01
Munenori Kawasaki,31,115,.232,43,.233,.010,0.0%,15.7%,7.0%,11.4%,54.5%,15.9%,1.55,21.6%,53.4%,25.0%,-0.4,-0.1%,-6.2,27%,50%,60%,kawasmu01
Alex Liddi,23,126,.275,72,.354,.129,2.4%,38.9%,7.1%,16.2%,36.8%,36.8%,0.61,23.5%,60.3%,16.2%,-0.7,-0.2%,-4.7,16%,67%,20%,liddial01
Kevin Millwood,37,5,.000,-129,.000,.000,0.0%,80.0%,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,-0.1,0.0%,-1.0,,,,millwke01
Jesus Montero,22,553,.301,92,.292,.126,2.7%,17.9%,5.2%,22.9%,42.8%,28.6%,0.75,23.6%,56.7%,19.6%,-2.1,-0.3%,-11.3,21%,0%,22%,monteje01
Hector Noesí,25,4,.449,199,1.000,.000,0.0%,50.0%,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.3,0%,,0%,noesihe01
Miguel Olivo,33,323,.281,82,.266,.159,3.7%,26.3%,2.2%,17.7%,40.7%,27.7%,0.70,29.0%,53.7%,17.3%,-1.7,-0.2%,-11.7,23%,33%,38%,olivomi01
Carlos Peguero,25,57,.247,52,.308,.179,3.5%,49.1%,1.8%,21.4%,42.9%,21.4%,0.75,32.1%,50.0%,17.9%,0.2,0.0%,-3.9,0%,,,pegueca01
