--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Tyler Anderson,31,3,.231,42,,.000,0.0%,66.7%,33.3%,,,,,,,,,,0.0,0.0%,0.0,0%,,,anderty01
Jake Bauers,25,202,.272,66,.295,.055,1.0%,25.3%,8.9%,86.7,35.4%,24.4%,32.8%,32.1%,0.49,31.3%,59.5%,9.2%,-0.7,-0.4%,-12.4,31%,100%,18%,bauerja01
Braden Bishop,27,5,.199,0,.500,.000,0.0%,40.0%,0.0%,52.9,33.3%,0.0%,33.3%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,50%,,0%,bishobr01
Eric Campbell,34,12,.281,77,.300,.000,0.0%,8.3%,8.3%,83.9,20.0%,30.0%,40.0%,30.0%,0.67,30.0%,40.0%,30.0%,-0.1,-0.1%,-1.3,25%,,100%,campber01
J.P. Crawford,26,687,.312,102,.320,.103,1.3%,16.6%,8.4%,85.6,30.7%,28.6%,45.7%,17.8%,0.86,22.0%,59.0%,19.0%,1.3,0.5%,-3.1,36%,33%,29%,crawfjp01
Justin Dunn,25,3,.411,169,1.000,.333,0.0%,66.7%,0.0%,95.1,100.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,0.1,0.0%,0.7,0%,,,dunnju01
Chris Flexen,26,3,.000,-121,.000,.000,0.0%,0.0%,0.0%,79.5,0.0%,33.3%,0.0%,33.3%,0.00,33.3%,66.7%,0.0%,0.0,0.0%,-0.5,,,,flexech01
Jake Fraley,26,265,.336,113,.265,.159,3.4%,26.8%,17.4%,84.9,33.6%,28.8%,39.0%,27.4%,0.65,32.2%,52.1%,15.8%,0.8,0.6%,8.6,21%,83%,36%,fraleja01
Ty France,26,650,.360,134,.327,.154,2.8%,16.3%,7.1%,88.5,38.9%,26.5%,46.7%,21.7%,0.88,25.3%,56.9%,17.8%,1.9,0.5%,17.8,30%,,43%,francty01
José Godoy,26,40,.194,16,.261,.027,0.0%,35.0%,7.5%,86.2,34.8%,17.4%,47.8%,30.4%,0.92,30.4%,60.9%,8.7%,-0.5,-0.3%,-3.2,22%,,100%,godoyjo01
Marco Gonzales,29,4,.000,-121,.000,.000,0.0%,50.0%,0.0%,62.3,50.0%,50.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.5,,,,gonzama02
Sam Haggerty,27,94,.254,53,.250,.105,2.1%,29.8%,6.4%,85.4,39.0%,20.3%,49.2%,20.3%,1.04,32.2%,54.2%,13.6%,-0.3,-0.2%,-7.9,57%,83%,17%,haggesa01
Mitch Haniger,30,691,.349,125,.281,.232,5.6%,24.5%,7.8%,89.3,45.1%,19.6%,43.1%,29.4%,0.76,34.9%,51.6%,13.5%,2.3,2.3%,29.5,39%,100%,34%,hanigmi01
Jarred Kelenic,21,377,.267,69,.216,.169,3.7%,28.1%,9.6%,87.3,39.4%,18.5%,43.5%,31.5%,0.78,30.6%,53.4%,15.9%,-0.2,-0.3%,-14.6,31%,60%,39%,kelenja01
Yusei Kikuchi,30,2,.000,-121,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,kikucyu01
Kyle Lewis,25,147,.327,107,.307,.146,3.4%,25.2%,10.9%,89.7,37.6%,26.9%,33.3%,34.4%,0.50,32.3%,41.9%,25.8%,-0.4,-0.3%,-1.0,23%,100%,31%,lewisky01
Shed Long Jr.,25,121,.277,73,.265,.162,3.3%,32.2%,7.4%,86.3,35.6%,16.4%,61.6%,17.8%,1.73,26.0%,56.2%,17.8%,0.2,0.0%,-4.2,33%,100%,27%,longsh01
José Marmolejos,28,122,.256,60,.203,.151,3.3%,32.0%,12.3%,89.4,35.3%,25.0%,29.4%,30.9%,0.42,29.4%,50.0%,20.6%,-0.3,-0.2%,-6.8,25%,,30%,marmojo01
Jack Mayfield,30,35,.177,4,.250,.029,0.0%,28.6%,2.9%,81.4,20.8%,12.5%,45.8%,25.0%,0.92,20.8%,62.5%,16.7%,-0.5,-0.3%,-4.4,29%,,33%,mayfija01
Darren McCaughan,25,2,.000,-121,.000,.000,0.0%,0.0%,0.0%,77.2,0.0%,0.0%,100.0%,0.0%,,50.0%,0.0%,50.0%,0.0,0.0%,-0.5,,,,mccauda01
Dylan Moore,28,377,.276,70,.229,.154,3.2%,29.4%,10.6%,85.4,33.3%,23.0%,30.6%,31.5%,0.45,24.8%,58.1%,17.1%,0.1,-0.1%,-8.2,32%,81%,46%,mooredy01
Tom Murphy,30,325,.290,84,.265,.148,3.4%,30.5%,12.3%,88.6,38.1%,16.0%,44.2%,27.6%,0.79,35.4%,50.3%,14.4%,-0.8,-0.6%,-7.4,27%,,39%,murphto04
Jacob Nottingham,26,31,.213,29,.143,.115,3.2%,38.7%,6.5%,86.8,26.7%,33.3%,13.3%,40.0%,0.15,33.3%,46.7%,20.0%,-0.2,-0.1%,-3.9,33%,,0%,nottija01
Kevin Padlo,24,1,.000,-121,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.4,,,,padloke01
Cal Raleigh,24,148,.229,41,.267,.129,1.4%,35.1%,4.7%,88.0,35.2%,28.4%,36.4%,21.6%,0.57,40.9%,45.5%,13.6%,-1.4,-1.0%,-13.2,13%,,25%,raleica01
Kyle Seager,33,670,.309,97,.226,.226,5.2%,24.0%,8.8%,88.7,40.1%,19.7%,32.7%,37.9%,0.49,32.5%,50.7%,16.8%,1.7,0.8%,15.3,24%,75%,30%,seageky01
Justus Sheffield,25,2,.446,194,1.000,.000,0.0%,50.0%,0.0%,98.0,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.1,0%,,,sheffju01
Dillon Thomas,28,9,.099,-51,.500,.000,0.0%,77.8%,0.0%,91.9,50.0%,50.0%,0.0%,50.0%,0.00,0.0%,100.0%,0.0%,0.1,0.0%,0.2,200%,,100%,thomadi01
Abraham Toro,24,253,.312,100,.275,.115,2.0%,13.0%,8.7%,87.2,35.9%,19.6%,40.2%,36.6%,0.67,24.2%,56.2%,19.6%,-0.6,-0.5%,-0.3,30%,60%,35%,toroab01
Luis Torrens,25,378,.314,101,.294,.188,4.0%,26.2%,7.4%,90.7,43.4%,21.6%,52.0%,22.0%,1.09,20.8%,63.6%,15.6%,0.6,0.3%,1.2,25%,,31%,torrelu01
Taylor Trammell,23,178,.266,71,.233,.199,4.5%,42.1%,9.6%,84.7,37.3%,19.3%,41.0%,21.7%,0.72,45.8%,38.6%,15.7%,-0.3,-0.2%,-9.9,40%,40%,31%,trammta01
Donovan Walton,27,69,.279,73,.239,.159,2.9%,21.7%,5.8%,84.0,22.0%,22.0%,46.0%,22.0%,0.96,38.0%,38.0%,24.0%,0.0,0.1%,-0.9,24%,100%,0%,waltodo01
Evan White,25,104,.198,19,.188,.093,1.9%,29.8%,5.8%,85.2,28.8%,19.7%,43.9%,24.2%,0.78,30.3%,50.0%,19.7%,-0.9,-0.5%,-9.4,32%,,29%,whiteev01
League Average,,,.320,99,.290,.168,3.3%,23.0%,8.5%,88.4,39.3%,23.8%,42.5%,25.8%,0.75,28.7%,53.6%,17.7%,,,,31%,77%,40%,-9999
Team Total,,6010,.304,93,.273,.159,3.3%,24.8%,8.9%,87.5,37.3%,22.7%,41.7%,27.3%,0.72,29.1%,54.2%,16.7%,1.5,0.0%,-42.3,31%,73%,34%,-9999
