--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jeremy Affeldt,32,2,.348,123,,.000,0.0%,50.0%,50.0%,,,,,,,,0.0,0.0%,-0.1,0%,,,affelje01
Brandon Belt,23,209,.329,109,.273,.187,4.3%,27.3%,9.6%,16.9%,42.3%,33.1%,0.73,27.7%,50.8%,21.5%,0.3,0.3%,2.7,21%,60%,50%,beltbr01
Carlos Beltran,34,179,.396,161,.353,.228,3.9%,15.1%,6.2%,19.3%,46.4%,27.1%,0.87,40.7%,50.7%,8.6%,0.4,0.0%,3.1,17%,33%,40%,beltrca01
Madison Bumgarner,21,75,.191,-10,.171,.068,0.0%,24.0%,6.7%,5.8%,44.2%,25.0%,1.35,15.4%,71.2%,13.5%,-0.9,-0.7%,-10.0,42%,,50%,bumgama01
Pat Burrell,34,219,.344,119,.318,.175,3.2%,30.6%,15.1%,18.8%,35.9%,30.8%,0.56,35.9%,55.6%,8.5%,0.0,0.3%,1.2,14%,,29%,burrepa01
Emmanuel Burriss,26,152,.248,40,.233,.007,0.0%,11.2%,4.0%,10.3%,53.2%,19.0%,1.60,31.7%,54.0%,14.3%,0.2,0.2%,-4.3,27%,79%,55%,burriem01
Orlando Cabrera,36,133,.244,48,.243,.048,0.8%,12.8%,3.0%,14.3%,51.8%,26.8%,1.09,34.8%,50.9%,14.3%,-0.5,-0.6%,-5.8,10%,50%,17%,cabreor01
Matt Cain,26,78,.194,-3,.222,.061,1.3%,38.5%,3.9%,15.6%,31.1%,26.7%,0.64,22.2%,57.8%,20.0%,-0.5,-0.4%,-7.8,33%,,33%,cainma01
Santiago Casilla,30,1,.697,381,,,0.0%,0.0%,100.0%,,,,,,,,0.0,0.0%,0.1,0%,,,garcija01
Justin Christian,31,51,.313,100,.308,.106,0.0%,15.7%,3.9%,12.2%,41.5%,17.1%,0.81,26.8%,61.0%,12.2%,0.1,0.0%,1.5,38%,60%,100%,chrisju01
Brandon Crawford,24,220,.263,63,.228,.092,1.4%,14.1%,10.5%,15.1%,51.2%,25.3%,1.08,22.9%,58.4%,18.7%,-0.7,-0.6%,-1.6,31%,25%,38%,crawfbr01
Mark DeRosa,36,97,.315,100,.348,.023,0.0%,18.6%,8.3%,23.2%,58.0%,17.4%,1.38,17.4%,71.0%,11.6%,0.2,-0.2%,-1.0,27%,50%,50%,derosma01
Steve Edlefsen,26,1,.000,-136,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,edlefst01
Mike Fontenot,31,252,.300,84,.267,.150,1.6%,19.1%,9.9%,19.1%,39.3%,36.0%,0.66,25.3%,53.9%,20.8%,-0.9,-1.2%,-6.2,25%,83%,47%,fontemi01
