--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Tony Abreu,28,147,.317,106,.337,.174,1.4%,22.5%,4.1%,29.0%,45.8%,17.8%,0.86,31.8%,44.9%,23.4%,-0.2,0.1%,-3.8,45%,0%,38%,abreuto01
Ehire Adrianza,23,20,.310,96,.250,.222,5.0%,25.0%,5.0%,14.3%,42.9%,21.4%,1.00,14.3%,64.3%,21.4%,-0.1,0.0%,-0.6,33%,,33%,adriaeh01
Joaquin Arias,28,236,.282,73,.311,.071,0.4%,14.0%,1.7%,22.7%,51.0%,21.2%,1.09,23.7%,59.6%,16.7%,-0.5,-0.1%,-5.6,24%,100%,52%,ariasjo01
Brandon Belt,25,571,.373,143,.351,.193,3.0%,21.9%,9.1%,27.3%,34.3%,30.2%,0.52,32.2%,50.8%,17.0%,3.6,1.4%,27.1,31%,71%,35%,beltbr01
Gregor Blanco,29,511,.314,100,.328,.084,0.6%,18.6%,10.2%,27.8%,42.7%,20.1%,0.79,26.2%,54.5%,19.3%,0.4,0.6%,-3.7,28%,61%,56%,blancgr01
Madison Bumgarner,23,69,.142,-46,.222,.000,0.0%,43.5%,7.3%,23.5%,32.4%,11.8%,0.79,17.6%,58.8%,23.5%,-1.1,-0.5%,-8.9,27%,,75%,bumgama01
Matt Cain,28,64,.106,-87,.167,.000,0.0%,34.4%,3.1%,12.5%,40.0%,20.0%,1.14,15.0%,65.0%,20.0%,-0.9,-0.4%,-8.8,0%,,0%,cainma01
Brandon Crawford,26,550,.301,90,.290,.114,1.6%,17.5%,7.6%,21.1%,48.6%,20.1%,0.97,25.3%,58.0%,16.7%,-1.0,-0.1%,-6.9,26%,33%,33%,crawfbr01
Jeff Francoeur,29,63,.211,18,.240,.032,0.0%,19.1%,1.6%,24.0%,50.0%,20.0%,1.00,14.0%,66.0%,20.0%,-0.4,0.0%,-5.5,8%,100%,25%,francje02
Chad Gaudin,30,29,.118,-59,.091,.000,0.0%,48.3%,6.9%,0.0%,76.9%,0.0%,10.00,23.1%,30.8%,46.2%,-0.5,-0.2%,-4.8,0%,,,gaudich01
Cole Gillespie,29,10,.000,-164,.000,.000,0.0%,0.0%,10.0%,22.2%,44.4%,33.3%,0.80,33.3%,66.7%,0.0%,-0.3,-0.1%,-2.4,0%,,,gilleco01
Mike Kickham,24,6,.213,22,.200,.167,0.0%,16.7%,0.0%,40.0%,40.0%,0.0%,0.67,40.0%,40.0%,20.0%,-0.1,0.0%,-0.6,0%,,,kickhmi01
Roger Kieschnick,26,95,.248,48,.309,.024,0.0%,30.5%,11.6%,23.6%,45.5%,20.0%,0.83,25.5%,61.8%,12.7%,-0.4,0.0%,-6.2,21%,,0%,kiescro01
George Kontos,28,2,.000,-375,,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,,kontoge01
Tim Lincecum,29,67,.137,-50,.261,.035,0.0%,50.8%,4.5%,16.7%,50.0%,3.3%,2.14,13.3%,56.7%,30.0%,-1.0,-0.5%,-11.9,33%,,0%,linceti01
Jean Machi,31,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,machije01
Johnny Monell,27,9,.282,75,.200,.000,0.0%,33.3%,0.0%,20.0%,60.0%,20.0%,1.50,20.0%,60.0%,20.0%,0.0,0.0%,0.4,100%,,50%,moneljo01
Guillermo Moscoso,29,3,.000,-256,.000,.000,0.0%,33.3%,0.0%,0.0%,50.0%,0.0%,,0.0%,50.0%,50.0%,-0.1,0.0%,-0.9,,,,moscogu01
Nick Noonan,24,111,.217,24,.284,.019,0.0%,21.6%,5.4%,30.9%,37.0%,22.2%,0.61,18.5%,69.1%,12.3%,-0.4,-0.2%,-6.3,40%,,33%,noonani01
