--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Cristhian Adames,27,24,.327,99,.500,.045,0.0%,33.3%,8.3%,85.6,30.8%,21.4%,64.3%,14.3%,1.80,28.6%,64.3%,7.1%,-0.3,0.0%,0.0,10%,,100%,adamecr01
Aaron Altherr,28,1,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,altheaa01
Shaun Anderson,24,28,.109,-69,.333,.040,0.0%,67.9%,0.0%,78.4,16.7%,12.5%,37.5%,12.5%,1.00,12.5%,25.0%,62.5%,-0.5,-0.1%,-4.8,0%,,,andersh01
Tyler Austin,27,147,.299,78,.246,.215,5.4%,38.8%,11.6%,91.8,51.5%,20.5%,42.5%,34.2%,0.76,16.4%,60.3%,23.3%,0.1,0.1%,2.2,49%,100%,75%,austity01
Abiatal Avelino,24,8,.308,86,.500,.000,0.0%,37.5%,12.5%,83.8,25.0%,25.0%,75.0%,0.0%,3.00,25.0%,50.0%,25.0%,0.0,0.0%,-0.3,0%,,0%,aveliab01
Tyler Beede,26,43,.137,-43,.267,.000,0.0%,53.5%,7.0%,81.7,6.7%,11.8%,52.9%,17.6%,1.50,11.8%,64.7%,23.5%,-0.6,-0.1%,-7.3,29%,,0%,beedety01
Brandon Belt,31,616,.322,97,.275,.169,2.8%,20.6%,13.5%,86.9,37.8%,27.0%,28.3%,33.5%,0.40,32.5%,48.9%,18.6%,-0.6,-0.4%,1.8,31%,57%,30%,beltbr01
Ty Blach,28,1,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,blachty01
Madison Bumgarner,29,76,.213,13,.286,.095,2.6%,52.6%,11.8%,88.9,56.5%,18.5%,33.3%,25.9%,0.64,44.4%,33.3%,22.2%,-1.0,-0.3%,-9.1,13%,,0%,bumgama01
Brandon Crawford,32,560,.289,73,.274,.122,2.0%,20.9%,9.5%,88.0,38.4%,26.9%,48.6%,18.9%,0.96,32.3%,51.4%,16.3%,-1.6,-0.7%,-7.9,30%,60%,42%,crawfbr01
