--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Bryan Augenstein,24,1,.910,532,1.000,.000,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.4,0%,,100%,augenbr01
Lance Berkman,35,587,.412,168,.315,.246,5.3%,15.8%,15.7%,21.6%,39.3%,30.6%,0.65,28.2%,54.9%,16.9%,5.7,4.5%,53.4,28%,25%,38%,berkmla01
Mitchell Boggs,27,2,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.8,,,,boggsmi01
Andrew Brown,26,22,.182,-8,.286,.045,0.0%,36.4%,0.0%,28.6%,50.0%,21.4%,1.00,28.6%,50.0%,21.4%,0.1,0.0%,-0.4,25%,,100%,brownan02
Chris Carpenter,36,82,.171,-30,.239,.042,0.0%,30.5%,2.4%,16.4%,30.9%,27.3%,0.61,16.4%,60.0%,23.6%,-1.0,-0.7%,-8.2,15%,,100%,carpech01
Matt Carpenter,25,19,.214,16,.091,.067,0.0%,21.1%,21.1%,9.1%,45.5%,36.4%,0.83,18.2%,45.5%,36.4%,-0.3,-0.3%,-2.2,0%,,,carpema01
Adron Chambers,24,8,.429,176,.429,.250,0.0%,12.5%,0.0%,42.9%,28.6%,14.3%,0.40,28.6%,57.1%,14.3%,0.6,0.3%,3.5,22%,,0%,chambad01
Maikel Cleto,22,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,cletoma01
Allen Craig,26,219,.407,155,.344,.240,5.0%,18.3%,6.9%,13.5%,47.2%,33.1%,0.91,27.6%,55.2%,17.2%,1.2,1.6%,16.6,32%,100%,46%,craigal01
Tony Cruz,24,72,.307,90,.327,.077,0.0%,18.1%,8.3%,17.3%,46.2%,26.9%,0.86,19.2%,57.7%,23.1%,0.1,0.1%,-1.7,32%,0%,43%,cruzto03
Daniel Descalso,24,375,.318,94,.323,.089,0.3%,17.3%,8.8%,17.9%,45.6%,24.5%,0.93,27.8%,54.9%,17.2%,1.5,1.3%,-0.7,26%,50%,49%,descada01
Brandon Dickson,26,3,.573,282,1.000,.000,0.0%,33.3%,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,0.4,100%,,33%,dicksbr01
Octavio Dotel,37,2,.000,-142,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.6,,,,doteloc01
Ryan Franklin,38,2,.000,-142,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.6,,,,frankry01
David Freese,28,363,.356,121,.356,.144,2.8%,20.7%,6.6%,22.3%,53.1%,23.5%,1.13,17.1%,61.9%,21.0%,0.6,1.2%,10.3,27%,100%,37%,freesda01
Rafael Furcal,33,217,.336,107,.250,.163,3.2%,8.3%,7.8%,16.0%,52.5%,21.0%,1.23,32.0%,48.1%,19.9%,0.4,0.0%,-2.2,36%,67%,50%,furcara02
Jaime Garcia,24,68,.131,-57,.116,.048,1.5%,26.5%,1.5%,10.2%,63.3%,14.3%,2.58,22.4%,59.2%,18.4%,-0.6,-0.4%,-9.1,33%,,25%,garcija02
Tyler Greene,27,121,.332,86,.292,.077,0.8%,25.6%,10.7%,23.3%,49.3%,15.1%,1.06,26.8%,56.3%,16.9%,-0.8,-0.8%,-1.9,45%,100%,56%,greenty02
Mark Hamilton,26,51,.268,57,.323,.064,0.0%,31.4%,7.8%,12.9%,48.4%,32.3%,0.94,23.3%,46.7%,30.0%,0.0,0.0%,-1.6,36%,,50%,hamilma01
Matt Holliday,31,516,.400,155,.330,.229,4.3%,18.0%,11.6%,22.5%,46.2%,25.6%,0.86,27.6%,55.1%,17.3%,3.0,3.1%,27.5,34%,67%,49%,hollima01
Edwin Jackson,27,30,.256,58,.421,.000,0.0%,26.7%,3.3%,14.3%,42.9%,19.0%,0.90,9.5%,66.7%,23.8%,-0.4,-0.3%,-4.0,22%,0%,100%,jacksed01
Jon Jay,26,503,.338,111,.340,.127,2.0%,16.1%,5.6%,19.4%,53.2%,19.1%,1.23,23.8%,55.3%,20.9%,-0.5,-0.8%,-2.6,28%,46%,50%,jayjo02
Pete Kozma,23,22,.280,64,.231,.059,0.0%,18.2%,18.2%,14.3%,50.0%,0.0%,1.17,35.7%,50.0%,14.3%,-0.2,-0.1%,-1.7,22%,,50%,kozmape01
Gerald Laird,31,108,.280,65,.276,.126,0.9%,17.6%,8.3%,11.4%,36.7%,32.9%,0.64,27.6%,51.3%,21.1%,0.1,0.4%,-2.2,31%,50%,60%,lairdge01
Kyle Lohse,32,70,.175,-23,.239,.032,0.0%,24.3%,1.4%,19.2%,57.7%,3.8%,2.14,28.8%,53.8%,17.3%,-0.5,-0.4%,-6.6,21%,,20%,lohseky01
Lance Lynn,24,5,.139,-39,.000,.000,0.0%,20.0%,20.0%,0.0%,33.3%,0.0%,1.00,33.3%,0.0%,66.7%,-0.1,-0.1%,-1.0,0%,,0%,lynnla01
Kyle McClellan,27,41,.181,-23,.217,.029,0.0%,29.3%,2.4%,10.7%,50.0%,10.7%,2.33,3.8%,53.8%,42.3%,-0.4,-0.4%,-5.1,43%,,14%,mccleky01
Yadier Molina,28,518,.356,124,.311,.160,2.7%,8.5%,6.4%,18.4%,45.0%,28.4%,0.84,22.7%,57.3%,20.0%,2.5,2.0%,16.5,25%,44%,33%,molinya01
Jason Motte,29,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.5,,,,motteja01
Corey Patterson,31,56,.212,18,.205,.078,0.0%,21.4%,3.6%,16.7%,47.6%,19.0%,1.25,45.2%,47.6%,7.1%,-0.5,0.0%,-3.3,42%,0%,43%,patteco01
Albert Pujols,31,651,.395,150,.277,.242,5.7%,8.9%,9.4%,19.3%,44.9%,29.9%,0.81,29.5%,57.3%,13.1%,4.7,4.1%,32.4,34%,90%,44%,pujolal01
Nick Punto,33,166,.364,131,.319,.143,0.6%,12.7%,15.1%,25.0%,43.3%,21.7%,0.85,20.0%,55.0%,25.0%,0.9,0.7%,6.3,32%,50%,38%,puntoni01
Colby Rasmus,24,386,.335,106,.286,.175,2.9%,20.0%,11.7%,21.2%,35.2%,28.8%,0.56,38.5%,47.7%,13.7%,-0.2,-0.5%,8.2,43%,71%,46%,rasmuco01
Shane Robinson,26,8,.087,-78,.000,.000,0.0%,25.0%,12.5%,0.0%,80.0%,20.0%,4.00,0.0%,100.0%,0.0%,-0.3,-0.1%,-2.2,0%,,,robinsh01
Fernando Salas,26,1,.000,-142,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,salasfe01
Eduardo Sanchez,22,2,.000,-142,.000,.000,0.0%,50.0%,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.5,,,,sanched01
Skip Schumaker,31,400,.311,90,.321,.068,0.5%,12.5%,6.8%,22.4%,51.7%,21.5%,1.09,20.6%,61.7%,17.8%,0.2,0.4%,2.4,24%,0%,37%,schumsk01
Ryan Theriot,31,483,.302,85,.296,.070,0.2%,8.5%,6.0%,20.5%,49.9%,24.0%,1.04,19.1%,58.9%,22.0%,-0.6,-1.0%,-10.0,30%,40%,47%,theriry01
Jake Westbrook,33,60,.187,-24,.174,.106,1.7%,38.3%,5.0%,17.6%,32.4%,11.8%,0.85,23.5%,64.7%,11.8%,-0.4,-0.5%,-3.3,13%,,50%,westbja01
League Average,,,.323,94,.296,.138,2.3%,19.1%,8.1%,18.6%,44.1%,27.4%,0.83,27.5%,55.2%,17.3%,,,,29%,73%,41%,-9999
Team Total,,6242,.342,112,.305,.151,2.6%,15.7%,8.7%,19.6%,46.6%,25.1%,0.92,25.4%,56.1%,18.5%,14.8,13.4%,104.9,30%,59%,43%,-9999
