--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Nolan Arenado,31,620,.381,152,.290,.241,4.8%,11.6%,8.4%,88.7,38.9%,26.2%,30.5%,29.0%,0.44,35.2%,50.1%,14.7%,2.4,1.2%,29.3,22%,63%,48%,arenano01
Harrison Bader,28,264,.316,98,.297,.114,1.9%,17.8%,4.9%,83.5,26.5%,21.5%,40.5%,24.5%,0.68,28.0%,54.5%,17.5%,0.0,0.0%,-3.7,40%,88%,69%,baderha01
Alec Burleson,23,53,.301,90,.211,.083,1.9%,17.0%,9.4%,90.1,48.7%,25.6%,46.2%,23.1%,0.90,33.3%,41.0%,25.6%,-0.1,0.0%,0.8,23%,100%,0%,burleal01
Conner Capel,25,19,.239,49,.133,.176,5.3%,10.5%,5.3%,87.4,31.3%,18.8%,50.0%,31.3%,1.00,31.3%,56.3%,12.5%,-0.2,-0.2%,-1.9,0%,,,capelco01
Dylan Carlson,23,488,.310,100,.281,.144,1.6%,19.3%,9.2%,85.6,27.4%,25.1%,41.8%,27.5%,0.73,31.6%,51.2%,17.3%,-0.3,0.1%,-2.2,32%,71%,64%,carlsdy01
Paul DeJong,28,237,.239,50,.213,.129,2.5%,33.3%,8.9%,87.6,37.6%,21.8%,32.3%,34.6%,0.48,33.1%,44.4%,22.6%,-0.7,0.0%,-10.7,25%,60%,38%,dejonpa01
Ben DeLuzio,27,25,.261,79,.200,.050,0.0%,20.0%,12.0%,70.2,12.5%,31.3%,31.3%,12.5%,0.50,25.0%,68.8%,6.3%,-0.4,0.0%,-2.4,30%,0%,33%,deluzbe01
Corey Dickerson,33,297,.305,97,.301,.132,2.0%,16.2%,4.0%,87.7,32.9%,25.1%,46.8%,20.9%,0.88,28.1%,54.0%,17.9%,-1.1,-0.1%,-2.6,25%,,47%,dickeco01
Brendan Donovan,25,468,.352,132,.330,.097,1.1%,15.0%,12.8%,87.4,37.8%,24.4%,53.7%,19.1%,1.18,29.9%,48.1%,21.9%,1.8,0.5%,19.3,32%,40%,51%,donovbr01
Tommy Edman,27,630,.330,107,.308,.135,2.1%,17.6%,7.3%,88.4,38.1%,23.5%,48.9%,20.5%,0.97,29.7%,53.6%,16.7%,1.2,0.3%,6.4,43%,91%,57%,edmanto01
Paul Goldschmidt,34,651,.427,183,.368,.260,5.4%,21.7%,12.1%,90.7,47.5%,22.9%,40.8%,28.8%,0.69,24.3%,55.0%,20.8%,4.7,3.2%,69.1,31%,100%,45%,goldspa01
Nolan Gorman,22,313,.316,104,.301,.194,4.5%,32.9%,9.0%,89.2,43.3%,27.8%,27.2%,38.3%,0.37,31.7%,51.7%,16.7%,-0.2,0.2%,1.3,38%,100%,40%,gormano01
Iván Herrera,22,22,.152,-19,.182,.000,0.0%,36.4%,9.1%,81.4,16.7%,8.3%,50.0%,25.0%,1.20,16.7%,50.0%,33.3%,-0.2,-0.2%,-2.9,0%,,,herreiv01
Andrew Knizner,27,293,.277,78,.268,.085,1.4%,21.2%,8.9%,85.8,33.2%,17.6%,45.2%,23.6%,0.83,21.1%,58.8%,20.1%,-2.6,-1.4%,-13.8,28%,0%,36%,kniznan01
Yadier Molina,39,270,.244,52,.234,.088,1.9%,14.8%,1.9%,84.7,26.0%,20.2%,39.0%,29.6%,0.64,25.1%,54.3%,20.6%,-2.0,-1.2%,-14.8,24%,100%,0%,molinya01
Lars Nootbaar,24,347,.344,123,.248,.221,4.0%,20.5%,14.7%,90.5,46.0%,23.7%,43.8%,25.0%,0.81,36.2%,48.7%,15.2%,0.7,0.3%,9.4,36%,80%,50%,nootbla01
Tyler O'Neill,27,383,.312,99,.277,.165,3.7%,26.9%,9.9%,89.8,43.5%,25.2%,42.4%,25.2%,0.74,30.7%,52.5%,16.8%,0.3,-0.2%,1.4,40%,78%,54%,oneilty01
Albert Pujols,42,351,.385,156,.252,.280,6.8%,15.7%,8.0%,91.2,47.3%,20.5%,38.0%,29.5%,0.61,39.1%,46.1%,14.7%,1.7,-0.1%,14.0,19%,33%,12%,pujolal01
Kramer Robertson,27,1,.000,-122,.000,.000,0.0%,0.0%,0.0%,65.1,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,0.2,0%,,,roberkr01
Austin Romine,33,28,.220,35,.211,.038,0.0%,25.0%,7.1%,85.5,26.3%,10.5%,57.9%,26.3%,1.38,42.1%,47.4%,10.5%,-0.4,-0.2%,-3.6,33%,,0%,rominau01
Edmundo Sosa,26,131,.251,56,.274,.082,0.0%,29.0%,3.1%,87.4,27.4%,23.8%,48.8%,20.2%,0.95,26.2%,60.7%,13.1%,-0.7,-0.5%,-7.9,45%,75%,53%,sosaed01
Juan Yepez,24,274,.331,115,.283,.194,4.4%,22.3%,5.8%,86.5,33.7%,19.9%,37.8%,31.1%,0.61,33.2%,52.6%,14.3%,-1.5,-0.8%,-6.6,22%,,29%,yepezju01
League Average,,,.318,100,.291,.155,2.9%,22.7%,8.5%,87.9,38.3%,23.4%,43.1%,25.8%,0.77,29.9%,51.8%,18.3%,,,,30%,75%,41%,-9999
Team Total,,6165,.332,115,.289,.168,3.2%,19.9%,8.7%,87.9,37.5%,23.3%,41.4%,26.3%,0.71,30.4%,51.9%,17.6%,2.4,0.7%,77.9,31%,79%,46%,-9999
