--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Reid Brignac,25,264,.206,17,.254,.028,0.4%,23.9%,3.8%,20.5%,32.1%,34.2%,0.52,23.2%,56.8%,20.0%,-2.4,-2.0%,-25.6,29%,75%,47%,brignre01
Russ Canzler,25,5,.321,102,.333,.000,0.0%,20.0%,20.0%,33.3%,0.0%,66.7%,0.00,0.0%,66.7%,33.3%,0.0,0.0%,0.0,0%,,0%,canzlru01
Robinson Chirinos,27,60,.282,74,.268,.091,1.7%,21.7%,8.3%,7.1%,52.4%,21.4%,1.16,33.3%,54.8%,11.9%,0.0,-0.1%,-1.3,19%,,0%,chiriro01
Johnny Damon,37,647,.342,116,.284,.156,2.5%,14.2%,7.9%,18.5%,41.9%,27.2%,0.73,29.2%,53.7%,17.1%,2.1,0.6%,14.3,33%,76%,37%,damonjo01
Wade Davis,25,4,.453,295,1.000,.000,0.0%,25.0%,0.0%,0.0%,0.0%,33.3%,0.00,0.0%,33.3%,66.7%,0.0,0.0%,0.0,0%,,0%,daviswa01
Sam Fuld,29,346,.313,95,.276,.120,0.9%,14.2%,9.3%,18.9%,46.2%,25.8%,0.91,28.5%,58.6%,12.9%,0.0,-0.4%,2.2,36%,71%,54%,fuldsa01
Brandon Guyer,25,43,.271,65,.200,.171,4.7%,20.9%,2.3%,9.1%,54.5%,24.2%,1.29,36.4%,48.5%,15.2%,-0.3,0.1%,-2.8,71%,,67%,guyerbr01
Jeremy Hellickson,24,2,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,-0.1%,-0.6,,,,hellije01
John Jaso,27,273,.290,82,.244,.130,1.8%,13.2%,9.2%,17.5%,42.7%,29.9%,0.76,28.4%,57.3%,14.2%,-0.8,-0.6%,-13.2,27%,33%,36%,jasojo01
Desmond Jennings,24,287,.365,130,.303,.190,3.5%,20.6%,10.8%,16.2%,44.5%,28.3%,0.88,26.3%,54.2%,19.5%,2.3,-0.7%,11.6,37%,77%,50%,jennide01
Dan Johnson,31,91,.182,2,.125,.083,2.2%,19.8%,6.6%,18.2%,37.9%,33.3%,0.61,24.2%,63.6%,12.1%,-0.4,2.0%,-11.5,33%,,33%,johnsda06
Elliot Johnson,27,181,.270,73,.260,.144,2.2%,29.3%,7.7%,10.5%,43.0%,29.8%,0.96,28.3%,48.7%,23.0%,-0.7,-0.3%,-10.9,34%,46%,33%,johnsel02
Matt Joyce,26,522,.361,128,.317,.201,3.6%,20.3%,9.4%,21.5%,36.6%,33.6%,0.58,30.6%,54.8%,14.6%,2.1,2.0%,17.7,31%,93%,61%,joycema01
Casey Kotchman,28,563,.364,134,.335,.116,1.8%,11.7%,8.5%,17.4%,55.8%,21.3%,1.26,24.5%,58.1%,17.4%,1.1,-0.5%,8.8,17%,50%,35%,kotchca01
Jose Lobatón,26,39,.192,9,.154,.029,0.0%,20.5%,10.3%,23.1%,50.0%,23.1%,1.00,26.9%,61.5%,11.5%,-0.5,-0.7%,-7.2,22%,,,lobatjo01
Evan Longoria,25,574,.376,143,.239,.251,5.4%,16.2%,13.9%,16.5%,37.2%,37.2%,0.60,31.4%,52.9%,15.7%,3.6,5.6%,32.2,27%,60%,36%,longoev01
Felipe Lopez,31,102,.252,53,.284,.103,2.0%,27.5%,3.9%,20.0%,52.9%,24.3%,1.16,22.9%,60.0%,17.1%,-1.1,-0.7%,-6.3,26%,50%,33%,lopezfe01
Jeff Niemann,28,3,.302,88,1.000,.000,0.0%,66.7%,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.9,0%,,,niemaje01
David Price,25,5,.140,-29,.000,.000,0.0%,40.0%,20.0%,0.0%,50.0%,50.0%,1.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.0,0%,,,priceda01
Manny Ramirez,39,17,.107,-53,.077,.000,0.0%,23.5%,0.0%,7.7%,46.2%,15.4%,0.86,15.4%,38.5%,46.2%,-0.3,-0.1%,-1.9,0%,,,ramirma02
Sean Rodríguez,26,436,.308,94,.268,.134,1.8%,20.0%,8.7%,16.4%,39.6%,28.7%,0.71,29.7%,51.2%,19.1%,-0.7,-0.8%,-6.1,28%,61%,61%,rodrise01
Justin Ruggiano,29,111,.307,93,.289,.152,3.6%,23.4%,3.6%,9.9%,51.9%,34.6%,1.11,25.9%,60.5%,13.6%,-0.3,-0.4%,-1.1,24%,50%,29%,ruggiju01
James Shields,29,8,.113,-48,.000,.000,0.0%,62.5%,0.0%,0.0%,66.7%,0.0%,2.00,66.7%,0.0%,33.3%,0.0,0.0%,-1.1,,,,shielja02
Kelly Shoppach,31,253,.277,70,.212,.163,4.4%,31.2%,7.5%,9.6%,35.6%,43.8%,0.58,41.4%,42.8%,15.9%,-1.8,-1.4%,-16.5,21%,,8%,shoppke01
Andy Sonnanstine,28,2,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,sonnaan01
B.J. Upton,26,640,.344,116,.298,.186,3.6%,25.2%,11.1%,16.8%,41.1%,31.9%,0.71,31.2%,54.7%,14.1%,0.8,1.8%,1.9,31%,75%,49%,uptonbj01
Ben Zobrist,30,674,.366,133,.310,.201,3.0%,19.0%,11.4%,19.3%,44.8%,28.1%,0.84,38.2%,50.2%,11.6%,1.2,1.2%,30.0,36%,76%,46%,zobribe01
League Average,,,.328,100,.294,.150,2.6%,18.2%,8.1%,17.9%,43.7%,28.8%,0.80,28.2%,55.0%,16.7%,,,,30%,72%,41%,-9999
Team Total,,6152,.328,107,.281,.159,2.8%,19.4%,9.3%,17.3%,42.9%,29.8%,0.78,29.9%,54.2%,15.9%,3.7,4.4%,10.8,30%,71%,43%,-9999
