--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jonathan Aranda,24,87,.263,69,.245,.128,2.3%,26.4%,9.2%,91.1,46.3%,18.2%,54.5%,23.6%,1.20,34.5%,50.9%,14.5%,-0.1,0.4%,-1.2,36%,,43%,arandjo01
Randy Arozarena,27,645,.344,126,.325,.183,3.1%,24.2%,7.1%,89.9,41.3%,20.8%,50.2%,19.7%,1.01,26.6%,53.5%,19.9%,-0.4,0.0%,9.6,27%,73%,49%,arozara01
Christian Bethancourt,30,151,.312,104,.301,.181,4.6%,25.8%,1.3%,87.9,42.7%,24.5%,43.6%,24.5%,0.77,31.8%,51.8%,16.4%,-0.7,-0.5%,-4.4,27%,100%,27%,bethach01
Vidal Bruján,24,162,.218,42,.193,.095,1.9%,22.8%,7.4%,86.1,27.7%,21.4%,46.4%,22.3%,0.87,34.8%,44.6%,20.5%,-0.8,-0.5%,-10.7,26%,50%,43%,brujavi01
Yu Chang,26,105,.299,95,.324,.125,2.9%,25.7%,6.7%,88.8,39.4%,25.4%,43.7%,26.8%,0.78,36.6%,43.7%,19.7%,0.3,0.2%,0.4,28%,,67%,changyu01
Ji-Man Choi,31,419,.328,116,.320,.154,2.6%,29.4%,13.8%,92.1,47.5%,23.7%,46.2%,25.0%,0.87,33.5%,50.0%,16.5%,-0.3,-0.4%,8.3,19%,,34%,choiji01
Yandy Díaz,30,558,.370,148,.323,.127,1.6%,10.8%,14.0%,92.2,49.6%,24.4%,50.0%,19.6%,1.00,17.4%,55.6%,27.1%,1.0,0.5%,25.0,29%,50%,40%,diazya01
Wander Franco,21,344,.334,116,.290,.140,1.7%,9.6%,7.6%,87.3,35.9%,29.1%,44.2%,18.2%,0.79,29.8%,52.3%,17.9%,0.6,-0.1%,5.0,37%,100%,47%,francwa01
Kevin Kiermaier,32,221,.299,92,.290,.141,3.2%,27.6%,6.3%,87.9,38.6%,20.7%,52.4%,23.4%,1.10,25.5%,54.5%,20.0%,0.3,0.1%,2.6,37%,86%,69%,kiermke01
Brandon Lowe,27,266,.308,101,.263,.162,3.0%,22.9%,10.2%,89.1,38.9%,24.6%,37.7%,26.3%,0.61,29.7%,54.9%,15.4%,0.2,0.1%,2.8,31%,100%,46%,lowebr01
Josh Lowe,24,198,.280,79,.336,.122,1.0%,33.3%,7.6%,87.7,37.1%,31.0%,35.3%,29.3%,0.55,22.4%,58.6%,19.0%,-0.5,-0.2%,-5.3,41%,100%,37%,lowejo01
Manuel Margot,27,363,.312,104,.332,.101,1.1%,18.7%,6.6%,88.0,38.2%,26.8%,43.5%,17.5%,0.81,22.3%,55.0%,22.7%,0.3,0.5%,2.1,28%,70%,67%,margoma01
Miles Mastrobuoni,26,17,.214,23,.300,.000,0.0%,35.3%,5.9%,86.3,10.0%,10.0%,70.0%,20.0%,2.33,50.0%,40.0%,10.0%,0.0,0.0%,-0.9,20%,100%,,mastrmi01
Francisco Mejía,26,299,.282,83,.292,.138,2.0%,21.7%,2.3%,86.8,28.0%,28.9%,36.9%,26.2%,0.58,36.0%,48.0%,16.0%,-0.4,0.0%,-8.4,36%,,33%,mejiafr01
Isaac Paredes,23,381,.329,118,.195,.230,5.3%,17.6%,11.6%,87.4,38.6%,17.7%,42.1%,28.2%,0.73,39.5%,45.1%,15.4%,0.5,0.4%,-1.2,29%,0%,41%,paredis01
David Peralta,34,180,.284,87,.331,.081,0.0%,22.2%,7.8%,89.3,43.5%,25.0%,41.1%,22.6%,0.70,32.3%,50.0%,17.7%,0.5,0.3%,-0.5,18%,0%,40%,peralda01
Brett Phillips,28,208,.236,42,.232,.103,2.4%,40.9%,7.7%,85.4,30.8%,24.0%,28.8%,29.8%,0.44,42.3%,41.3%,16.3%,-0.9,-0.6%,-11.8,35%,100%,80%,phillbr02
René Pinto,25,83,.248,58,.349,.113,2.4%,42.2%,2.4%,89.1,42.2%,17.8%,48.9%,31.1%,0.96,4.4%,86.7%,8.9%,-0.6,-0.2%,-4.4,17%,,33%,pintore02
Roman Quinn,29,47,.302,113,.524,.143,0.0%,44.7%,8.5%,86.5,52.4%,33.3%,19.0%,33.3%,0.27,57.1%,38.1%,4.8%,-0.1,-0.1%,0.9,35%,0%,50%,quinnro01
Luke Raley,27,72,.281,82,.297,.082,1.4%,33.3%,9.7%,88.4,39.5%,15.8%,39.5%,31.6%,0.68,28.9%,50.0%,21.1%,-0.7,-0.4%,-3.6,29%,,60%,raleylu01
Harold Ramírez,27,435,.327,118,.350,.104,1.4%,16.6%,4.4%,88.5,41.3%,26.3%,51.9%,16.4%,1.08,28.4%,53.4%,18.2%,1.2,1.0%,14.1,28%,38%,30%,ramirha02
Jose Siri,26,178,.296,87,.353,.127,2.3%,33.7%,6.2%,84.2,27.4%,23.6%,40.6%,21.7%,0.72,31.1%,47.2%,21.7%,-0.7,-0.3%,-5.3,61%,89%,50%,sirijo01
Taylor Walls,25,466,.257,63,.221,.113,1.7%,25.8%,11.2%,85.5,28.6%,26.8%,36.4%,26.8%,0.59,28.5%,51.2%,20.3%,-2.7,-1.4%,-24.6,37%,77%,61%,wallsta01
Mike Zunino,31,123,.218,37,.185,.157,4.1%,37.4%,4.9%,91.8,41.4%,25.7%,28.6%,37.1%,0.40,31.4%,47.1%,21.4%,-0.5,-0.3%,-6.3,11%,,40%,zuninmi01
League Average,,,.312,99,.289,.148,2.8%,22.2%,8.0%,88.2,38.6%,23.9%,42.5%,25.5%,0.75,29.1%,52.3%,18.7%,,,,30%,75%,41%,-9999
Team Total,,6008,.307,100,.295,.138,2.3%,23.2%,8.3%,88.6,38.9%,24.4%,44.1%,23.0%,0.80,29.1%,51.8%,19.2%,-4.6,-1.6%,-17.9,30%,72%,47%,-9999
