--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Elvis Andrus,23,711,.332,97,.332,.092,0.4%,13.5%,8.0%,18.8%,54.2%,18.6%,1.36,23.3%,55.7%,21.0%,1.1,1.2%,5.9,34%,68%,66%,andruel01
Adrián Beltré,33,654,.395,143,.319,.240,5.5%,12.5%,5.5%,20.3%,39.7%,33.0%,0.66,26.0%,58.0%,16.0%,2.9,2.7%,27.7,30%,100%,38%,beltrad01
Nelson Cruz,31,642,.352,111,.301,.200,3.7%,21.8%,7.5%,18.5%,41.2%,33.4%,0.70,23.6%,54.3%,22.0%,0.5,0.4%,9.8,34%,67%,30%,cruzne02
Yu Darvish,25,3,.299,73,.500,.000,0.0%,33.3%,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.2,0%,,,darviyu01
Scott Feldman,29,5,.224,-3,.500,.000,0.0%,40.0%,0.0%,0.0%,33.3%,33.3%,1.00,33.3%,0.0%,66.7%,-0.1,0.0%,0.2,0%,,,feldmsc01
Neftalí Feliz,24,2,.000,-146,.000,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-0.8,,,0%,felizne01
Craig Gentry,28,269,.334,99,.364,.088,0.4%,15.2%,5.2%,16.2%,43.6%,22.5%,0.92,24.0%,56.9%,19.1%,0.2,0.2%,3.8,29%,65%,45%,gentrcr01
Alberto Gonzalez,29,55,.238,26,.289,.074,0.0%,16.4%,0.0%,10.9%,54.3%,19.6%,1.32,30.4%,50.0%,19.6%,-0.6,-0.4%,-5.1,44%,,40%,gonzaal03
Josh Hamilton,31,636,.385,137,.320,.292,6.8%,25.5%,9.4%,21.8%,37.4%,35.0%,0.60,25.4%,55.3%,19.3%,2.7,1.2%,45.9,33%,64%,51%,hamiljo03
Matt Harrison,26,7,.000,-245,.000,.000,0.0%,42.9%,0.0%,0.0%,50.0%,0.0%,,0.0%,100.0%,0.0%,-0.2,-0.1%,-3.5,0%,,0%,harrima01
Luis Hernandez,28,2,.000,-146,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.5,,,,hernalu01
Derek Holland,25,2,.000,-146,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.6,,,,hollade01
Ian Kinsler,30,731,.331,96,.270,.166,2.6%,12.3%,8.2%,18.7%,37.5%,30.8%,0.61,35.0%,49.9%,15.1%,-0.6,-0.6%,-0.4,39%,70%,53%,kinslia01
Colby Lewis,32,4,.424,164,1.000,.000,0.0%,50.0%,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,0.1,0.1%,1.2,0%,,,lewisco01
Leonys Martín,24,52,.270,40,.229,.196,0.0%,23.1%,7.7%,19.4%,44.4%,19.4%,0.89,27.8%,58.3%,13.9%,-0.3,-0.2%,-3.5,38%,100%,0%,martile01
Luis Martinez,27,19,.133,-49,.143,.000,0.0%,21.1%,0.0%,7.1%,64.3%,7.1%,1.80,14.3%,71.4%,14.3%,-0.2,-0.1%,-2.3,33%,,100%,martilu02
Mitch Moreland,26,357,.337,101,.306,.193,4.2%,19.9%,6.4%,18.3%,43.5%,29.8%,0.78,30.2%,51.5%,18.3%,0.0,0.5%,1.2,26%,50%,21%,morelmi01
David Murphy,30,521,.378,131,.333,.175,2.9%,14.2%,10.4%,19.9%,43.9%,28.7%,0.78,23.8%,57.4%,18.9%,1.6,1.7%,27.3,27%,67%,46%,murphda07
Mike Napoli,30,417,.355,113,.273,.241,5.8%,30.0%,13.4%,14.8%,41.0%,38.0%,0.70,32.8%,49.3%,17.9%,-0.7,-0.8%,6.4,24%,100%,18%,napolmi01
Alexi Ogando,28,2,.400,147,1.000,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.1,0.0%,0.6,0%,,,ogandal01
Mike Olt,23,40,.244,37,.227,.030,0.0%,32.5%,12.5%,18.2%,45.5%,36.4%,0.83,40.9%,45.5%,13.6%,0.0,0.0%,-2.2,20%,50%,33%,oltmi01
Jurickson Profar,19,17,.265,48,.167,.294,5.9%,23.5%,0.0%,15.4%,53.8%,23.1%,1.17,38.5%,38.5%,23.1%,0.0,0.1%,-2.1,33%,,0%,profaju01
Robbie Ross,23,2,.000,-146,.000,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.5,,,0%,rossro01
Brandon Snyder,25,69,.328,94,.417,.169,4.4%,37.7%,4.4%,20.0%,32.5%,40.0%,0.50,27.5%,52.5%,20.0%,-0.5,-0.5%,-2.6,33%,,57%,snydebr03
Geovany Soto,29,164,.289,64,.231,.142,3.1%,25.0%,6.7%,17.1%,38.7%,35.1%,0.65,27.9%,55.0%,17.1%,-0.7,-0.7%,-2.8,39%,100%,42%,sotoge01
Yorvit Torrealba,33,182,.292,68,.271,.106,1.7%,17.0%,7.7%,14.8%,48.9%,29.6%,1.00,31.9%,52.6%,15.6%,-0.9,-0.6%,-8.3,25%,50%,24%,torreyo01
Michael Young,35,651,.311,82,.299,.093,1.2%,10.8%,5.1%,19.4%,54.5%,23.8%,1.20,16.1%,59.0%,24.9%,-1.3,-0.4%,-12.9,36%,50%,25%,youngmi02
League Average,,,.324,99,.293,.155,2.9%,19.4%,7.9%,18.6%,44.2%,28.0%,0.82,28.1%,54.7%,17.2%,,,,30%,75%,40%,-9999
Team Total,,6216,.344,105,.306,.173,3.2%,17.7%,7.7%,18.7%,44.3%,28.9%,0.82,25.9%,54.9%,19.1%,3.1,3.6%,81.5,32%,67%,40%,-9999
