--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Elvis Andrus,28,689,.353,107,.325,.174,2.9%,14.7%,5.5%,86.8,34.4%,26.1%,47.9%,19.7%,0.92,28.9%,56.9%,14.3%,2.7,1.1%,24.2,38%,71%,69%,andruel01
Adrián Beltré,38,389,.390,134,.321,.221,4.4%,13.4%,10.0%,87.1,35.3%,26.2%,43.2%,24.5%,0.76,26.2%,58.8%,15.0%,2.3,0.9%,26.1,23%,100%,16%,beltrad01
Austin Bibens-Dirkx,32,3,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.5,,,,bibenau01
Willie Calhoun,22,37,.346,103,.308,.088,2.7%,18.9%,5.4%,91.0,43.5%,29.6%,55.6%,7.4%,1.25,51.9%,44.4%,3.7%,0.2,0.0%,1.6,18%,,50%,calhowi01
Andrew Cashner,30,7,.282,49,.250,.000,0.0%,28.6%,0.0%,96.5,50.0%,0.0%,60.0%,20.0%,3.00,60.0%,20.0%,20.0%,0.0,0.0%,-0.4,0%,,,cashnan01
Robinson Chirinos,33,309,.376,123,.298,.251,5.5%,25.6%,11.0%,88.3,43.8%,16.1%,38.7%,34.9%,0.64,38.7%,42.5%,18.8%,0.5,0.3%,6.2,31%,100%,21%,chiriro01
Shin-Soo Choo,34,636,.349,103,.305,.162,3.5%,21.1%,12.1%,88.7,41.6%,27.5%,49.3%,19.4%,1.00,36.8%,48.1%,15.1%,-0.3,-0.4%,16.6,36%,80%,26%,choosh01
Delino DeShields,24,440,.331,87,.358,.098,1.4%,24.8%,10.0%,82.9,26.2%,22.2%,40.1%,19.4%,0.82,26.1%,48.2%,25.7%,0.1,-0.1%,-2.7,45%,78%,68%,deshide02
Joey Gallo,23,532,.374,122,.250,.327,7.7%,36.8%,14.1%,93.9,56.5%,22.1%,28.9%,37.9%,0.41,41.9%,45.1%,13.0%,0.4,0.0%,16.1,31%,78%,42%,gallojo01
