--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
J.P. Arencibia,27,497,.265,55,.231,.171,4.2%,29.8%,3.6%,20.4%,37.2%,31.4%,0.59,27.7%,54.6%,17.7%,-1.4,0.0%,-24.3,26%,0%,37%,arencjp01
José Bautista,32,528,.382,139,.259,.239,5.3%,15.9%,13.1%,19.9%,41.1%,27.7%,0.70,42.2%,45.7%,12.1%,2.8,0.8%,21.0,34%,78%,58%,bautijo02
Henry Blanco,41,43,.242,35,.250,.079,0.0%,23.3%,9.3%,24.1%,34.5%,27.6%,0.56,17.2%,65.5%,17.2%,-0.6,-0.2%,-7.1,27%,,100%,blanche01
Emilio Bonifácio,28,282,.260,50,.277,.103,1.1%,23.4%,4.6%,16.9%,47.8%,21.4%,1.07,26.4%,52.2%,21.4%,-1.2,-0.5%,-11.1,38%,67%,68%,bonifem01
Mark Buehrle,34,4,.000,-142,.000,.000,0.0%,25.0%,0.0%,0.0%,66.7%,33.3%,2.00,33.3%,33.3%,33.3%,-0.1,0.0%,-0.5,,,,buehrma01
Melky Cabrera,28,372,.310,88,.313,.081,0.8%,12.6%,6.2%,23.8%,47.0%,20.2%,0.90,26.2%,56.3%,17.5%,-1.6,-0.5%,-0.1,31%,50%,39%,cabreme01
Rajai Davis,32,360,.331,86,.308,.115,1.7%,18.6%,5.8%,24.7%,39.3%,23.6%,0.66,24.7%,55.8%,19.5%,-0.5,0.1%,-11.5,37%,88%,39%,davisra01
Mark DeRosa,38,236,.330,102,.272,.172,3.0%,20.8%,11.9%,21.5%,46.2%,27.2%,0.86,24.7%,51.9%,23.4%,0.8,0.0%,2.0,23%,,24%,derosma01
R.A. Dickey,38,6,.344,112,.333,.167,0.0%,0.0%,0.0%,0.0%,66.7%,16.7%,2.00,33.3%,16.7%,50.0%,0.2,0.0%,0.8,100%,,100%,dicker.01
Edwin Encarnación,30,621,.396,150,.247,.262,5.8%,10.0%,13.2%,23.9%,35.9%,30.0%,0.56,36.8%,50.7%,12.5%,3.4,0.5%,42.7,28%,88%,45%,encared01
Ryan Goins,25,121,.282,67,.315,.092,1.7%,23.1%,1.7%,22.0%,56.0%,14.3%,1.34,25.3%,60.4%,14.3%,-0.6,0.0%,-6.9,30%,,14%,goinsry01
Anthony Gose,22,153,.292,76,.333,.150,1.3%,24.2%,3.3%,26.1%,50.5%,13.5%,1.14,20.7%,60.4%,18.9%,-0.8,0.0%,-8.0,30%,57%,36%,gosean01
Maicer Izturis,32,399,.276,66,.249,.074,1.3%,9.5%,6.8%,22.5%,52.0%,19.8%,1.11,26.1%,56.2%,17.7%,-1.8,-0.5%,-20.1,26%,17%,35%,izturma01
Chad Jenkins,25,2,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.9,,,,jenkich01
Josh Johnson,29,2,.348,115,,.000,0.0%,50.0%,50.0%,,,,,,,,0.0,0.0%,0.1,0%,,0%,johnsjo09
Munenori Kawasaki,32,289,.303,78,.269,.079,0.4%,14.2%,11.1%,19.3%,52.4%,14.6%,1.35,15.1%,63.2%,21.7%,0.9,0.2%,-3.7,28%,88%,44%,kawasmu01
Ryan Langerhans,33,13,.327,86,.333,.000,0.0%,15.4%,15.4%,11.1%,55.6%,11.1%,1.67,55.6%,11.1%,33.3%,-0.1,0.0%,0.3,60%,100%,33%,langery01
Andy LaRoche,29,4,.000,-142,.000,.000,0.0%,25.0%,0.0%,0.0%,0.0%,66.7%,0.00,0.0%,66.7%,33.3%,-0.1,0.0%,-0.8,,,,larocan01
Brett Lawrie,23,442,.321,96,.280,.142,2.5%,15.4%,6.8%,21.7%,49.0%,21.4%,0.98,22.0%,59.9%,18.1%,-0.7,-0.3%,3.4,23%,64%,50%,lawribr01
Brad Lincoln,28,1,.000,-142,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,lincobr01
Adam Lind,29,521,.376,136,.324,.209,4.4%,19.8%,9.8%,22.4%,47.8%,24.3%,0.92,26.5%,60.4%,13.1%,0.2,0.0%,11.7,27%,100%,42%,lindad01
Ramon Ortiz,40,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.4,,,,ortizra02
Kevin Pillar,24,110,.261,53,.257,.127,2.7%,26.4%,3.6%,24.0%,34.7%,26.7%,0.57,21.3%,61.3%,17.3%,-0.8,0.0%,-2.9,32%,0%,31%,pillake01
Colby Rasmus,26,458,.363,127,.356,.225,4.8%,29.5%,8.1%,24.0%,34.3%,31.8%,0.52,35.7%,50.5%,13.8%,1.0,-0.1%,21.1,26%,0%,57%,rasmuco01
Todd Redmond,28,4,.174,-13,.000,.000,0.0%,25.0%,25.0%,50.0%,50.0%,0.0%,1.00,50.0%,0.0%,50.0%,0.0,0.0%,-0.3,100%,,100%,redmoto01
José Reyes,30,419,.350,115,.315,.131,2.4%,11.2%,8.1%,22.3%,47.5%,20.5%,0.91,31.8%,52.2%,16.0%,1.2,0.1%,9.3,35%,71%,54%,reyesjo01
