--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Roger Bernadina,29,167,.243,30,.236,.092,1.2%,26.4%,7.2%,18.3%,46.8%,18.3%,1.02,37.6%,45.0%,17.4%,-1.3,-0.9%,-12.7,36%,100%,50%,bernaro01
Corey Brown,27,15,.382,126,.143,.333,6.7%,26.7%,20.0%,12.5%,37.5%,37.5%,0.60,62.5%,37.5%,0.0%,0.0,0.0%,0.3,20%,100%,100%,brownco01
David DeJesus,33,4,.000,-230,.000,.000,0.0%,25.0%,0.0%,0.0%,33.3%,0.0%,1.00,33.3%,33.3%,33.3%,0.0,0.0%,-0.9,,,,dejesda01
Ian Desmond,27,655,.350,112,.336,.173,3.1%,22.1%,6.6%,26.2%,43.1%,21.2%,0.78,21.4%,51.9%,26.6%,0.0,0.3%,11.5,29%,78%,53%,desmoia01
Ross Detwiler,27,25,.104,-84,.400,.000,0.0%,68.0%,4.0%,14.3%,57.1%,0.0%,4.00,0.0%,42.9%,57.1%,-0.3,-0.2%,-3.9,33%,,,detwiro01
Zach Duke,30,1,.907,533,1.000,.000,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,0.1,0%,,0%,dukeza01
Danny Espinosa,26,167,.219,15,.202,.114,1.8%,28.1%,2.4%,12.4%,48.7%,25.7%,1.04,31.9%,52.2%,15.9%,-0.8,-0.6%,-11.6,28%,100%,40%,espinda01
Gio Gonzalez,27,66,.130,-71,.103,.071,1.5%,24.2%,1.5%,6.3%,35.4%,20.8%,1.00,22.9%,58.3%,18.8%,-0.8,-0.3%,-11.8,17%,,0%,gonzagi01
Scott Hairston,33,62,.270,55,.289,.155,3.2%,30.7%,3.2%,29.3%,19.5%,19.5%,0.25,39.0%,43.9%,17.1%,-0.5,-0.3%,-3.3,21%,,17%,hairssc01
