--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Matt Adams,30,333,.313,82,.284,.239,6.0%,34.5%,6.0%,88.9,47.5%,26.5%,32.1%,29.6%,0.48,43.9%,44.4%,11.7%,-0.6,-0.2%,1.0,30%,,30%,adamsma01
Tres Barrera,24,2,.000,-142,.000,.000,0.0%,0.0%,0.0%,67.8,0.0%,50.0%,0.0%,50.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-1.1,,,,barretr01
Asdrubal Cabrera,33,146,.406,150,.330,.242,4.1%,12.3%,13.0%,90.9,43.7%,28.4%,39.4%,29.4%,0.67,35.8%,50.5%,13.8%,0.8,0.5%,21.2,34%,,32%,cabreas01
Patrick Corbin,29,72,.127,-60,.158,.015,0.0%,37.5%,4.2%,81.6,17.9%,16.7%,64.3%,2.4%,3.00,14.3%,59.5%,26.2%,-0.8,-0.6%,-10.4,33%,,17%,corbipa01
Wilmer Difo,27,144,.267,51,.310,.061,1.4%,20.1%,8.3%,83.3,23.3%,27.2%,44.7%,15.5%,0.88,31.7%,47.5%,20.8%,-0.8,-0.5%,-8.3,30%,0%,33%,difowi01
Sean Doolittle,32,3,.000,-142,.000,.000,0.0%,66.7%,0.0%,83.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-3.0,,,,doolise01
Brian Dozier,32,482,.333,99,.271,.192,4.2%,21.8%,12.7%,88.9,38.5%,24.0%,35.6%,29.8%,0.56,38.1%,49.0%,12.8%,-0.4,-0.6%,-3.6,24%,43%,46%,doziebr01
Adam Eaton,30,656,.347,104,.319,.148,2.3%,16.2%,9.9%,88.6,39.3%,25.6%,37.9%,23.3%,0.66,25.4%,53.4%,21.2%,1.0,0.8%,7.1,40%,83%,62%,eatonad02
Roenis Elias,30,1,.000,-142,.000,.000,0.0%,0.0%,0.0%,73.9,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,eliasro01
Erick Fedde,26,20,.118,-110,.222,.000,0.0%,30.0%,0.0%,81.3,25.0%,7.1%,42.9%,14.3%,2.00,7.1%,50.0%,42.9%,-0.2,-0.1%,-3.3,50%,,,feddeer01
Yan Gomes,31,358,.311,79,.265,.166,3.4%,23.5%,10.6%,88.0,39.2%,22.5%,39.4%,30.3%,0.65,27.4%,52.2%,20.4%,-0.4,-0.4%,-2.6,24%,100%,32%,gomesya01
Matt Grace,30,3,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-1.0,,,,gracema02
Javy Guerra,33,5,.000,-304,.000,.000,0.0%,40.0%,0.0%,54.8,0.0%,0.0%,0.0%,33.3%,0.00,0.0%,66.7%,33.3%,-0.1,-0.1%,-1.3,,,,guerrja01
Jeremy Hellickson,32,13,.207,-11,.200,.000,0.0%,30.8%,15.4%,76.6,20.0%,0.0%,71.4%,0.0%,,42.9%,14.3%,42.9%,-0.1,-0.1%,-1.7,100%,,33%,hellije01
Howie Kendrick,35,370,.413,154,.359,.228,4.6%,13.2%,7.3%,92.0,50.0%,24.1%,48.3%,23.1%,0.94,19.0%,64.1%,16.9%,2.2,1.2%,22.7,34%,67%,40%,kendrho01
Carter Kieboom,21,43,.203,1,.143,.154,4.7%,37.2%,9.3%,91.4,45.5%,17.4%,47.8%,21.7%,0.92,17.4%,73.9%,8.7%,-0.6,-0.3%,-5.4,29%,,0%,kieboca01
Kyle McGowin,27,3,.296,70,.333,.000,0.0%,0.0%,0.0%,95.8,33.3%,33.3%,33.3%,33.3%,0.50,33.3%,33.3%,33.3%,0.0,0.0%,0.0,100%,,0%,mcgowky01
Jake Noll,25,13,.215,12,.250,.083,0.0%,30.8%,7.7%,76.4,0.0%,12.5%,62.5%,12.5%,1.67,50.0%,37.5%,12.5%,0.0,0.0%,0.1,33%,,100%,nollja01
Gerardo Parra,32,204,.329,92,.279,.197,3.9%,20.1%,5.4%,86.6,22.9%,24.8%,43.0%,24.8%,0.79,29.5%,53.7%,16.8%,1.5,0.7%,13.8,41%,75%,60%,parrage01
Tanner Rainey,26,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,raineta01
Raudy Read,25,11,.081,-85,.167,.000,0.0%,45.5%,0.0%,78.0,16.7%,16.7%,50.0%,16.7%,1.00,66.7%,33.3%,0.0%,-0.2,-0.1%,-3.6,0%,,,readra01
Anthony Rendon,29,646,.422,160,.323,.279,5.3%,13.3%,12.4%,91.3,51.4%,27.1%,33.3%,30.1%,0.50,26.1%,55.1%,18.8%,4.9,3.3%,65.9,36%,83%,38%,rendoan01
Victor Robles,22,617,.334,95,.310,.165,2.8%,22.7%,5.7%,81.7,26.2%,24.7%,37.2%,21.3%,0.65,29.3%,53.0%,17.7%,1.0,0.7%,1.7,38%,76%,46%,roblevi01
