--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
CJ Abrams,21,163,.276,75,.301,.069,0.0%,14.1%,0.6%,86.3,32.8%,19.9%,51.5%,18.4%,1.09,29.4%,52.2%,18.4%,-0.1,0.0%,-2.1,37%,75%,36%,abramcj01
Riley Adams,26,155,.257,65,.220,.134,3.2%,29.7%,7.7%,90.2,46.3%,18.8%,44.8%,28.1%,0.81,34.4%,50.0%,15.6%,-1.2,-0.1%,-14.0,27%,0%,18%,adamsri03
Ehire Adrianza,32,94,.217,33,.238,.024,0.0%,23.4%,8.5%,81.8,19.0%,20.6%,49.2%,15.9%,1.03,33.3%,57.1%,9.5%,-0.7,0.0%,-5.8,21%,100%,33%,adriaeh01
Tres Barrera,27,53,.185,10,.265,.020,0.0%,30.2%,3.8%,80.5,14.3%,20.0%,34.3%,28.6%,0.55,22.9%,54.3%,22.9%,-0.4,0.0%,-5.2,18%,,25%,barretr01
Josh Bell,29,437,.382,154,.324,.192,3.2%,14.0%,11.2%,89.5,40.6%,26.3%,47.2%,20.6%,0.89,30.9%,49.4%,19.7%,1.1,0.1%,16.3,25%,0%,40%,belljo02
Alex Call,27,115,.331,122,.282,.196,4.4%,22.6%,9.6%,85.7,31.6%,22.4%,35.5%,31.6%,0.56,35.5%,48.7%,15.8%,-0.3,0.0%,0.5,30%,50%,38%,callal02
Nelson Cruz,41,507,.301,93,.295,.103,2.0%,23.5%,9.7%,90.9,46.6%,22.9%,53.0%,19.3%,1.13,23.8%,52.7%,23.5%,0.9,0.2%,3.7,27%,100%,40%,cruzne02
Alcides Escobar,35,131,.247,58,.293,.065,0.0%,24.4%,3.8%,81.8,17.4%,30.4%,37.0%,20.7%,0.60,13.0%,60.9%,26.1%,-0.2,-0.1%,-4.9,32%,50%,39%,escobal02
Lucius Fox,24,28,.133,-43,.125,.000,0.0%,32.1%,3.6%,76.0,33.3%,5.6%,66.7%,16.7%,3.00,50.0%,33.3%,16.7%,-0.2,0.0%,-2.3,50%,100%,33%,foxlu01
Maikel Franco,29,388,.269,71,.262,.113,2.3%,19.3%,3.1%,87.0,34.8%,24.1%,44.5%,21.1%,0.80,34.1%,47.8%,18.1%,-1.7,-0.3%,-20.7,24%,100%,29%,francma02
Luis García,22,377,.299,96,.337,.133,1.9%,22.3%,2.9%,86.9,36.7%,25.6%,51.6%,20.3%,1.08,27.4%,53.0%,19.6%,-0.9,0.0%,-6.6,21%,43%,40%,garcilu04
